StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       01,      07,   191701,   5.69,   53.5,   -.71,   1.19,    .41,   -.09,     39,    395,    .48,    .24,   -.04,    -.8,   1.17,     .3,   -.44,   43.1,   63.9,
       01,      08,   191701,   3.89,   55.8,   -.27,   2.68,   -.81,   2.29,     52,    337,   -.19,    .38,    .04,    .15,   2.28,   1.37,    .04,   46.1,   65.6,
       01,      04,   191701,   8.15,   47.4,   1.62,   1.62,   2.04,    .92,     15,    561,   1.29,    .66,    .29,   -.31,   1.39,    .47,    .22,   37.4,   57.4,
       01,      03,   191701,   7.46,   47.6,    .46,   1.58,   1.37,    .39,     16,    555,    .96,     .5,    .22,   -.63,   1.57,    .58,    .12,   37.4,   57.9,
       01,      02,   191701,   7.15,   45.5,    .35,   -.84,   1.05,   -.15,     11,    616,    .85,     .5,    .12,   -.77,    .84,   -.16,   -.27,   35.2,   55.9,
       01,      06,   191701,   7.33,   50.6,    .62,   1.36,   1.85,    .24,     25,    472,   1.11,    .42,    .19,   -.76,   1.12,    .23,   -.04,   40.7,   60.5,
       01,      01,   191701,   6.21,   43.2,  -1.02,    .69,    .46,    -.9,      8,    684,    .59,    .44,   -.05,   -.93,    .59,   -.27,   -.42,   32.2,   54.2,
       01,      05,   191701,   7.24,   49.2,   1.33,   1.33,   1.46,    .32,     19,    509,   1.02,    .39,    .21,   -.43,   1.11,    .18,   -.07,   38.8,   59.5,
       01,      08,   191702,   3.95,   54.4,   -.51,   2.14,   -.79,   1.38,     18,    315,   -.36,   -.49,    .03,    .01,   2.15,   1.46,   -.03,   42.9,   65.9,
       01,      01,   191702,   4.53,   42.7,  -1.08,  -1.08,    -.5,  -1.08,      0,    624,    .04,    .36,    .26,    -.9,    .44,   -.18,   -.43,     30,   55.4,
       01,      04,   191702,   6.59,   45.6,    1.8,    1.8,   1.03,   1.36,      0,    543,    .71,   1.39,    .87,    .19,   1.56,    .72,    .37,     33,   58.3,
       01,      05,   191702,   5.52,   47.3,   1.26,   1.26,    .21,    .33,      0,    496,    .26,    .84,    .38,   -.19,   1.32,    .18,   -.05,   34.2,   60.3,
