StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       02,      05,   191701,   1.44,   48.8,    2.4,    2.4,    2.9,    2.4,      0,    502,   1.15,    .95,    .66,    .38,    .38,     .1,    .52,   38.4,   59.1,
       02,      04,   191701,   4.44,   38.6,   3.21,   3.21,   2.61,   3.02,      0,    818,   1.13,    .62,    .12,    .57,    .45,    .49,    1.5,   29.3,   47.8,
       02,      03,   191701,   3.01,   35.6,   3.34,   3.34,   2.23,   3.34,      0,    911,    .97,    .52,    .08,    .74,    .68,    .42,   1.26,   24.8,   46.3,
       02,      06,   191701,   2.71,   48.2,   4.73,   4.73,   3.27,   4.73,      0,    521,   1.42,    .84,    .42,    .97,    .89,    .69,   1.36,   38.8,   57.5,
       02,      02,   191701,   1.94,   25.9,   3.96,   3.96,    2.1,   3.83,      0,   1212,   1.01,    .53,   -.07,    .82,    .78,    .65,   1.52,   16.2,   35.5,
       02,      01,   191701,   1.85,   35.5,    2.1,    2.1,   1.75,   1.93,      0,    914,    .83,    .49,    .04,    .28,    .59,     .2,    .77,   25.1,   45.9,
       02,      07,   191701,    2.7,   44.1,   3.51,   3.51,   3.23,   3.51,      0,    648,    1.5,    .83,    .39,    .62,    .53,    .46,    .92,   33.2,   54.9,
       02,      05,   191702,    .28,   54.2,    2.2,    2.2,    .15,    2.2,      8,    310,   -.06,    .67,    .61,     .5,     .2,    .15,    .25,   40.4,   68.1,
       02,      04,   191702,   2.35,   41.9,   3.23,   3.23,   1.04,   3.23,      0,    647,    .45,    .98,    .59,     .7,    .52,    .63,   1.46,   29.8,     54,
       02,      06,   191702,    .92,   52.6,   4.37,   4.37,    .37,   4.37,      5,    352,    .22,   1.06,    .67,    .97,    .81,    .75,   1.28,   39.3,   65.8,
