StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       03,      04,   191701,   2.35,   40.8,  -2.29,  -2.29,   -.83,  -2.29,      0,    750,   -.31,   -.57,    -.5,   -.98,  -1.08,   -1.6,    .35,   29.8,   51.7,
       03,      03,   191701,   4.57,   40.9,  -1.77,  -1.77,    .27,  -1.58,      0,    747,    .38,    .19,   -.22,   -.56,   -.67,  -1.27,    .12,   30.9,   50.8,
       03,      06,   191701,   5.53,   43.2,  -1.11,  -1.11,    .55,   -.73,      0,    676,    .54,    .28,   -.25,   -.16,   -.37,   -.97,      0,   33.2,   53.1,
       03,      09,   191701,   4.87,   44.7,   -.94,   -.94,   -.14,   -.94,      0,    629,    .19,   -.34,   -.84,   -.35,   -.19,  -1.07,   -.64,     34,   55.4,
       03,      01,   191701,   2.39,   38.5,   -1.9,   -1.9,   -.18,   -1.9,      0,    822,    .03,   -.15,   -.05,   -.73,   -1.3,  -1.32,    .83,   27.4,   49.6,
       03,      05,   191701,   3.57,   43.4,  -2.59,  -2.59,   -.87,  -2.59,      0,    670,   -.05,   -.63,   -.87,   -.76,  -1.07,  -2.04,    -.3,   32.6,   54.2,
       03,      07,   191701,   3.26,   44.5,  -2.84,  -2.84,   -1.2,  -2.84,      0,    636,   -.17,   -.78,   -.82,  -1.19,  -1.13,  -1.97,   -.43,   33.6,   55.4,
       03,      08,   191701,   4.26,   45.3,     -2,     -2,   -.63,     -2,      0,    611,    .03,   -.55,    -.8,   -.72,   -.61,  -1.76,   -.99,   34.8,   55.7,
       03,      02,   191701,   2.94,   39.3,  -1.26,  -1.26,   -.18,  -1.08,      0,    797,    .01,    .04,   -.05,   -.32,    -.7,  -1.09,    .59,   27.8,   50.7,
       03,      03,   191702,   2.02,   40.1,  -2.12,  -2.12,  -1.59,  -2.12,      0,    697,   -.83,   -.21,   -.29,   -.72,    -.8,  -1.23,   -.06,   27.3,   52.8,
       03,      01,   191702,    .98,   36.5,  -2.27,  -2.27,  -1.68,  -2.27,      0,    798,  -1.26,   -.76,    -.8,   -.89,  -1.25,  -1.43,    .58,     24,   49.1,
       03,      02,   191702,   1.64,   37.6,  -1.61,  -1.61,  -1.46,  -1.61,      0,    767,   -.86,   -.62,   -.51,   -.39,   -.69,   -1.1,     .4,   24.8,   50.4,
       03,      08,   191702,   2.88,   47.4,  -2.25,  -2.25,  -1.36,  -2.25,      0,    493,   -.57,   -.44,   -.84,     -1,   -.63,  -1.45,  -1.22,   33.9,   60.8,
       03,      07,   191702,   2.21,     46,  -3.09,  -3.09,  -1.61,  -3.09,      0,    532,   -.81,   -.73,  -1.12,  -1.52,  -1.12,  -1.75,   -.64,   33.4,   58.5,
       03,      09,   191702,   2.69,   46.2,  -1.37,  -1.37,  -1.58,  -1.37,      0,    526,   -.75,   -.42,   -.76,   -.78,   -.48,  -1.04,   -.92,   32.6,   59.6,
       03,      05,   191702,   1.61,   44.4,  -3.01,  -3.01,  -2.08,  -3.01,      0,    577,  -1.31,   -.83,   -1.2,  -1.31,  -1.14,  -2.14,   -.62,     31,   57.8,
       03,      04,   191702,   1.48,   41.4,  -2.61,  -2.61,  -1.68,  -2.61,      0,    661,   -.99,   -.96,  -1.09,  -1.07,  -1.29,  -1.69,    .07,   28.3,   54.6,
       03,      06,   191702,   1.66,   43.5,  -1.74,  -1.74,  -2.22,  -1.74,      0,    602,  -1.43,   -.28,   -.36,    -.7,   -.71,  -1.19,   -.28,   31.1,   55.8,
       03,      04,   191703,   3.54,     51,  -2.64,  -2.64,   -.89,  -2.64,     11,    445,   -.24,   -.85,   -.95,  -1.32,  -1.58,  -1.42,   -.06,   39.2,   62.9,
       03,      08,   191703,   5.98,   54.2,  -1.79,  -1.79,    .68,  -1.42,     18,    353,    .47,   -.04,   -.12,   -.82,   -.71,   -.81,   -.98,   42.2,   66.2,
       03,      05,   191703,   7.23,   52.4,    .55,  -2.15,   1.65,  -1.41,     14,    405,    .99,    .15,   -.05,    -.8,   -.84,  -1.19,   -.35,   41.2,   63.7,
       03,      03,   191703,   5.02,   50.3,   -.02,  -1.92,   -.06,  -1.88,     12,    468,    .18,    -.4,   -.19,   -.63,  -1.06,   -.95,    .06,   39.4,   61.3,
       03,      09,   191703,   6.95,   53.7,    .38,   -.85,   1.14,   -.13,     17,    368,     .7,    .04,    .02,   -.57,   -.39,   -.46,   -.62,   41.6,   65.9,
       03,      06,   191703,      8,   52.5,    .74,   -.82,   2.21,    .34,     16,    404,   1.12,    .24,    .42,   -.05,   -.26,   -.54,    .06,   41.7,   63.3,
       03,      07,   191703,   5.43,   53.6,  -2.64,  -2.64,    .39,  -2.42,     15,    368,    .39,   -.21,   -.35,  -1.03,  -1.22,  -1.21,   -.58,   42.7,   64.5,
       03,      01,   191703,   1.42,   48.5,  -2.76,  -2.76,  -2.19,  -2.76,      9,    521,  -1.42,  -2.16,  -1.48,  -1.62,  -1.84,  -1.59,    .35,   37.2,   59.7,
       03,      02,   191703,   2.69,   48.8,  -1.96,  -1.96,  -1.53,  -1.96,      9,    511,   -.67,  -1.13,   -.99,   -.98,  -1.19,  -1.11,    .25,   37.6,     60,
       03,      07,   191704,   5.81,   60.4,  -2.14,  -2.14,    .68,  -1.59,     23,    161,    .45,     .5,    .06,   -.57,   -.96,   -.99,   -.51,     49,   71.8,
       03,      04,   191704,   5.11,   58.7,  -2.24,  -2.24,    .38,  -2.02,     15,    204,    .28,   -.02,   -.52,   -.81,  -1.22,  -1.32,   -.05,     47,   70.3,
       03,      05,   191704,   4.03,     60,   -.21,  -2.14,   -.62,  -1.61,     21,    171,    -.3,     .4,   -.12,   -.78,   -.76,  -1.04,   -.38,   48.1,   71.8,
       03,      02,   191704,   6.83,   56.8,    .72,  -1.04,   2.16,    .04,     10,    256,    .97,    .27,   -.11,   -.23,   -.47,   -.79,    .54,   44.7,   68.9,
       03,      08,   191704,   5.25,   61.4,  -1.48,  -1.48,    .37,   -.89,     30,    138,    .26,    .39,    .03,    -.6,   -.64,   -.56,   -.72,   48.8,   73.9,
       03,      03,   191704,   5.92,   59.2,    .38,  -1.34,   1.14,    -.7,     19,    193,    .59,    .49,    .04,   -.26,   -.56,   -.68,    .28,   47.7,   70.6,
       03,      09,   191704,   6.08,   61.1,    .71,    .71,   1.12,    .71,     29,    146,    .52,    .74,    .26,   -.45,   -.19,   -.09,    -.2,   48.6,   73.5,
       03,      01,   191704,   7.58,   55.8,    .94,  -1.54,   2.82,    -.3,      9,    285,    1.2,    .31,   -.16,   -.32,   -.84,  -1.36,    .67,   44.4,   67.1,
       03,      06,   191704,   5.05,   61.1,    .72,   -.68,    .17,    .54,     32,    149,    .15,    .81,    .22,   -.13,   -.09,   -.27,    .33,   49.9,   72.4,
       03,      07,   191705,   2.17,   64.5,  -2.45,  -2.45,  -1.58,  -2.45,     66,     81,  -1.49,   -.59,   -.28,  -1.01,  -1.38,  -1.15,   -.74,   53.4,   75.7,
       03,      06,   191705,   3.58,   64.1,    .56,    -.7,   -.26,    .37,     69,     97,   -.46,   -.27,    .38,   -.03,   -.33,   -.37,    .26,   52.9,   75.2,
       03,      03,   191705,   3.89,   62.3,    .33,  -1.21,   -.03,   -.55,     46,    130,   -.38,    .14,    .15,   -.18,   -.53,   -.63,    .11,   50.9,   73.6,
       03,      05,   191705,   2.42,   63.4,   -.66,  -2.39,  -1.43,  -2.37,     53,    103,  -1.14,   -1.1,   -.28,  -1.01,  -1.22,  -1.14,   -.74,   51.6,   75.2,
       03,      09,   191705,   1.85,   65.2,    .15,    .15,  -1.47,   -.49,     78,     72,  -1.41,   -.42,    .05,   -.51,   -.62,   -.41,   -.48,   52.8,   77.5,
       03,      04,   191705,   2.53,     62,  -2.56,  -2.56,  -1.65,  -2.56,     36,    129,  -1.31,   -.81,   -.81,  -1.44,  -1.38,  -1.58,    -.6,   50.4,   73.6,
       03,      01,   191705,   4.93,   59.1,    .88,  -1.34,    .11,   -.06,     18,    201,    -.1,    .74,    .14,   -.36,    -.7,  -1.03,    .31,   47.4,   70.9,
       03,      08,   191705,   1.75,   65.5,  -1.89,  -1.89,  -1.69,  -1.89,     81,     66,  -1.66,   -.76,   -.36,   -.86,  -1.03,   -.77,   -.87,   53.5,   77.4,
