StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       04,      07,   191701,   1.36,   40.2,   3.05,   3.05,   1.47,   3.05,      0,    769,    .57,     .6,    .26,    .41,    .42,   -.04,    .88,   30.8,   49.5,
       04,      04,   191701,   2.09,   42.2,   -.47,   2.24,   -1.4,    1.6,      0,    707,   -.63,     .2,   -.15,    .19,    .09,   -.48,   1.22,     32,   52.4,
       04,      01,   191701,   5.04,   33.7,  -1.39,  -1.39,  -1.91,  -1.39,      0,    970,    -.7,   -.56,    -.7,   -.96,   -.91,  -1.12,    .08,   24.5,   42.9,
       04,      03,   191701,   1.25,   15.2,  -1.52,  -1.52,   -2.1,  -1.52,      0,   1544,    -.8,   -.46,   -.76,    -.6,    -.8,  -1.16,    .11,    2.4,   27.9,
       04,      05,   191701,   1.86,     37,    1.7,    1.7,   -1.2,   1.11,      0,    868,   -.62,    .04,   -.27,    .23,    .06,   -.28,    .86,   27.3,   46.6,
       04,      02,   191701,   2.93,   32.5,  -1.28,  -1.28,  -1.95,  -1.28,      0,   1008,   -.75,   -.36,   -.58,   -.63,   -.64,  -1.08,     .3,   21.6,   43.5,
       04,      06,   191701,   4.09,   43.3,   3.94,   3.94,    1.3,   3.94,      0,    673,    .42,    .75,    .42,    .83,    .78,    .02,   1.34,   34.6,     52,
       04,      02,   191702,    7.8,   39.7,   -.63,   -.63,   1.56,    .38,      0,    708,    .67,   -.09,   -.04,    -.3,    -.3,   -.69,    .01,   29.3,   50.1,
       04,      03,   191702,   4.75,     26,    .73,   -.63,    2.2,    .61,      0,   1092,    .94,    .09,    .04,   -.14,   -.33,    -.6,    .06,   15.6,   36.4,
       04,      05,   191702,   4.85,   43.2,   2.08,   2.08,   1.68,   2.08,      0,    610,    .69,    .03,    .33,    .43,    .41,    .08,    .56,   32.1,   54.3,
       04,      07,   191702,    .67,   47.1,   2.72,   2.72,   -.05,   2.63,      0,    501,   -.14,    .18,    .31,    .25,    .25,    .05,    .56,   35.6,   58.7,
       04,      06,   191702,   3.22,   46.6,   3.59,   3.59,    .16,   3.59,      0,    515,     .1,    .21,    .55,    .64,    .65,    .27,    .93,   36.9,   56.4,
       04,      01,   191702,   8.93,   38.6,   -.89,   -.89,   1.04,   -.23,      0,    739,    .48,   -.22,   -.32,   -.71,   -.61,   -.88,   -.35,   29.7,   47.6,
       04,      04,   191702,   5.44,   46.7,    .56,   2.57,   1.67,   2.55,      0,    512,    .65,      0,    .44,    .44,    .43,   -.07,    .72,   35.8,   57.6,
       04,      01,   191703,   3.31,   38.4,  -1.36,  -1.36,  -1.69,  -1.36,      0,    825,   -.73,   -.05,   -.56,   -.87,   -.85,  -1.03,   -.43,   28.9,     48,
       04,      03,   191703,    1.5,   27.8,    .47,   -.75,   -.57,    .17,      0,   1153,   -.47,    .44,   -.18,   -.28,   -.32,   -.67,    .08,     16,   39.6,
       04,      02,   191703,   2.33,   39.6,  -1.06,  -1.06,   -1.5,   -.86,      0,    787,   -.75,    .07,   -.46,    -.5,   -.49,   -.77,   -.05,     28,   51.3,
       04,      05,   191703,   1.29,   43.6,   -.49,   1.38,  -1.48,    .63,      0,    663,   -.83,   -.01,    -.4,    .04,    .12,   -.18,    .57,   30.5,   56.6,
       04,      04,   191703,   1.08,   46.7,   -.57,   1.73,  -1.71,    .93,      0,    567,   -.92,   -.04,   -.43,   -.01,    .12,   -.15,    .68,   32.6,   60.8,
       04,      06,   191703,    .52,   47.9,   2.58,   2.58,  -1.92,   1.76,      0,    530,  -1.11,   -.54,   -.23,    .21,     .3,    .13,    .87,     35,   60.8,
       04,      07,   191703,    .27,   48.8,   2.42,   2.42,   -.05,   2.26,      0,    502,   -.62,   -.53,   -.12,   -.05,    .05,   -.09,    .52,   35.1,   62.6,
       04,      02,   191704,   2.75,   48.2,   -.85,   -.85,    .29,   -.41,      0,    504,    .31,   -.48,    .08,   -.45,   -.47,   -.49,    .02,     37,   59.5,
       04,      04,   191704,     .5,   52.1,   -.93,   1.14,  -1.25,   -.21,      0,    387,   -.66,  -1.23,   -.28,   -.29,   -.02,   -.09,    .55,   38.4,   65.8,
       04,      07,   191704,     .4,     58,   2.55,   2.55,   1.15,   2.55,     29,    239,     .5,   -.37,   -.44,   -.14,    .04,    .06,    .45,   44.4,   71.6,
       04,      05,   191704,    .87,   50.8,   -.76,    .92,   -.95,   -.28,      0,    426,   -.53,  -1.08,   -.25,   -.37,   -.01,   -.13,     .4,   37.4,   64.1,
       04,      06,   191704,   1.21,   52.1,   2.37,   2.37,    .18,   1.59,      0,    387,    .26,   -.84,   -.53,   -.05,    .28,    .24,    .76,   40.5,   63.8,
       04,      03,   191704,   1.38,   38.8,    .48,   -.61,    .19,     .4,      0,    786,    .08,   -.39,    .35,    -.4,    -.3,   -.47,    .04,   26.7,   50.8,
       04,      01,   191704,   4.11,   45.8,   -.92,   -.92,    .91,   -.32,      0,    576,    .48,   -.34,    .07,   -.59,   -.79,   -.75,   -.33,   35.7,   55.8,
       04,      07,   191705,    .35,   63.1,   2.59,   2.59,     .9,   2.59,     73,    132,   1.18,    .81,    -.1,    .17,    .12,    .13,    .45,   50.4,   75.8,
       04,      04,   191705,    .33,   53.7,   -.73,   1.12,     .3,   -.08,      0,    350,    .03,    -.7,  -1.31,   -.09,   -.05,   -.05,    .37,   41.7,   65.6,
       04,      03,   191705,   1.59,     44,    .83,    .83,   1.18,    .83,      0,    651,    .49,    .28,    -.2,   -.13,   -.25,   -.42,   -.13,   32.4,   55.5,
       04,      02,   191705,   1.39,     53,   -.63,   -.63,     .4,    .09,      5,    377,    .04,    .16,   -.52,    -.3,   -.49,   -.49,   -.26,   40.7,   65.3,
       04,      06,   191705,    .64,   54.4,   2.63,   2.63,   1.52,   2.38,      0,    329,    .78,    .35,   -.71,    .19,    .29,    .31,     .7,   43.8,   64.9,
       04,      01,   191705,    1.3,   49.8,   -.92,   -.92,   -.27,   -.41,      0,    471,   -.21,    .21,   -.48,   -.54,   -.85,   -.76,   -.51,   38.7,   60.8,
       04,      05,   191705,    .81,   54.4,    -.4,    1.1,    .85,    .28,      7,    336,    .28,   -.43,  -1.03,   -.18,   -.04,   -.05,    .16,   41.7,   67.1,
       04,      06,   191706,    .01,   67.5,   3.07,   3.07,   2.11,   3.07,    110,     35,   -.47,    .67,    .32,   -.22,    .22,    .31,     .7,   51.6,   83.4,
       04,      02,   191706,    .06,   65.2,   -.67,   -.67,   -.31,   -.08,     81,     75,  -1.21,   -.52,   -.16,   -.51,   -.53,   -.52,   -.25,     48,   82.4,
       04,      05,   191706,      0,   69.4,   -.03,   1.32,    .98,    .85,    159,     27,  -1.03,   -.03,    -.6,   -.58,   -.12,   -.04,    .16,   52.4,   86.4,
       04,      07,   191706,      0,   79.6,   2.61,   2.61,    .85,   2.61,    438,      0,    -.8,    .85,    .67,   -.02,    .04,    .14,    .46,   63.2,     96,
       04,      04,   191706,      0,   64.3,   -.46,    1.2,    .59,    .24,     47,     68,   -.55,   -.17,   -.79,   -.62,   -.17,   -.05,    .37,   46.2,   82.4,
       04,      01,   191706,    .04,   59.2,   -1.1,   -1.1,   -.85,   -.96,      7,    181,  -1.43,   -.82,   -.08,   -.59,   -.88,   -.85,   -.51,   42.8,   75.6,
       04,      03,   191706,     .1,   56.7,   -.28,   -.28,   -.84,    .46,     10,    259,  -1.24,   -.26,   -.27,    -.3,   -.34,   -.39,   -.11,   39.8,   73.5,
       04,      06,   191707,    .19,   73.3,   3.21,   3.21,   1.37,   3.21,    257,      0,    1.4,    .78,    .82,   -.44,      0,    .32,    .72,   60.3,   86.3,
       04,      07,   191707,    .57,   86.9,   2.71,   2.71,    1.1,   2.71,    679,      0,   1.07,     .9,   1.28,   -.11,    .04,    .19,    .55,   73.7,  100.1,
       04,      04,   191707,      0,   70.8,   -.27,   1.22,    .44,    .41,    183,      0,    .01,   -.97,   -.21,   -.33,   -.32,   -.06,    .37,     54,   87.7,
       04,      03,   191707,     .4,     67,   -.11,   -.11,    .41,    .55,    103,     41,    .35,    -.9,   -.21,    .23,   -.46,   -.36,   -.11,     51,   83.1,
       04,      05,   191707,    .04,   78.3,   -.03,   1.18,      0,    .68,    412,      0,   -.09,  -1.18,    -.1,    -.3,    -.4,   -.04,    .17,   62.1,   94.4,
       04,      01,   191707,    .02,   68.4,   -1.2,   -1.2,   -.63,   -1.2,    120,     15,  -1.07,  -1.86,   -.97,   -.17,   -.73,   -.92,   -.53,   52.1,   84.8,
       04,      02,   191707,    .06,   74.2,   -.72,   -.72,   -.35,   -.24,    288,      0,    -.3,  -1.32,   -.58,   -.07,   -.53,   -.56,   -.26,   56.8,   91.6,
       04,      07,   191708,    .58,   83.1,   2.59,   2.59,    .47,   2.59,    561,      0,    .62,    .93,    .84,    .26,    .31,    .26,     .6,   69.4,   96.9,
       04,      01,   191708,    .09,   66.9,  -1.37,  -1.37,   -.87,  -1.37,     82,     23,    -.2,   -.93,  -1.75,   -.73,   -.64,   -.95,   -.52,   52.7,   81.1,
       04,      02,   191708,    .11,   71.8,   -.86,   -.86,   -.65,   -.56,    217,      6,    .09,   -.31,  -1.28,   -.74,   -.39,   -.57,   -.26,   55.2,   88.4,
       04,      03,   191708,    .28,     65,   -.23,   -.23,   -.38,    .37,     71,     71,    .06,    .14,   -.85,   -.51,   -.26,   -.36,   -.09,   47.8,   82.2,
       04,      04,   191708,      0,   66.6,    -.3,   1.04,   -.18,    .17,     75,     25,   -.19,   -.62,  -1.11,  -1.41,   -.11,   -.06,    .37,   52.6,   80.5,
       04,      05,   191708,    .03,   73.8,   -.32,    .77,   -.88,   -.09,    276,      0,   -.38,   -.53,  -1.23,   -1.2,   -.22,   -.08,    .18,   57.6,   90.1,
       04,      06,   191708,    .05,   70.3,   -.02,   2.85,   -.07,   2.76,    172,      8,   -.24,    .53,     .2,    -.7,     .2,     .3,    .71,   56.7,   83.8,
       04,      03,   191709,    .12,   56.2,   -.61,   -.61,  -1.22,   -.61,      5,    269,   -.91,   -.71,   -.51,   -.51,    -.4,   -.41,   -.09,   39.3,   73.1,
       04,      05,   191709,    .04,   68.6,   -.65,   -.65,  -1.08,   -.65,    131,     23,   -.67,   -.87,   -.93,   -.86,   -.66,   -.17,    .16,   52.6,   84.5,
