StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       05,      04,   191701,    .61,   19.8,   3.02,   3.02,    .54,   3.02,      0,   1401,   -.16,     .8,    .59,   1.04,    .13,   -.32,   1.18,    7.3,   32.3,
       05,      02,   191701,    1.9,   14.4,   3.83,   3.83,   1.69,   3.83,      0,   1569,    .26,    .49,    .03,    1.4,     .9,    .84,      1,    2.8,   26.1,
       05,      05,   191701,   1.33,   16.6,   2.46,   2.46,    .98,   2.46,      0,   1500,    .48,    .31,   -.27,    .59,    .11,    .33,   1.44,    3.7,   29.5,
       05,      01,   191701,    .45,   26.2,   1.43,   1.43,   -.15,    .29,      0,   1203,    .12,   -.07,   -.38,    .45,   -.82,   -.69,    .84,   11.8,   40.7,
       05,      03,   191701,    .32,     23,   2.55,   2.55,   -.14,   1.97,      0,   1302,    .18,      0,   -.24,    .39,   -.58,   -.95,   1.49,    8.5,   37.6,
       05,      05,   191702,   1.14,   21.3,   2.49,   2.49,    .86,   2.49,      0,   1224,    .05,    .27,    .17,    .29,    .45,    .39,   1.35,    8.3,   34.2,
       05,      02,   191702,   1.01,   21.3,   3.18,   3.18,   -.75,   2.83,      0,   1224,  -1.08,   -.46,   -.08,    .49,     .7,     .5,    .77,   10.3,   32.4,
       05,      04,   191702,    .72,   27.4,   3.02,   3.02,    .93,   3.02,      0,   1053,   -.02,   -.25,    .58,     .8,    .16,   -.25,   1.04,   15.2,   39.5,
       05,      03,   191702,    .42,   30.7,   2.37,   2.37,    .24,   1.84,      0,    960,    .25,    .14,    .01,   -.79,   -.23,   -.81,   1.42,   15.9,   45.5,
       05,      01,   191702,    .55,   32.3,   1.33,   1.33,    .13,    .26,      0,    916,    .22,    .16,   -.04,   -.83,   -.28,   -.53,    .68,   18.2,   46.3,
       05,      01,   191703,    .61,   34.1,    1.1,    1.1,   -.28,   -.01,      0,    958,    -.6,   -.52,   -.45,   -.51,   -.22,   -.52,    .64,   18.5,   49.7,
       05,      04,   191703,   1.29,   26.8,   3.24,   3.24,    1.6,   3.24,      0,   1184,    .23,    .06,    -.1,   1.19,    .88,    .02,   1.02,   14.2,   39.4,
       05,      02,   191703,   1.52,   22.7,   2.65,   2.65,   -.63,      2,      0,   1311,   -.53,  -1.16,   -.74,    .46,    .89,    .21,    .98,   10.3,   35.1,
       05,      05,   191703,   1.21,   22.4,   2.34,   2.34,     .3,   2.34,      0,   1321,    -.3,   -.28,   -.05,    .44,    .65,    .16,   1.64,    8.2,   36.7,
       05,      03,   191703,    .59,   32.2,   2.09,   2.09,   -.11,   1.48,      0,   1017,   -.25,   -.27,   -.26,   -.47,    -.3,   -.65,   1.31,   18.6,   45.9,
       05,      02,   191704,   3.29,   34.5,   3.57,   3.57,   3.57,   3.57,      0,    915,   1.42,    .67,    .08,   -.04,    1.1,    .74,   1.06,   23.6,   45.5,
       05,      05,   191704,   1.83,   34.3,   2.57,   2.57,   1.41,   2.57,      0,    921,    .46,    .05,   -.02,   -.29,    .38,    .06,    .72,   21.3,   47.2,
       05,      01,   191704,   1.87,   43.8,   1.57,   1.57,   1.73,    .78,      0,    636,     .6,    .21,    .14,   -.07,    .32,   -.66,    .16,   29.3,   58.2,
       05,      03,   191704,   1.46,   44.1,   2.13,   2.13,    .78,   1.72,      0,    627,   -.06,   -.27,   -.27,   -.41,    .03,    -.7,    .71,   30.4,   57.9,
       05,      04,   191704,   1.66,   38.3,   3.27,   3.27,   1.09,   3.27,      0,    801,   -.16,   -.16,   -.24,    .02,    .62,   -.02,    .46,   25.9,   50.7,
       05,      02,   191705,   3.16,   42.2,   4.63,   4.63,   4.31,   4.63,      0,    707,   1.67,   1.91,    1.3,    .87,   1.16,   1.37,   1.25,     32,   52.4,
       05,      04,   191705,   5.08,   44.3,    5.1,    5.1,   6.51,    5.1,      0,    642,   1.92,   1.34,   1.25,   1.36,   1.52,    .99,    .99,   33.1,   55.4,
       05,      01,   191705,   2.59,   49.4,   2.31,   2.31,   2.73,   2.11,      0,    484,    .64,    .69,    .43,    .39,   -.15,    .01,      0,   36.9,     62,
       05,      03,   191705,   4.72,     51,   3.58,   3.58,   5.02,   3.58,      0,    434,   1.42,   1.02,     .8,    .74,    .18,     .2,    .55,   38.3,   63.6,
       05,      05,   191705,   1.76,   39.8,   2.98,   2.98,   2.02,   2.98,      0,    781,    .61,    .59,    .27,    .26,    .32,    .47,    .73,   28.6,     51,
       05,      01,   191706,    .87,   64.4,   2.05,   2.05,   -.08,   1.76,     70,     88,   -.99,   -.09,    .14,   -.08,   -.19,   -.09,   -.33,   47.8,     81,
       05,      04,   191706,    .68,     59,   4.12,   4.12,  -1.38,   3.55,     18,    198,   -1.5,    .98,    .62,    .47,   1.08,   1.03,    .62,   42.9,     75,
       05,      05,   191706,    .33,   53.6,   -.19,   2.48,   -.57,   2.18,      0,    342,    -.9,   -.03,    .15,   -.02,    .35,    .56,    .61,   37.8,   69.5,
       05,      03,   191706,   1.72,   65.2,   3.32,   3.32,    .31,   3.32,     94,     88,   -.72,    .65,    .43,    .25,    .08,    .03,    .11,   49.2,   81.3,
       05,      02,   191706,    .22,     55,   -.38,   3.77,  -1.15,   3.28,      0,    300,  -1.47,    .74,   1.31,     .4,   1.04,   1.41,   1.01,   39.1,   70.9,
       05,      01,   191707,   1.47,   72.6,    1.4,    1.4,  -1.31,    .54,    236,      0,  -1.11,  -1.52,   -.75,   -.56,   -.61,   -.19,   -.61,   57.2,     88,
       05,      04,   191707,   1.81,   67.4,   3.65,   3.65,   -.14,   2.97,     97,     23,   -.61,  -1.41,    .65,    .28,    .43,    .86,    .62,   51.8,     83,
       05,      03,   191707,   1.47,   74.9,   2.75,   2.75,   -.69,   2.41,    307,      0,  -1.34,  -1.51,   -.02,   -.26,   -.32,   -.05,   -.32,   58.4,   91.4,
       05,      05,   191707,   1.54,   60.5,   -.31,   2.08,   -.43,   1.56,      0,    142,   -.49,  -1.04,   -.38,   -.37,   -.48,    .11,    .26,   45.8,   75.2,
       05,      02,   191707,   1.46,   63.8,    -.3,   3.43,    .14,   2.94,     27,     64,   -.26,  -1.03,    .53,    .34,     .2,   1.09,   1.15,   48.7,   78.8,
       05,      03,   191708,   2.93,   68.2,   3.52,   3.52,   3.16,   3.52,    129,     30,    .73,   -.42,   -.76,   -.04,   -.08,   -.42,   -.85,   53.7,   82.7,
       05,      04,   191708,   1.83,   61.8,   3.52,   3.52,    .76,   3.08,     16,    115,    .07,   -.44,  -1.09,    .23,    .39,    .64,    .33,   47.2,   76.5,
       05,      01,   191708,   2.24,   67.2,   1.52,   1.52,    .79,    .94,     96,     27,    .11,   -.75,  -1.15,   -.54,   -.52,   -.89,   -.96,   52.7,   81.8,
       05,      02,   191708,   1.28,   59.3,   -.49,   2.85,   -.67,   2.06,      0,    180,   -.71,   -.66,  -1.16,    .39,    .22,    .59,    1.2,   44.5,   74.1,
       05,      05,   191708,   1.69,   55.8,   -.51,   1.64,   -.68,    .79,      0,    285,   -.54,   -.75,  -1.13,   -.61,   -.46,   -.26,    .36,   41.3,   70.3,
       05,      04,   191709,   1.13,   57.4,   3.08,   3.08,   -.24,    2.5,      9,    237,   -.05,    -.1,   -.45,    .17,     .1,    .69,   -.06,     42,   72.9,
       05,      05,   191709,   1.03,   51.3,   -.75,   1.18,   -.87,   -.02,      0,    411,   -.46,   -.75,    -.9,   -.61,   -.62,   -.21,    .18,   37.3,   65.2,
       05,      02,   191709,   1.26,   53.5,   -.61,   2.39,   -.52,   1.38,      0,    345,   -.37,   -.85,   -.81,     .5,   -.08,    .62,   1.02,     39,     68,
       05,      01,   191709,   1.92,   62.2,   1.94,   1.94,   1.74,   1.94,     35,    119,   1.02,    .68,   -.14,   -.06,    -.2,   -.29,    -.8,   47.4,     77,
