StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       06,      01,   191701,   3.13,   23.2,   -.91,   -.91,   -.51,   -.91,      0,   1296,    -.1,   -.37,   -.53,   -.91,   -.57,   -.39,   -.33,   13.5,   32.8,
       06,      02,   191701,   3.13,   25.6,   -1.5,   -1.5,   -.57,   -1.5,      0,   1221,   -.12,   -.48,   -.76,  -1.48,   -.29,   -.24,   -.85,   16.3,   34.9,
       06,      03,   191701,   3.34,   28.2,  -1.38,  -1.38,   -.38,  -1.38,      0,   1141,   -.01,   -.17,   -.58,  -1.48,   -.22,    -.1,   -.71,   19.1,   37.3,
       06,      03,   191702,   2.09,   23.8,  -1.72,  -1.72,  -1.46,  -1.72,      0,   1154,   -.94,   -.74,    -.7,  -1.45,   -.57,   -.61,   -1.1,   14.8,   32.8,
       06,      02,   191702,   2.43,     22,  -1.68,  -1.68,   -.98,  -1.68,      0,   1204,   -.53,   -.62,   -.83,  -1.42,   -.56,   -.73,  -1.16,   12.5,   31.5,
       06,      01,   191702,   2.83,   19.5,   -.98,   -.98,   -.48,   -.98,      0,   1274,   -.13,   -.37,   -.52,   -.87,   -.59,   -.68,   -.62,    9.7,   29.2,
       06,      03,   191703,   6.13,   34.8,    .69,   -.85,   2.08,    .25,      0,    936,      1,     .4,    .24,    -.7,   -.44,   -.24,   -.48,   26.5,   43.2,
       06,      01,   191703,   4.18,   31.8,   -.76,   -.76,    .34,   -.76,      0,   1029,    .14,   -.04,   -.23,   -1.2,   -.61,   -.65,   -.25,     23,   40.5,
       06,      02,   191703,    5.1,   33.8,   -1.1,   -1.1,   1.21,   -.42,      0,    967,    .61,     .2,   -.01,  -1.02,   -.54,   -.42,   -.64,   24.8,   42.7,
       06,      02,   191704,   2.33,   43.3,  -1.49,  -1.49,  -1.52,  -1.49,      0,    651,     -1,   -.21,    -.5,   -.96,  -1.43,   -.55,   -.59,   32.4,   54.3,
       06,      01,   191704,   2.22,   42.4,  -1.26,  -1.26,  -1.72,  -1.26,      0,    678,  -1.09,   -.62,   -.72,   -.94,  -1.17,   -.87,    -.3,   31.4,   53.3,
       06,      03,   191704,   2.57,   44.1,    .21,  -1.17,  -1.23,   -.65,      0,    627,   -.84,    .23,   -.23,   -.63,   -1.3,   -.34,   -.44,   33.8,   54.3,
       06,      03,   191705,   3.94,   49.9,    .44,   -.81,    .75,     .1,      0,    468,     .1,   -.47,    .21,   -.34,   -.99,   -.42,   -.39,   40.7,     59,
       06,      02,   191705,   3.62,   49.2,    .19,  -1.15,    .57,   -.77,      0,    490,   -.07,   -.71,   -.23,   -.77,  -1.24,   -.65,   -.56,   39.1,   59.4,
       06,      01,   191705,    3.8,   47.2,   -.94,   -.94,    .57,   -.51,      0,    552,   -.12,   -.79,   -.61,   -.88,  -1.09,   -.84,   -.24,   37.2,   57.2,
       06,      02,   191706,   4.04,   65.1,    .32,   -.88,    .44,    -.2,     56,     53,    .36,    .22,    -.4,   -.43,  -1.08,   -.74,   -.31,   54.5,   75.7,
       06,      01,   191706,    4.9,   63.8,   -.56,   -.56,    .84,    .43,     40,     76,    .52,    .29,   -.33,   -.52,  -1.13,   -.76,   -.05,   53.6,   73.9,
       06,      03,   191706,   3.73,   65.8,    .51,    -.6,    .36,    .45,     64,     40,     .3,    .25,   -.27,   -.15,   -.78,    -.6,   -.17,   56.1,   75.4,
       06,      03,   191707,    2.9,     72,   -.14,   -.68,   -.42,    .17,    220,      0,   -.36,    -.1,   -.06,   -.28,   -.62,   -1.2,   -.34,     63,     81,
       06,      02,   191707,   2.94,   71.2,    .06,  -1.02,   -.68,   -.63,    196,      0,    -.5,   -.12,   -.16,   -.57,   -.95,  -1.36,    -.7,   61.2,   81.2,
       06,      01,   191707,   3.29,   69.2,   -.77,   -.77,    -.8,   -.21,    140,     10,   -.43,    .04,   -.07,   -.64,   -.85,  -1.09,   -.47,   59.1,   79.3,
       06,      01,   191708,   4.29,     69,   -.72,   -.72,   -.08,   -.15,    138,     14,    .18,   -.26,    .04,    -.5,   -.74,   -.89,   -.86,   58.1,   79.8,
       06,      02,   191708,   5.78,   70.6,    .54,    .54,   1.47,    .54,    181,      7,    .87,    .38,    .37,   -.01,   -.45,   -.86,   -.86,   59.8,   81.3,
       06,      03,   191708,   4.02,   71.8,   -.14,   -.63,   -.06,    .18,    214,      0,     .2,    -.2,   -.11,   -.04,   -.44,   -.91,   -.76,   61.8,   81.7,
       06,      01,   191709,   1.13,   55.8,  -1.39,  -1.39,  -2.23,  -1.39,      0,    276,  -2.02,  -1.02,  -1.22,  -1.15,  -1.18,   -1.5,  -1.09,   43.7,     68,
       06,      03,   191709,   2.55,   58.8,   -.38,   -.82,   -.76,   -.26,      5,    191,   -.49,   -.35,   -.57,   -.68,   -.58,   -.97,   -.76,   47.6,   69.9,
       06,      02,   191709,   1.82,   57.2,    .05,    .05,  -1.32,   -.44,      0,    237,     -1,   -.02,   -.31,   -.61,   -.64,  -1.07,   -.89,   45.2,   69.3,
       06,      02,   191710,   5.92,   46.7,    .89,    .89,   2.53,    .89,      0,    567,      1,    .16,    .52,    .24,   -.12,   -.45,   -.62,     36,   57.4,
       06,      01,   191710,   6.38,   44.7,    .88,    .88,   2.65,    .88,      0,    629,   1.05,   -.09,   -.07,   -.21,   -.63,   -.77,   -.77,     34,   55.4,
       06,      03,   191710,   6.18,   48.3,    .92,    .92,   2.77,    .92,      0,    518,   1.11,    .48,     .4,    .21,   -.03,   -.32,   -.49,   38.4,   58.2,
       06,      02,   191711,     .8,   34.5,   -.87,   -.87,  -2.61,   -.87,      0,    915,  -1.89,   -.26,   -.89,   -.39,   -.53,   -.85,    -.8,     24,   44.9,
       06,      03,   191711,    .67,   36.7,   -.85,   -.85,  -2.55,   -.85,      0,    849,  -2.06,   -.18,   -.57,   -.55,   -.39,   -.71,   -.69,     27,   46.4,
       06,      01,   191711,    .92,   32.6,   -.87,   -.87,  -2.62,   -.87,      0,    972,  -1.88,   -.11,  -1.07,   -.81,  -1.07,  -1.22,   -.91,   21.8,   43.3,
       06,      01,   191712,   2.94,   16.3,  -1.08,  -1.08,   -.89,  -1.08,      0,   1510,   -.51,  -1.82,   -.45,  -1.21,  -1.23,  -1.25,  -1.22,    7.5,   25.1,
       06,      03,   191712,   3.03,   21.7,  -1.01,  -1.01,   -.74,  -1.01,      0,   1342,   -.55,  -1.92,   -.51,   -.83,    -.9,   -.78,   -.78,   13.1,   30.3,
       06,      02,   191712,   2.72,     19,  -1.14,  -1.14,  -1.08,  -1.14,      0,   1426,    -.7,  -2.02,   -.65,   -.74,    -.9,   -.89,   -.94,    9.8,   28.2,
       06,      02,   191801,   3.54,   15.7,  -1.08,  -1.08,   -.18,  -1.08,      0,   1528,    .14,   -.47,  -1.73,   -.54,   -.59,   -.82,    -.7,    6.6,   24.7,
       06,      01,   191801,   4.14,   12.6,    -.8,    -.8,    .49,   -.36,      0,   1624,    .49,   -.08,  -1.33,   -.88,   -.81,   -1.1,   -.97,      3,   22.2,
       06,      03,   191801,   3.42,   17.7,  -1.01,  -1.01,    -.3,  -1.01,      0,   1466,    .04,   -.41,  -1.71,    -.7,   -.67,   -.76,   -.54,    9.2,   26.3,
       06,      03,   191802,   3.25,     25,   -.89,   -.89,    .05,   -.74,      0,   1120,    .06,   -.08,   -.43,   -.78,   -.76,   -.55,   -.74,   14.3,   35.6,
       06,      01,   191802,   2.83,   20.4,   -.88,   -.88,   -.48,   -.67,      0,   1249,   -.13,    .12,   -.27,  -1.14,   -.89,  -1.09,  -1.14,    8.8,     32,
       06,      02,   191802,   3.06,   22.8,  -1.02,  -1.02,   -.15,  -1.02,      0,   1182,      0,   -.08,   -.56,   -1.1,   -.66,   -.71,   -.93,   11.6,   34.1,
       06,      02,   191803,   2.27,   35.8,  -1.53,  -1.53,  -1.85,  -1.53,      0,    905,  -1.08,   -.91,   -.79,  -1.13,   -1.1,  -1.23,  -1.03,   24.3,   47.3,
       06,      03,   191803,   1.97,   37.3,  -1.56,  -1.56,  -2.29,  -1.56,      0,    859,  -1.37,  -1.07,   -.97,  -1.09,  -1.26,  -1.31,   -.96,   26.5,   48.1,
       06,      01,   191803,    2.7,   33.9,  -1.24,  -1.24,  -1.34,  -1.24,      0,    964,   -.75,   -.78,   -.42,   -.71,  -1.33,  -1.35,  -1.26,     22,   45.9,
       06,      02,   191804,   4.02,   45.9,  -1.38,  -1.38,   -.02,  -1.31,      0,    573,    .11,   -.69,    -.7,  -1.71,   -.89,   -.89,   -.88,   33.6,   58.2,
       06,      01,   191804,   4.43,   44.1,   -.97,   -.97,    .43,   -.61,      0,    627,    .35,    -.3,   -.44,  -1.27,  -1.03,   -.96,  -1.12,   31.8,   56.3,
       06,      03,   191804,   4.47,   46.4,    .15,  -1.25,    .46,   -.94,      0,    558,    .33,   -.64,   -.62,  -1.63,   -.94,    -.9,   -.77,   35.3,   57.4,
       06,      01,   191805,   4.46,     60,   -.97,   -.97,   -.31,   -.72,     23,    178,    .25,    .39,   -.14,   -.36,  -1.02,   -.88,  -1.11,   47.4,   72.5,
       06,      02,   191805,   3.32,   60.9,  -1.63,  -1.63,  -1.18,  -1.63,     26,    153,   -.26,   -.09,   -.73,   -.99,  -1.29,   -.94,  -1.02,   48.2,   73.6,
       06,      03,   191805,   3.72,     61,   -.25,  -1.37,   -.74,  -1.36,     24,    148,   -.03,     .2,   -.58,   -.81,   -.99,   -.94,   -.89,   49.5,   72.5,
       06,      03,   191806,   4.27,   63.1,     .4,   -.83,   1.21,   -.06,     26,     83,    .54,    .36,     .4,   -.33,    -.6,   -.87,   -.94,   52.4,   73.9,
       06,      02,   191806,   4.23,   62.6,     .3,  -1.16,     .9,   -.63,     24,     96,    .44,    .18,    .13,   -.49,   -.83,   -.93,  -1.05,   50.9,   74.2,
       06,      01,   191806,   3.55,   60.6,    -.9,    -.9,    -.1,   -.62,     11,    143,   -.11,    .05,    .16,   -.26,   -.51,  -1.09,  -1.16,     49,   72.2,
       06,      03,   191807,   3.99,   70.3,    .68,    .68,    .94,    .68,    170,      6,    .33,    .48,    .35,    -.2,  -1.14,   -.69,  -1.35,   59.7,   80.8,
       06,      02,   191807,   3.61,   69.4,    .36,   -.96,    .26,   -.24,    146,      9,   -.02,     .2,    .01,   -.56,  -1.42,   -.81,  -1.52,     58,   80.7,
