StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       07,      01,   191701,   3.43,   31.8,    .54,  -1.04,    .24,   -.12,      0,   1029,     .2,    .91,    .42,  -1.09,   -.32,   -.19,   -.26,     23,   40.6,
       07,      02,   191701,   2.69,   34.4,  -1.05,  -1.05,   -.77,   -.75,      0,    949,   -.39,     .3,   -.01,  -1.07,   -.32,   -.46,   -.83,   25.5,   43.2,
       07,      02,   191702,   2.27,   32.1,  -1.21,  -1.21,   -.81,  -1.21,      0,    921,   -.53,   -.77,   -.06,   -.49,   -.79,   -.67,   -.96,   22.5,   41.8,
       07,      01,   191702,    1.8,   29.4,    .05,  -1.37,  -1.31,   -.99,      0,    997,   -.91,   -.54,     .4,   -.61,    -.5,   -.51,   -.57,   19.4,   39.3,
       07,      01,   191703,   5.53,   39.8,    .75,    .75,   2.12,    .75,      0,    781,    1.1,    .34,    .34,    .12,   -.34,   -.25,   -.14,   30.8,   48.7,
       07,      02,   191703,   7.18,   41.3,    1.2,    1.2,    3.6,    1.2,      0,    735,   1.74,    1.1,     .7,    .25,   -.22,    .01,   -.33,   32.6,     50,
       07,      02,   191704,   2.78,     52,    .84,    .84,    -.7,    .31,      0,    390,   -.45,   1.18,    .75,    .42,   -.43,      0,   -.26,   41.4,   62.6,
       07,      01,   191704,   2.43,   51.5,    .26,    .26,  -1.22,   -.41,      0,    405,   -.76,    .33,   -.17,     .2,   -.94,   -.36,   -.11,   40.1,   62.9,
       07,      01,   191705,   3.06,   55.8,     .2,     .2,   -.11,    -.4,      0,    290,   -.28,   -.81,    .08,    .24,   -.44,   -.46,   -.28,   45.1,   66.6,
       07,      02,   191705,   2.99,   56.7,    .75,    .75,   -.03,    .13,      5,    262,   -.21,   -.45,    .79,    .47,    .07,   -.34,   -.34,   45.9,   67.5,
