StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       08,      02,   191701,   1.51,   59.2,   -.59,     .7,  -1.77,   -.34,     75,    254,   -.97,    .64,    .75,   -.06,   -.11,  -1.06,    -.7,   47.5,   70.9,
       08,      05,   191701,    .53,   66.2,   -.43,   -.43,   -1.3,   -.43,    132,     95,  -1.07,   -.73,    .01,   -.61,    -.8,   -.87,   -.54,   54.6,   77.7,
       08,      03,   191701,    .75,   62.4,   -.61,    1.2,  -1.84,    .29,    104,    185,  -1.23,    .28,    1.1,    .35,   -.21,   -.94,   -.43,   51.4,   73.4,
       08,      01,   191701,   4.76,   57.5,   -.17,   1.08,   -.01,    .34,     65,    298,     .3,    .86,     .4,   -.38,    .96,   -.01,   -.63,   47.5,   67.6,
       08,      07,   191701,    .67,   68.2,   -.34,   1.25,   -.79,    .63,    158,     59,   -.72,  -1.19,   -.38,   -.55,   -.02,   -.16,   -.19,     61,   75.4,
       08,      04,   191701,      1,   64.5,    -.4,    .55,   -1.2,    -.4,    121,    137,   -.73,   -.19,     .4,   -.16,   -.69,  -1.13,   -.74,   53.1,     76,
       08,      06,   191701,    .56,   66.6,   -.78,   -.78,   -1.6,   -.78,    135,     85,  -1.27,  -1.46,   -.53,   -.57,    -.8,   -.91,   -.32,   56.7,   76.6,
       08,      02,   191702,   2.21,   54.8,   -.94,   -.94,  -1.23,   -.94,     22,    307,   -.65,  -1.11,    .13,   -.03,   -.23,   -.85,   -.83,   41.9,   67.7,
       08,      05,   191702,    .94,   62.9,   -.66,   -.66,   -.82,   -.66,     70,    129,   -.78,  -1.27,  -1.04,   -.62,   -.87,    -.9,    -.7,   50.1,   75.7,
       08,      03,   191702,   1.64,     58,   -.93,     .7,  -1.15,   -.74,     37,    233,   -.66,  -1.26,   -.16,    .25,   -.38,   -.72,   -.66,   45.6,   70.4,
       08,      06,   191702,    .89,   63.8,  -1.05,  -1.05,  -1.05,  -1.05,     78,    112,   -.92,   -1.5,  -1.61,    -.5,   -.96,  -1.08,   -.44,   53.1,   74.4,
       08,      04,   191702,   1.61,   60.6,   -.61,   -.61,   -.76,   -.61,     53,    176,   -.45,   -.85,   -.48,   -.14,    -.8,   -.91,  -1.04,   47.8,   73.4,
       08,      07,   191702,    .39,   65.2,   -.64,    .79,     -1,   -.32,     93,     87,  -1.26,  -1.49,  -1.62,    -.4,   -.19,   -.26,   -.38,   56.3,   74.1,
       08,      01,   191702,   3.91,   54.6,   -.35,    .77,   -.59,   -.15,     20,    311,   -.33,   -.12,    .47,   -.25,    .92,    .15,   -.72,   42.9,   66.2,
       08,      04,   191703,   1.25,   67.9,  -1.17,  -1.17,  -1.87,  -1.17,    144,     54,   -.78,   -.87,  -1.03,   -.19,   -.83,   -.76,  -1.08,   55.5,   80.3,
       08,      05,   191703,   2.13,   69.6,   -.78,   -.78,   -.54,   -.78,    171,     28,     .1,    -.4,    -.8,   -.13,   -.76,   -.64,   -.65,   58.3,   80.8,
       08,      03,   191703,   1.56,   66.1,  -1.46,  -1.46,  -1.88,  -1.46,    120,     86,   -.71,   -.98,  -1.33,    .26,   -.61,   -.58,   -.68,   53.8,   78.4,
       08,      01,   191703,   3.12,   62.8,  -1.02,  -1.02,  -2.12,  -1.02,     72,    140,    -.8,   -.89,   -.61,    -.2,     .7,    .28,   -.69,   51.5,   74.2,
       08,      07,   191703,   2.87,   72.1,   -.22,   1.06,   1.06,    .41,    230,     10,    .92,   -.02,    -.4,    .46,   -.31,    .07,   -.25,   66.1,   78.1,
       08,      02,   191703,    2.7,   63.8,  -1.26,  -1.26,  -1.25,  -1.26,     86,    123,   -.35,   -.76,  -1.11,    .22,   -.44,   -.57,   -.92,     51,   76.6,
       08,      06,   191703,   2.88,   69.9,   -.97,   -.97,    -.1,   -.94,    175,     23,    .28,   -.35,   -.83,   -.12,   -.87,   -.77,   -.38,   61.5,   78.3,
       08,      01,   191704,   1.81,   67.8,  -1.52,  -1.52,  -1.82,  -1.52,    117,     33,   -.88,  -1.17,   -1.2,   -.51,   -.95,    .16,   -.58,     55,   80.5,
       08,      02,   191704,   1.51,     68,  -1.66,  -1.66,  -1.59,  -1.66,    116,     26,   -.73,   -.82,  -1.08,    -.2,   -.64,   -.59,   -.81,   54.7,   81.2,
       08,      07,   191704,   2.42,   71.6,   -.02,   1.14,    .55,    .67,    201,      0,    .11,    .53,   -.07,   -.35,   -.51,   -.04,   -.14,   64.3,     79,
       08,      04,   191704,   1.45,   69.6,  -1.34,  -1.34,   -.86,  -1.34,    153,     15,   -.57,     -1,  -1.07,   -.51,   -.69,  -1.05,  -1.15,   55.9,   83.4,
       08,      06,   191704,   1.64,   70.4,  -1.19,  -1.19,   -.94,  -1.19,    169,      7,   -.68,   -.43,   -.76,    -.9,   -.85,   -.99,   -.36,   60.8,   79.9,
       08,      03,   191704,    1.5,   68.9,   -1.7,   -1.7,  -1.15,   -1.7,    137,     20,   -.59,   -.99,  -1.18,   -.04,   -.41,   -.71,   -.68,   55.9,   81.8,
