StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       09,      06,   191701,   4.65,   50.1,   -.92,   -.92,    .52,    -.5,     20,    482,    .55,    .06,   -.25,   -.95,    .16,   -.58,   -.52,   39.9,   60.3,
       09,      02,   191701,   6.12,     44,   1.02,   1.02,     .4,   -.07,      7,    658,    .52,     .2,   -.12,   -.56,    .83,   -.02,   -.36,   35.1,   52.8,
       09,      04,   191701,   6.12,   48.4,    .35,    .93,   1.05,   -.32,     15,    530,    .81,     .2,   -.02,   -.72,    .79,   -.08,   -.47,   38.4,   58.4,
       09,      09,   191701,   3.77,     55,  -1.27,  -1.27,    .42,   -.63,     43,    353,    .32,    .48,    .19,   -.59,   -.01,   -.93,   -.89,   43.6,   66.3,
       09,      01,   191701,   6.22,     44,    .21,   -.89,    .64,    -.4,      9,    660,    .66,    .27,   -.08,   -.79,    .79,    -.1,   -.13,   34.3,   53.6,
       09,      05,   191701,   5.03,   49.2,   -.83,    .71,    .41,   -.68,     15,    505,    .52,   -.01,   -.42,  -1.12,    .39,   -.44,   -.95,   39.2,   59.1,
       09,      03,   191701,   4.47,   45.3,  -1.19,  -1.19,   -.64,  -1.19,      7,    618,   -.04,   -.55,   -.91,  -1.17,    .12,   -.53,   -.83,   35.6,     55,
       09,      07,   191701,   5.74,   54.1,    -.8,    .84,    .84,   -.56,     41,    379,    .64,    .57,    .11,   -.84,     .7,   -.27,  -1.04,   43.8,   64.5,
       09,      08,   191701,   5.13,   54.2,    .38,   -.75,    .85,    .06,     39,    374,    .61,    .67,    .26,   -.67,    .45,   -.57,    -.9,   43.5,     65,
       09,      03,   191702,   6.39,   42.9,    .48,   -.59,   1.43,    .41,      0,    619,    .74,    .46,    -.1,   -.66,    .44,    -.4,   -.66,   30.8,     55,
       09,      05,   191702,    4.6,   46.7,   -.65,    .73,    .28,   -.49,      0,    512,    .12,    .35,   -.07,   -.63,    .62,   -.33,   -.86,   34.4,     59,
