StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       10,      08,   191701,    1.2,     12,    .58,    .58,   -.87,   -.61,      0,   1643,   -.42,   -.09,   -.62,   -.89,   -.93,   -.91,    .55,    2.8,   21.2,
       10,      06,   191701,   1.28,   16.4,   1.14,   1.14,   -.02,    .97,      0,   1507,   -.13,    .25,   -.17,   -.22,   -.14,    .16,    .74,    6.7,   26.1,
       10,      09,   191701,    .94,    9.6,     .8,     .8,    .02,     .8,      0,   1717,   -.11,    .42,   -.01,    .03,   -.31,   -.04,    .56,     .1,     19,
       10,      03,   191701,   2.64,     24,   3.39,   3.39,   1.56,   3.39,      0,   1271,    .37,    .56,    .35,    .22,    .48,   1.26,   1.43,     16,   32.1,
       10,      02,   191701,   4.16,   22.3,   2.48,   2.48,    .59,   2.36,      0,   1324,    .35,    .38,    .23,    .09,    .34,   1.15,   1.13,   14.3,   30.4,
       10,      04,   191701,    3.5,   15.8,   1.34,   1.34,  -1.23,    .52,      0,   1525,   -.51,   -.16,   -.36,   -.46,   -.25,    .29,     .8,      7,   24.5,
       10,      05,   191701,    1.2,   19.5,    .65,    .65,  -1.06,   -.56,      0,   1410,   -.65,   -.37,   -.57,   -.91,   -.44,   -.03,    .65,     11,   27.9,
       10,      07,   191701,    .82,     14,   1.05,   1.05,   -.72,    .58,      0,   1581,   -.43,      0,   -.15,   -.27,   -.39,   -.04,    .42,    5.2,   22.9,
       10,      10,   191701,   1.87,   11.6,   1.27,   1.27,    .67,   1.27,      0,   1655,   -.29,    .66,    .09,     .1,   -.31,   -.12,    .14,    2.8,   20.4,
       10,      01,   191701,   3.13,   20.9,  -1.74,  -1.74,  -1.56,  -1.74,      0,   1367,   -.69,   -1.1,  -1.02,  -1.25,   -.81,   -.02,    .03,     14,   27.9,
       10,      03,   191702,    2.3,   30.2,   3.46,   3.46,   1.27,   3.46,      0,    974,     .5,    .53,    .63,    .19,    .67,    .83,   1.43,   22.7,   37.8,
       10,      04,   191702,   5.31,   21.9,   1.81,   1.81,   1.83,   1.66,      0,   1207,    .94,    .18,    .22,   -.16,    .17,    .18,   1.02,   12.9,   30.9,
       10,      02,   191702,    3.2,     28,   2.35,   2.35,    .37,   2.32,      0,   1036,    .23,    .33,    .33,      0,    .46,    .78,   1.19,   20.7,   35.4,
       10,      05,   191702,   1.63,   28.5,    .66,    .66,    .22,   -.42,      0,   1022,    .33,   -.28,   -.26,   -.76,   -.27,   -.76,    .56,   20.4,   36.7,
       10,      06,   191702,   1.65,   24.8,   1.45,   1.45,    1.3,   1.45,      0,   1126,    .68,    .24,    .46,   -.03,    .13,   -.42,    .59,   16.1,   33.4,
       10,      08,   191702,    3.6,   19.2,   2.04,   2.04,   4.57,   2.04,      0,   1282,   2.11,   1.39,   1.11,    .47,    .04,   -.26,    .89,     10,   28.6,
       10,      09,   191702,   1.58,   18.4,   1.41,   1.41,   2.08,   1.41,      0,   1305,   1.29,    .76,    .93,     .6,    .08,   -.01,    .69,    9.2,   27.7,
       10,      01,   191702,   2.72,   25.3,  -1.89,  -1.89,   -.98,  -1.89,      0,   1112,   -.26,   -.82,  -1.15,  -1.33,   -.88,    -.2,    .02,   18.9,   31.8,
       10,      07,   191702,    1.5,   23.1,   1.38,   1.38,   1.32,   1.38,      0,   1173,    .91,    .18,    .32,    .16,   -.06,   -.22,    .46,   14.6,   31.6,
       10,      10,   191702,   3.09,   19.4,   1.94,   1.94,   2.39,   1.94,      0,   1277,   1.23,    .52,   1.07,     .6,     .2,   -.07,    .37,   10.9,   28.1,
       10,      06,   191703,   1.01,   26.1,   1.52,   1.52,    .64,   1.52,      0,   1206,   -.33,    .14,   -.08,    .08,    .09,   -.45,    .68,   18.5,   33.6,
       10,      10,   191703,   1.91,   18.8,   1.79,   1.79,    .17,   1.79,      0,   1432,    .14,    .86,     .4,    .85,    .43,   -.32,    .51,    9.4,   28.3,
       10,      02,   191703,   3.03,   27.1,   2.35,   2.35,    .73,   2.35,      0,   1175,    .07,    .16,    .25,   -.16,    .31,    .27,    1.2,   18.8,   35.5,
       10,      01,   191703,   3.37,   25.7,    .18,  -1.51,    .54,  -1.19,      0,   1218,    .23,    -.1,   -.67,  -1.25,  -1.07,   -.79,    .19,   17.2,   34.2,
       10,      04,   191703,   3.87,     20,   1.79,   1.79,     .5,   1.79,      0,   1395,     .3,    .87,    .23,    -.1,    .16,    .05,    1.2,   10.3,   29.7,
       10,      08,   191703,   1.76,   17.6,   2.24,   2.24,   1.23,   2.24,      0,   1469,    .51,   1.79,   1.36,    .79,    .45,   -.14,   1.07,    7.6,   27.7,
       10,      07,   191703,    .95,   24.1,   1.64,   1.64,   1.19,   1.64,      0,   1268,    .21,    .67,    .14,    .34,    .16,   -.37,    .62,   15.9,   32.2,
       10,      05,   191703,   1.47,     31,   1.07,   1.07,   1.43,    .48,      0,   1054,    .25,    .32,   -.16,   -.42,   -.36,   -.58,     .7,   21.8,   40.1,
       10,      09,   191703,   1.02,   20.6,    1.7,    1.7,   1.29,    1.7,      0,   1376,    .37,    .98,    .67,    .89,    .54,   -.26,    .81,   11.3,   29.8,
       10,      03,   191703,   2.18,   29.5,    3.5,    3.5,    1.2,    3.5,      0,   1100,   -.05,    .27,    .33,   -.02,    .47,    .38,   1.39,   20.7,   38.3,
       10,      02,   191704,    3.8,   38.1,      3,      3,   2.66,      3,      0,    807,   1.21,    .75,    .68,    .47,    .35,    .54,   1.35,   29.3,   46.9,
       10,      03,   191704,   3.26,   40.5,   4.11,   4.11,    2.9,   4.11,      0,    735,   1.28,    .75,    .84,    .68,    .54,    .71,   1.51,   31.2,   49.7,
       10,      10,   191704,   2.11,   33.9,   2.16,   2.16,   1.66,   2.16,      0,    933,    .38,    .23,    .87,    .49,    .46,    .09,    .47,   25.2,   42.6,
       10,      07,   191704,   1.55,   39.3,   2.45,   2.45,   2.93,   2.45,      0,    771,   1.25,    .82,   1.13,    .43,    .35,    .17,    .81,   30.6,   47.9,
       10,      04,   191704,   3.43,   33.1,   2.26,   2.26,   1.98,   2.26,      0,    957,    .76,    .57,   1.02,    .18,     .1,    .22,    1.3,   24.8,   41.4,
       10,      06,   191704,   2.05,   39.3,   2.19,   2.19,    2.5,   2.19,      0,    771,   1.08,    .44,    .69,    .22,    .17,    .18,    .77,   30.5,   48.1,
       10,      05,   191704,   1.83,     45,   1.69,   1.69,   2.19,   1.69,      0,    600,   1.05,    .71,     .7,   -.05,   -.29,   -.02,    .86,   35.2,   54.7,
       10,      09,   191704,   1.43,   36.9,   2.31,   2.31,   2.35,   2.31,      0,    843,    .79,    .63,   1.14,    .66,    .59,    .18,    .89,   27.1,   46.6,
       10,      01,   191704,   4.01,   37.4,   1.19,   1.19,   3.08,   1.19,      0,    828,   1.57,    .99,    .52,   -.58,   -.82,   -.51,    .32,   29.6,   45.1,
       10,      08,   191704,    1.8,   31.8,   2.55,   2.55,   1.62,   2.55,      0,    996,    .27,    .44,   1.54,    .61,    .32,    .01,   1.07,   22.3,   41.3,
       10,      10,   191705,   3.26,   45.2,    2.9,    2.9,    2.9,    2.9,      0,    614,   1.08,   1.02,     .8,   1.24,    .85,    .51,    .19,   35.4,     55,
       10,      09,   191705,   2.24,   48.2,   3.15,   3.15,   3.23,   3.15,      0,    521,   1.01,   1.14,   1.02,   1.27,   1.01,    .52,    .59,   36.8,   59.7,
       10,      01,   191705,   2.72,   48.2,   1.26,   1.26,    .59,   1.26,      0,    521,    .29,   1.12,    .94,   -.48,   -.79,   -.45,    .16,   36.9,   59.5,
       10,      05,   191705,   1.42,   54.6,   1.95,   1.95,   1.31,   1.95,      7,    329,    .39,     .8,    .68,    .19,   -.26,     .1,    .35,   42.3,   66.9,
       10,      07,   191705,   1.37,   50.8,   2.99,   2.99,   2.38,   2.99,      0,    440,    .57,   1.04,    .85,    .68,    .53,    .32,    .43,   39.7,   61.9,
       10,      03,   191705,   3.15,   49.9,   4.24,   4.24,   1.67,   4.24,      0,    468,     .6,   1.13,    .92,    .97,    .57,    .91,   1.16,   38.4,   61.5,
       10,      02,   191705,    3.3,   47.6,   3.12,   3.12,    1.3,   3.12,      0,    539,     .5,   1.05,    .86,    .69,    .36,     .7,   1.03,   36.3,   58.9,
       10,      08,   191705,   2.18,   41.3,   2.65,   2.65,   1.07,   2.65,      0,    735,    .22,    .23,    .39,    .98,     .5,    .11,     .6,   30.2,   52.4,
       10,      06,   191705,   2.39,   48.1,   2.78,   2.78,   2.43,   2.78,      0,    524,     .9,   1.18,    .84,    .79,    .44,    .52,    .39,   37.4,   58.9,
       10,      04,   191705,   3.29,   42.8,   2.51,   2.51,   1.43,   2.51,      0,    688,    .58,    .84,    .77,    .52,    .12,    .43,   1.02,     32,   53.5,
       10,      09,   191706,    .33,   57.2,   2.83,   2.83,      0,   2.77,     12,    246,  -1.19,     .1,    .34,    .53,    .76,    .53,    .44,   41.5,   72.9,
       10,      08,   191706,    .49,     50,   -.63,   1.74,   -1.9,    .87,      0,    450,  -1.47,   -.73,   -.52,    .41,    .21,   -.05,    .32,     35,   64.8,
       10,      04,   191706,    .96,   49.5,   -.47,   1.78,   -1.4,   1.12,      0,    465,  -1.38,   -.36,    .04,    .13,   -.13,    .11,    .87,   35.4,   63.6,
       10,      06,   191706,    .17,     57,   2.22,   2.22,    -.8,   1.83,     13,    253,  -1.53,   -.03,    .39,    .18,    .25,    .27,    .32,   41.9,   72.2,
       10,      07,   191706,    .08,   59.4,      3,      3,    .96,      3,     24,    192,  -1.44,   -.25,    .33,    .23,    .36,    .24,    .37,   43.8,   74.9,
       10,      05,   191706,     .3,     62,   1.79,   1.79,    .13,   1.79,     46,    136,  -1.07,   -.38,    .16,   -.09,   -.33,   -.27,    .33,     46,     78,
       10,      03,   191706,   1.34,     57,   -.28,   3.53,   -.83,   3.15,      8,    248,   -.85,   -.05,    .49,    .52,    .17,    .58,   1.08,   42.2,   71.7,
       10,      10,   191706,    .47,   54.3,   -.55,   2.06,  -1.65,   1.31,      0,    326,  -1.29,    .15,    .24,    .33,    .74,    .41,    .01,     40,   68.6,
