StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       11,      02,   191701,   1.36,   19.6,  -1.11,  -1.11,    .01,    -.4,      0,   1407,   -.17,   -.03,   -.14,   -.05,   -.07,   -.54,    -.1,   10.5,   28.8,
       11,      01,   191701,   1.03,     18,   -.36,  -1.01,   -.27,   -.44,      0,   1457,   -.37,   -.39,   -.55,    .07,   -.13,   -.37,    .31,      8,   28.1,
       11,      07,   191701,   2.53,   29.9,  -2.16,  -2.16,    .05,  -2.08,      0,   1088,    .34,    .26,   -.31,   -.63,   -.76,  -1.58,   -.03,   20.2,   39.6,
       11,      09,   191701,   5.02,   34.1,    .85,   1.41,   1.75,    .61,      0,    958,    .89,    .85,    .21,    .39,    .27,   -.49,    .47,   23.6,   44.6,
       11,      06,   191701,   1.34,   29.5,  -1.18,  -1.18,   -.73,  -1.18,      0,   1100,   -.29,   -.68,   -.71,   -.07,   -.39,  -1.08,    .76,   19.4,   39.6,
       11,      03,   191701,    .74,   24.8,  -2.46,  -2.46,  -1.98,  -2.46,      0,   1246,   -.79,   -.95,   -.85,    -.4,   -.33,   -.77,    .47,   14.5,   35.1,
       11,      05,   191701,    1.3,     25,  -2.42,  -2.42,   -.91,  -2.42,      0,   1240,   -.36,    -.1,    -.3,   -.72,    -.6,   -1.5,   -.41,   15.4,   34.7,
       11,      04,   191701,   1.16,   24.8,  -1.84,  -1.84,  -1.06,  -1.84,      0,   1246,   -.44,    -.6,   -.62,   -.45,   -.51,  -1.18,    .15,   15.2,   34.5,
       11,      08,   191701,   3.31,     34,   -.06,   1.48,    .85,    .64,      0,    961,    .51,    .61,    .06,    .37,     .3,   -.52,    .75,   23.6,   44.3,
       11,      01,   191702,    .31,   15.8,   -.74,  -1.32,  -1.26,  -1.15,      0,   1378,  -1.61,   -1.4,   -1.1,    .09,   -.43,   -.42,    .03,    5.5,     26,
       11,      07,   191702,     .6,     27,  -2.49,  -2.49,  -1.65,  -2.49,      0,   1064,  -1.62,   -.63,   -.44,  -1.12,   -.97,  -1.65,   -.18,   16.2,   37.7,
       11,      08,   191702,    .69,   31.1,    -.7,    .68,  -1.93,    -.6,      0,    949,  -1.78,   -.46,   -.11,   -.78,    .15,   -.67,     .6,     19,   43.2,
       11,      05,   191702,    .51,     21,  -2.71,  -2.71,  -1.61,  -2.71,      0,   1232,  -1.56,  -1.35,   -.78,    -.8,   -1.2,   -1.5,   -.61,   10.5,   31.5,
       11,      09,   191702,    1.1,     32,   -.53,    .73,   -1.6,   -.41,      0,    924,  -1.29,    .18,    .28,   -.58,    .17,   -.58,    .38,   19.5,   44.4,
       11,      02,   191702,     .4,   16.9,  -1.45,  -1.45,  -1.37,   -1.2,      0,   1347,  -1.55,  -1.13,   -.72,    .12,    -.3,   -.58,   -.32,    7.5,   26.3,
       11,      03,   191702,    .18,   21.3,  -3.19,  -3.19,  -2.95,  -3.19,      0,   1224,  -2.29,  -2.13,  -1.71,  -1.13,  -1.27,   -.86,    .28,     10,   32.7,
       11,      04,   191702,    .43,   20.9,  -2.23,  -2.23,  -1.74,  -2.23,      0,   1235,  -1.76,  -1.48,  -1.29,   -.85,  -1.14,  -1.24,   -.07,   10.6,   31.1,
       11,      06,   191702,    .44,     26,  -1.62,  -1.62,  -1.67,  -1.62,      0,   1092,  -1.82,  -1.43,  -1.51,  -1.45,   -.78,  -1.22,     .6,   14.9,     37,
       11,      03,   191703,   2.99,   39.3,  -3.31,  -3.31,  -1.32,  -3.31,      0,    797,    .32,    -.6,     -1,  -1.15,  -1.28,    -.8,    .46,   28.1,   50.6,
       11,      06,   191703,   3.29,   42.6,    .05,   -1.4,    .15,  -1.25,      0,    694,    .27,   -.69,   -.87,  -1.34,   -.92,   -.99,    .82,   31.4,   53.7,
       11,      04,   191703,   3.27,   39.4,    .11,  -1.89,    .33,  -1.68,      0,    794,    .42,   -.42,   -.71,    -.6,  -1.18,  -1.04,    .15,   28.9,   49.9,
       11,      05,   191703,   3.05,   39.5,     .1,  -2.33,     .3,  -2.14,      0,    791,    .26,   -.54,   -.78,   -.52,  -1.45,  -1.18,   -.35,   29.3,   49.7,
       11,      07,   191703,   3.05,   42.6,  -2.41,  -2.41,   -.53,  -2.41,      0,    694,   -.01,   -.94,   -.64,  -1.02,  -1.33,  -1.38,   -.04,   31.8,   53.5,
       11,      02,   191703,   1.83,   36.6,  -1.54,  -1.54,   -.71,  -1.54,      0,    880,   -.47,  -1.28,   -1.2,   -.12,  -1.11,   -.72,   -.13,   27.3,   45.9,
       11,      01,   191703,   1.86,   35.7,   -.83,  -1.35,   -.49,  -1.34,      0,    908,   -.37,  -1.21,  -1.32,   -.43,   -.97,   -.59,    .16,   25.8,   45.7,
       11,      08,   191703,   2.72,   45.8,  -1.05,  -1.05,  -1.28,  -1.05,      8,    603,   -.46,   -1.5,   -.78,   -.86,   -.54,   -.55,    .75,   34.6,   56.9,
       11,      09,   191703,   3.42,     46,   -.79,   -.79,   -.94,   -.79,      8,    597,    -.2,   -.96,   -.08,   -.55,    -.3,   -.41,    .54,   34.6,   57.3,
       11,      05,   191704,   3.65,     47,    .21,  -1.97,    .37,  -1.56,      0,    540,    .12,    .14,   -.42,   -.63,   -.91,   -.75,   -.12,   36.5,   57.4,
       11,      01,   191704,   3.51,   45.2,    .23,   -.98,    .68,    -.5,      0,    594,    .21,   -.11,   -.67,   -.91,   -.27,   -.34,    .48,     35,   55.4,
       11,      06,   191704,    4.7,   50.5,    .53,   -.77,   1.45,    .19,      0,    435,    .61,    .52,   -.06,   -.71,   -.14,   -.49,   1.07,   39.9,     61,
       11,      08,   191704,   7.12,   53.6,   1.06,   1.06,   3.19,   1.06,      0,    347,   1.29,    .64,     .1,   -.03,    .27,    .17,   1.41,   42.3,   64.8,
       11,      04,   191704,   4.11,   47.5,    .38,  -1.42,    .83,   -.78,      0,    525,    .38,    .47,    -.1,   -.63,   -.47,   -.57,    .45,   37.3,   57.8,
       11,      03,   191704,   4.34,   47.6,    .41,  -2.55,   1.24,  -1.99,      0,    522,    .55,    .55,   -.06,   -.74,   -.43,   -.41,    .75,   37.1,   58.2,
       11,      07,   191704,   5.21,     51,    .61,  -1.55,   1.83,   -.69,      0,    420,     .8,    .42,   -.13,   -.46,   -.71,   -.84,    .36,   40.6,   61.4,
       11,      09,   191704,   7.04,   54.3,    .94,    .94,   2.81,    .94,      6,    327,   1.24,    .67,    .18,    .14,    .33,     .2,   1.22,   42.9,   65.8,
       11,      02,   191704,    2.7,   44.6,  -1.51,  -1.51,   -.39,  -1.51,      0,    612,   -.35,   -.62,  -1.14,    -.9,   -.58,   -.48,    .12,   34.9,   54.3,
       11,      04,   191705,   3.85,   54.9,     .6,  -1.01,    .79,    .02,     17,    330,      0,    .17,    .27,   -.49,   -.47,   -.83,    .21,   42.9,   66.9,
       11,      07,   191705,    5.7,   56.8,   1.19,   -.75,   1.94,    .95,     21,    275,    .73,     .9,    .67,    .25,   -.41,   -.49,    .08,   45.8,   67.8,
       11,      06,   191705,   4.86,   57.3,    .93,    .93,   1.36,    .93,     24,    263,    .38,    .55,    .52,   -.31,   -.74,   -.39,    .69,   46.2,   68.5,
       11,      08,   191705,   4.52,   58.9,   1.24,   1.24,    .86,   1.24,     28,    217,    .17,    .92,    .51,    .28,   -.27,    .34,   1.08,   47.5,   70.4,
       11,      02,   191705,   3.07,   52.4,    .07,  -1.29,     .2,   -1.1,     11,    401,   -.48,   -.63,    -.8,  -1.04,    -.4,    -.6,   -.25,   40.9,   63.8,
       11,      03,   191705,   4.08,   56.5,    .62,  -2.04,    .76,  -1.13,     23,    287,     .1,     .3,    .34,   -.51,   -.64,    -.9,    .51,   45.2,   67.8,
       11,      05,   191705,    3.9,   54.4,     .5,  -1.45,    .93,   -.61,     16,    345,   -.03,    .01,    .08,   -.47,   -.61,  -1.03,    -.2,   42.4,   66.3,
       11,      09,   191705,   4.25,     59,      1,      1,    .48,      1,     28,    214,    .08,    .81,    .48,    .46,   -.17,    .34,    .84,   47.6,   70.5,
       11,      01,   191705,   3.41,   53.4,    .37,   -.72,    .49,    .09,     13,    372,   -.25,   -.15,   -.34,   -.82,   -.19,   -.51,    .16,   41.2,   65.5,
