StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       13,      02,   191701,   1.13,     10,    .19,   -.79,    .58,    -.2,      0,   1705,    .71,    .39,    .34,   -.27,   -.75,   -.77,    .29,    -.9,   20.9,
       13,      09,   191701,    .71,   21.6,  -1.34,  -1.34,   -.91,  -1.34,      0,   1345,   -.59,   -.67,   -.52,   -.22,   -.14,   -.22,    .66,   11.5,   31.8,
       13,      01,   191701,   1.22,     11,    .22,  -1.09,    .65,   -.66,      0,   1674,   1.26,    .93,    .39,   -.46,   -.58,   -.68,    .23,     .1,   21.8,
       13,      04,   191701,    .76,   15.6,   -.97,   -.97,   -.25,   -.85,      0,   1531,    .14,    .39,    .31,    .07,   -.77,  -1.09,    .26,    5.2,     26,
       13,      03,   191701,    .95,     11,  -1.32,  -1.32,   -.08,  -1.28,      0,   1674,    .04,    -.3,   -.53,   -.36,   -.72,   -.82,      0,    -.7,   22.7,
       13,      06,   191701,    .99,   17.1,     -2,     -2,   -.74,     -2,      0,   1485,    -.1,   -.44,   -.51,   -.49,   -.82,   -.93,    .13,    6.4,   27.8,
       13,      07,   191701,    .44,   20.7,   -1.9,   -1.9,  -1.14,   -1.9,      0,   1373,   -.61,   -.27,    .09,   -.39,   -.75,   -1.2,    .45,   10.4,   31.1,
       13,      05,   191701,    .77,   15.2,  -2.28,  -2.28,   -.81,  -2.28,      0,   1544,   -.14,   -.19,   -.22,   -.45,  -1.18,  -1.32,    .13,    4.4,     26,
       13,      08,   191701,    .53,     21,  -2.76,  -2.76,  -1.84,  -2.76,      0,   1364,   -.65,   -.93,   -.22,   -.81,   -.89,  -1.16,    .09,   10.9,   31.1,
       13,      06,   191702,    .29,   15.6,  -2.28,  -2.28,  -1.45,  -2.28,      0,   1383,  -1.51,  -1.24,  -1.18,   -.33,  -1.17,     -1,   -.16,      4,   27.2,
       13,      01,   191702,    .49,    9.8,   -.28,  -1.26,   -.85,   -1.2,      0,   1546,   -.47,    .43,    .42,   -.05,  -1.05,   -.69,    -.1,   -2.5,   22.2,
       13,      08,   191702,    .08,   19.9,  -3.24,  -3.24,  -2.28,  -3.24,      0,   1263,  -2.06,  -2.07,  -1.93,   -.95,  -1.68,  -1.24,   -.19,    6.9,   32.9,
       13,      05,   191702,    .33,   14.2,  -2.55,  -2.55,  -1.51,  -2.55,      0,   1422,  -1.23,  -1.11,   -.91,   -.22,  -1.48,  -1.39,    -.2,    1.9,   26.6,
       13,      02,   191702,    .69,    8.5,    .19,   -.69,    .06,   -.03,      0,   1582,   -.22,    .18,    .07,    .27,   -.89,   -.77,   -.05,   -3.9,     21,
       13,      09,   191702,     .1,   19.6,  -1.71,  -1.71,  -1.53,  -1.71,      0,   1271,  -2.16,  -2.11,  -1.51,   -.41,   -.79,    -.3,    .45,    7.1,     32,
       13,      03,   191702,     .5,    9.2,  -1.36,  -1.36,   -.53,  -1.36,      0,   1562,   -.83,   -.75,   -.78,    .04,   -.77,   -.86,   -.36,   -3.1,   21.6,
       13,      04,   191702,    .51,   14.8,  -1.11,  -1.11,   -.71,  -1.11,      0,   1406,   -.63,   -.51,    -.1,    .02,   -.89,  -1.09,   -.04,    2.5,   27.1,
       13,      07,   191702,    .17,   19.8,  -2.27,  -2.27,   -1.7,  -2.27,      0,   1266,   -1.6,  -1.82,  -1.11,   -.44,  -1.27,  -1.25,    .15,    6.9,   32.8,
       13,      03,   191703,   1.92,   30.6,    .09,  -1.13,    .27,   -.89,      0,   1066,    .03,   -.49,   -.58,   -.49,  -1.06,   -.87,   -.17,   20.3,   40.8,
       13,      09,   191703,   1.94,   38.1,  -1.76,  -1.76,   -.69,  -1.76,      0,    834,    -.2,  -1.17,  -1.39,   -.92,   -.99,    -.6,    .53,   26.3,   49.9,
       13,      06,   191703,   2.03,   35.6,  -2.23,  -2.23,   -.55,  -2.23,      0,    911,   -.08,   -.84,   -.92,    -.6,  -1.25,  -1.15,   -.03,     25,   46.2,
       13,      07,   191703,   1.49,   36.9,  -2.42,  -2.42,  -1.14,  -2.42,      0,    871,   -.15,   -.92,  -1.17,   -.77,  -1.03,  -1.06,    .17,   24.8,     49,
