StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       15,      01,   191701,   5.66,   37.4,    .37,  -1.18,   1.11,   -.56,      0,    856,    .73,    .59,   -.06,   -.27,   -.22,   -.95,    .06,   27.3,   47.4,
       15,      02,   191701,   6.87,   34.9,   2.29,   2.29,      2,   2.29,      0,    933,   1.04,    .83,    .23,    .25,    .47,   -.25,    .82,   24.4,   45.5,
       15,      03,   191701,   6.09,   32.5,   1.67,   1.67,   2.38,    1.1,      0,   1008,    1.1,    .93,    .35,    .37,    .19,   -.22,    .53,   22.7,   42.4,
       15,      04,   191701,   6.51,   36.5,   2.35,   2.35,   2.52,   2.35,      0,    884,   1.25,    .92,    .26,    .63,    .41,   -.05,    .42,   25.5,   47.6,
       15,      02,   191702,   3.58,   33.9,      2,      2,   -.17,   1.86,      0,    871,     .1,    .84,    .71,    .18,    .41,   -.12,   1.04,   21.8,     46,
       15,      03,   191702,   2.79,   31.3,   1.39,   1.39,   -.31,     .7,      0,    944,   -.05,    .78,    .72,     .1,    .22,   -.31,    .68,   19.1,   43.4,
       15,      04,   191702,   4.06,   34.3,   2.29,   2.29,    .54,   2.29,      0,    860,    .45,   1.16,    .94,    .32,     .7,     .1,    .62,   21.9,   46.7,
       15,      01,   191702,   2.68,   36.2,    .03,  -1.36,    -.9,  -1.12,      0,    806,   -.35,    .33,    .28,   -.42,    -.4,   -.85,    .13,   23.6,   48.9,
       15,      02,   191703,   6.84,   44.8,   2.41,   2.41,   1.85,   2.41,      0,    626,    .92,    .66,   1.09,     .4,    .61,     .4,    1.4,   34.1,   55.5,
       15,      01,   191703,   5.11,   47.5,    .05,   -1.2,    .06,   -.86,     10,    552,    .27,   -.13,    .35,   -.34,   -.54,   -.54,    .44,   36.8,   58.2,
       15,      04,   191703,   9.05,   44.6,   3.68,   3.68,   4.88,   3.68,      0,    632,   1.99,    1.6,   1.94,   1.28,   1.38,    .92,   1.24,   32.7,   56.4,
       15,      03,   191703,   5.83,   41.7,   1.74,   1.74,   1.46,    1.4,      0,    722,    .73,    .46,    .97,    .27,    .22,    .01,    .99,   31.4,     52,
       15,      01,   191704,   6.03,   56.7,     .6,     .6,   1.67,     .6,     11,    260,    .86,    .66,    .32,    .07,   -.09,   -.11,    .93,   44.8,   68.6,
       15,      03,   191704,   4.63,   52.5,   1.83,   1.83,    .81,   1.74,      0,    375,    .48,    .74,    .55,    .51,    .54,    .35,   1.33,     40,   64.9,
       15,      02,   191704,   5.99,   55.4,   2.78,   2.78,   1.87,   2.78,      7,    295,    .95,   1.21,    .94,    .72,     .7,    .85,   1.93,   42.1,   68.7,
       15,      04,   191704,   3.15,   54.7,      3,      3,    -.9,   2.59,      0,    314,   -.48,   1.39,   1.18,      1,   1.19,    .97,    1.5,   40.2,   69.1,
       15,      04,   191705,    3.4,     57,   2.71,   2.71,    .05,   2.26,     17,    265,   -.48,   -.74,    .91,   1.19,    .69,    .96,    1.3,   44.4,   69.6,
       15,      03,   191705,   4.56,   56.7,   2.01,   2.01,    1.1,   2.01,     17,    274,    .23,    .42,    .65,    .85,    .38,    .45,   1.18,   45.2,   68.2,
       15,      01,   191705,    3.2,   60.2,    .42,    .42,   -.37,    .42,     33,    182,   -.63,    .17,    .23,    .24,   -.26,   -.28,     .5,   48.8,   71.7,
       15,      02,   191705,   3.17,   58.5,   2.38,   2.38,   -.36,   2.16,     24,    225,   -.67,    .24,    .68,    .83,    .41,    .59,   1.56,   45.6,   71.3,
       15,      04,   191706,   4.28,   68.9,   2.64,   2.64,    .64,   2.39,    140,     23,   -.03,    -.4,   -.61,   1.18,    .65,    .85,   1.29,   56.8,   80.9,
       15,      03,   191706,   4.68,   69.4,   2.15,   2.15,   1.06,   2.15,    153,     21,    .35,     .3,    .46,    .91,    .34,    .31,   1.23,   57.9,   80.9,
