StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       17,      03,   191701,   4.61,   19.6,    .44,    .44,    .65,    .44,      0,   1407,    .49,    .71,    .14,    -.5,     .3,     .2,   -.49,   10.7,   28.5,
       17,      02,   191701,   4.22,   15.3,   1.16,   1.16,    .86,    .79,      0,   1541,    .58,    .84,    .29,   -.17,    .59,    .46,    -.1,    5.5,   25.1,
       17,      01,   191701,   4.08,    7.6,   1.51,   1.51,   2.02,   1.51,      0,   1779,   1.12,   1.47,    .94,    .41,    .67,    .39,   -.37,   -2.8,   18.2,
       17,      03,   191702,      3,   15.8,    .16,    .16,   -.71,   -.48,      0,   1378,   -.26,    .22,    .46,   -.44,    .05,    .11,    -.6,      4,   27.7,
       17,      01,   191702,   1.91,    4.8,   1.05,   1.05,   -.92,    .48,      0,   1686,   -.53,    .53,    .94,    .54,    .44,    .16,   -.61,   -8.2,   17.7,
       17,      02,   191702,   2.63,   11.9,    .82,    .82,   -.68,    .11,      0,   1487,   -.21,    .29,    .57,   -.21,    .26,    .31,   -.29,    -.9,   24.8,
       17,      01,   191703,   2.97,   21.4,   1.02,   1.02,    .23,    .51,      0,   1352,    .13,   -.29,    .41,    .37,    .38,    .39,   -.31,   10.8,   32.1,
       17,      03,   191703,   4.34,   29.5,    .32,    .32,    .54,    .32,      0,   1100,    .24,    .03,    .26,   -.36,   -.28,    .28,    -.2,   20.2,   38.8,
       17,      02,   191703,    3.8,   27.1,    .88,    .88,    .44,    .33,      0,   1175,    .18,   -.02,    .27,    -.3,   -.04,    .52,    .04,   16.8,   37.5,
       17,      01,   191704,   2.62,   34.6,    .83,    .83,   -.24,    .15,      0,    912,   -.23,   -.13,   -.42,    .38,    .08,     .4,   -.36,   26.8,   42.4,
       17,      02,   191704,   3.09,   38.6,    .65,    .65,   -.41,   -.07,      0,    792,   -.27,   -.07,   -.24,   -.01,   -.38,    .36,   -.05,   29.4,   47.8,
       17,      03,   191704,   3.36,   39.1,    .15,    .15,   -.41,   -.36,      0,    777,   -.27,   -.03,   -.19,   -.11,   -.61,    .08,   -.24,   30.4,   47.7,
       17,      01,   191705,   3.22,     42,   1.12,   1.12,   1.14,    .91,      0,    713,   -.03,   -.21,   -.12,    .45,    .31,    .25,   -.39,   32.8,   51.2,
       17,      02,   191705,   3.26,   45.4,    .79,    .79,    .61,    .26,      0,    608,   -.06,   -.28,   -.13,    .21,   -.32,    .04,   -.07,   35.4,   55.4,
       17,      03,   191705,   3.71,     45,    .41,    .41,    .84,    .41,      0,    620,    .17,   -.11,      0,    .23,   -.42,   -.07,   -.22,   36.4,   53.7,
       17,      03,   191706,   9.09,   57.6,   2.79,   2.79,   7.26,   2.79,      0,    222,   2.42,   1.81,   1.53,   1.21,    .56,    .53,     .4,   48.4,   66.8,
       17,      02,   191706,   9.56,   59.3,   3.32,   3.32,   7.85,   3.32,      0,    176,   2.53,   1.91,   1.66,   1.33,    .69,    .77,     .7,   49.2,   69.4,
       17,      01,   191706,    9.3,   57.7,   3.85,   3.85,   8.52,   3.85,      0,    222,   2.59,   2.32,   1.86,   1.65,   1.24,   1.14,    .49,   48.1,   67.3,
       17,      01,   191707,   4.08,   65.4,   3.49,   3.49,     .1,   3.47,     75,     62,    .03,   2.33,   1.89,   1.24,   1.29,      1,    .29,   55.3,   75.5,
       17,      02,   191707,   3.56,   68.1,   3.09,   3.09,    .31,   3.09,    118,     22,    .14,   2.18,    1.7,    1.2,    .99,    .64,    .24,   57.2,     79,
