StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       18,      03,   191701,   2.51,   35.5,  -1.51,  -1.51,   -.92,  -1.51,      0,    914,    -.4,      0,   -.05,  -1.08,   -.34,   -.48,     -1,   26.2,   44.8,
       18,      07,   191701,   3.54,   30.6,   1.55,   1.55,   1.42,    .84,      0,   1066,    .74,    .31,   -.26,   -.65,    .19,    .61,    .63,   21.1,   40.2,
       18,      01,   191701,   2.65,   36.4,  -1.06,  -1.06,   -.94,  -1.06,      0,    887,   -.45,   -.09,   -.13,   -.95,   -.03,   -.27,   -.96,   27.4,   45.4,
       18,      04,   191701,   2.81,   33.6,   -.09,   -.71,   -.27,   -.09,      0,    973,   -.08,    .35,     .1,     -1,   -.21,    -.3,   -.59,   24.5,   42.6,
       18,      08,   191701,   5.27,   27.5,    .68,    .68,   2.04,    .68,      0,   1162,   1.06,    .44,   -.05,    -.2,   -.38,   -.07,   -.17,   17.6,   37.4,
       18,      05,   191701,   2.87,   33.4,   -1.3,   -1.3,   -.49,   -.86,      0,    980,    -.2,    .56,    .17,  -1.27,   -.55,   -.51,   -.68,   24.8,   41.9,
       18,      06,   191701,   3.22,   30.7,    .15,   -.85,    .22,   -.38,      0,   1063,    .18,    .21,   -.14,  -1.14,   -.07,   -.02,      0,   21.9,   39.4,
       18,      02,   191701,   2.63,   35.1,  -1.35,  -1.35,   -.89,  -1.35,      0,    927,   -.45,    .22,   -.04,  -1.19,   -.34,   -.49,     -1,   26.3,   43.8,
       18,      06,   191702,   1.98,   29.6,   -.31,  -1.07,   -.92,  -1.06,      0,    991,   -.59,   -.35,   -.09,   -.82,   -.11,    -.2,   -.33,   19.4,     40,
       18,      07,   191702,   2.35,   30.2,   1.41,   1.41,    .07,     .7,      0,    974,    .08,     .5,    .25,   -.46,    .44,    .53,    .43,   19.2,   41.2,
       18,      04,   191702,   1.89,     32,    -.4,   -.95,   -.94,    -.8,      0,    924,   -.63,    -.6,   -.01,   -.77,   -.35,    -.5,   -.89,   21.7,   42.4,
       18,      05,   191702,   1.83,   31.2,  -1.58,  -1.58,  -1.24,  -1.58,      0,    946,   -.83,   -.81,     .1,   -.76,   -.82,   -.76,   -.97,   21.8,   40.7,
       18,      08,   191702,   2.86,     26,    .53,    .53,   -.23,    .53,      0,   1092,   -.11,    .68,    .28,   -.16,   -.15,   -.21,   -.27,   15.2,   36.8,
       18,      03,   191702,   2.21,   33.5,  -1.56,  -1.56,   -.62,  -1.56,      0,    882,   -.37,   -.62,   -.21,   -.67,   -.66,   -.71,  -1.14,   22.8,   44.2,
       18,      02,   191702,   2.07,   32.7,  -1.56,  -1.56,  -1.03,  -1.56,      0,    904,   -.62,   -.86,   -.16,   -.59,   -.83,   -.71,  -1.18,   23.4,   42.1,
       18,      01,   191702,   2.04,   33.6,  -1.41,  -1.41,  -1.37,  -1.41,      0,    879,   -.84,  -1.07,    -.6,   -.67,   -.76,   -.55,   -1.1,   24.3,   42.8,
       18,      01,   191703,   7.18,   42.3,   1.15,   1.15,   3.45,   1.15,      0,    704,   1.64,    .88,    .52,    .14,    -.3,    .21,   -.45,   34.2,   50.4,
       18,      04,   191703,   5.93,   42.1,    .94,    .94,   2.83,    .94,      0,    710,   1.42,    .72,    .52,    .11,   -.37,   -.01,   -.32,   32.7,   51.4,
       18,      05,   191703,   5.79,   41.3,     .8,   -.62,   2.41,     .7,      0,    735,   1.27,    .49,    .27,   -.01,   -.58,   -.35,   -.44,   32.5,   50.1,
       18,      07,   191703,   4.42,   39.3,   1.73,   1.73,   1.39,   1.42,      0,    797,    .84,    .62,    .91,   -.18,    .06,    .41,    .86,   29.5,   49.1,
       18,      03,   191703,    6.7,   43.5,   1.16,   1.16,   3.49,   1.16,      0,    666,   1.68,   1.08,    .71,    .35,   -.55,      0,   -.56,     34,   52.9,
       18,      08,   191703,   5.73,   35.1,   1.12,   1.12,   1.94,   1.12,      0,    927,   1.07,    .71,   1.22,    .13,   -.03,   -.19,     .2,   25.1,   45.1,
       18,      06,   191703,   4.72,   39.6,    .48,    .48,   1.44,    .48,      0,    787,    .78,     .2,    .23,   -.41,   -.43,   -.06,    .05,   30.5,   48.6,
       18,      02,   191703,   6.79,   42.2,    1.1,    1.1,   3.31,    1.1,      0,    707,   1.66,    .94,    .55,    .17,   -.35,   -.04,   -.56,   33.5,   50.9,
       18,      06,   191704,   2.28,   51.2,   -.44,   -.44,  -1.33,   -.44,      0,    414,    -.8,    .02,   -.32,   -.28,  -1.15,   -.23,    .12,   39.7,   62.6,
       18,      04,   191704,   2.22,   53.3,    .46,    .46,  -1.15,    .46,      0,    351,   -.73,    .54,    .13,    .14,   -.78,   -.19,   -.22,   42.6,   64.1,
       18,      07,   191704,   2.65,   50.6,   1.31,   1.31,   -.72,    .66,      0,    432,   -.28,    .29,    .21,    .01,   -.44,    .26,    .99,   38.6,   62.6,
       18,      02,   191704,   2.75,   53.1,    .77,    .77,   -.65,    .24,      0,    357,   -.44,   1.08,    .59,    .33,   -.63,    -.1,   -.46,   42.5,   63.7,
       18,      01,   191704,   2.46,   52.9,    .72,    .72,   -.95,      0,      0,    363,   -.68,   1.04,    .47,    .17,   -.57,     .1,   -.44,   43.1,   62.7,
       18,      08,   191704,   2.51,   46.1,   -.53,   -.53,   -1.6,   -.53,      0,    567,    -.9,    .16,    .01,   -.04,   -.17,   -.35,    .25,   34.5,   57.6,
       18,      05,   191704,   2.42,   52.6,    .39,   -.89,     -1,   -.09,      0,    372,   -.67,     .5,    .03,    .13,  -1.01,   -.49,   -.42,   41.5,   63.7,
       18,      03,   191704,   2.85,     54,   -.15,    .89,   -.45,    .51,      0,    330,   -.24,   1.17,    .76,    .44,   -.48,   -.03,   -.44,   43.2,   64.8,
       18,      02,   191705,   3.06,   58.4,    .65,    .65,   -.14,   -.06,     10,    214,   -.25,   -.49,    .68,    .34,   -.07,   -.43,   -.55,   47.6,   69.1,
       18,      05,   191705,   3.07,   57.4,    .32,   -.82,   -.07,   -.03,      7,    243,    -.3,   -.71,     .2,    .13,   -.47,   -.64,   -.56,   46.8,     68,
       18,      03,   191705,   2.83,   59.7,   -.32,    .62,   -.55,   -.19,     18,    182,   -.47,   -.56,    .61,    .26,   -.19,   -.33,   -.46,   48.6,   70.7,
       18,      04,   191705,   3.12,   58.6,    .35,    .35,   -.18,   -.41,     14,    212,   -.33,   -.77,    .21,    .06,   -.51,   -.28,   -.32,   47.5,   69.6,
       18,      07,   191705,    3.1,   55.8,   1.14,   1.14,    -.1,    .43,      8,    293,   -.37,   -.61,   -.04,    .06,   -.41,    .31,    .82,   44.8,   66.8,
       18,      06,   191705,   2.85,   56.3,   -.57,   -.57,   -.51,   -.57,      7,    276,   -.55,  -1.09,   -.36,   -.39,   -.87,   -.31,   -.06,   45.2,   67.3,
       18,      01,   191705,   2.85,   57.8,    .64,    .64,   -.02,   -.13,      7,    230,    -.2,   -.61,     .7,     .1,   -.14,   -.38,   -.46,   47.5,   68.1,
       18,      08,   191705,   4.12,   51.2,   -.37,   -.37,    .32,   -.37,      0,    428,    -.1,   -.71,    .04,    .16,   -.16,   -.18,     .1,   41.1,   61.4,
       18,      08,   191706,   3.46,   63.4,   -.64,   -.64,    -.9,   -.64,     43,     91,   -.72,   -.66,  -1.04,    .09,    -.5,   -.57,   -.01,   51.2,   75.6,
       18,      02,   191706,   3.83,   72.2,    .71,    .71,    .39,     .2,    219,      0,    .18,   -.16,   -.34,     .1,   -.12,   -.52,   -.64,   62.1,   82.2,
       18,      01,   191706,   5.37,   71.3,   1.34,   1.34,   2.32,   1.34,    194,      5,    1.1,    .59,     .2,    .47,    .17,   -.21,   -.41,   62.6,     80,
       18,      05,   191706,      4,   71.6,    .48,    .48,    .57,    .48,    202,      0,    .34,   -.04,   -.37,   -.15,   -.26,   -.72,   -.63,   61.3,     82,
       18,      07,   191706,   3.21,   68.5,    .94,    .94,   -.26,    .11,    123,     18,   -.36,   -.65,   -.77,    .02,   -.59,   -.38,    .52,   56.3,   80.8,
       18,      04,   191706,   3.35,   71.6,    .29,    .29,   -.07,   -.39,    202,      0,   -.08,   -.43,   -.74,   -.27,   -.35,   -.72,   -.58,     61,   82.2,
       18,      06,   191706,   4.28,   69.3,    .24,    .24,    .71,   -.27,    141,     12,    .31,   -.23,   -.63,   -.35,   -.68,   -.69,   -.23,   58.3,   80.3,
       18,      03,   191706,   2.94,   72.3,   -.48,   -.48,    -.6,   -.48,    223,      0,   -.48,   -.82,   -.82,   -.11,   -.18,   -.86,    -.7,   62.1,   82.4,
       18,      04,   191707,   7.76,     76,   1.62,   1.62,   4.08,   1.62,    341,      0,   1.67,    1.1,    .71,    .58,    .47,    -.3,   -.06,   67.3,   84.6,
       18,      02,   191707,   6.86,   76.3,   1.54,   1.54,    2.7,   1.54,    350,      0,   1.22,    .96,    .63,    .75,    .56,   -.19,   -.26,   68.2,   84.5,
       18,      07,   191707,   4.38,   73.6,   1.21,   1.21,   1.11,    .72,    267,      0,    .56,    .06,   -.26,   -.02,    -.2,   -.51,    .72,   62.5,   84.6,
       18,      03,   191707,   7.08,   76.4,    .85,    .85,   2.56,    .85,    353,      0,   1.29,    .71,    .28,     .6,    .45,    -.3,   -.28,   67.9,   84.9,
       18,      01,   191707,   5.94,     76,   1.89,   1.89,   2.04,   1.89,    341,      0,    .89,   1.25,    .93,    .94,     .6,   -.04,   -.17,     69,   83.1,
       18,      08,   191707,   4.11,   68.1,   -.74,   -.74,    -.5,   -.74,    117,     21,   -.13,   -.67,   -.61,   -.42,   -.42,   -.44,    .02,   57.4,   78.9,
       18,      06,   191707,   6.23,   73.8,   1.18,   1.18,   2.89,   1.18,    273,      0,   1.22,    .96,    .45,    .14,    .03,   -.71,    .12,   64.6,     83,
       18,      05,   191707,   6.24,   75.7,   1.32,   1.32,   2.68,   1.32,    332,      0,   1.04,    .88,    .55,    .38,    .38,   -.56,   -.29,   67.3,     84,
       18,      06,   191708,   3.62,   72.5,   1.11,   1.11,    .15,   1.11,    235,      0,   -.04,    .59,     .6,    .17,    .06,    -.4,   -.51,   61.6,   83.3,
       18,      04,   191708,   3.19,   74.4,   1.36,   1.36,   -.28,   1.14,    291,      0,   -.31,    .79,    .59,     .5,    .36,   -.14,   -.55,   64.1,   84.7,
