StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       19,      02,   191701,   3.08,   23.1,  -1.29,  -1.29,   -.58,  -1.29,      0,   1299,   -.11,   -.49,   -.83,   -1.4,   -.38,   -.13,   -.65,   13.9,   32.3,
       19,      01,   191701,   3.13,   20.9,   -.92,   -.92,   -.38,   -.92,      0,   1367,      0,   -.38,   -.44,   -.91,   -.61,   -.31,   -.11,   11.6,   30.3,
       19,      03,   191701,    3.2,     28,  -1.53,  -1.53,   -.69,  -1.53,      0,   1147,   -.27,   -.43,  -1.02,  -1.92,   -.12,    .03,  -1.04,   19.8,   36.2,
       19,      01,   191702,    2.7,     17,   -.99,   -.99,    -.5,   -.99,      0,   1344,   -.15,   -.25,   -.52,   -.91,    -.6,   -.66,   -.43,    6.6,   27.4,
       19,      02,   191702,   2.52,     20,  -1.45,  -1.45,   -.88,  -1.45,      0,   1260,   -.45,   -.53,    -.8,  -1.35,   -.53,   -.56,   -.81,    9.5,   30.6,
       19,      03,   191702,   2.55,   24.2,  -1.72,  -1.72,  -1.05,  -1.72,      0,   1142,   -.63,   -.78,   -.81,  -1.59,   -.43,   -.33,  -1.17,   15.7,   32.8,
       19,      02,   191703,   4.19,   32.3,   -1.1,   -1.1,     .6,    -.7,      0,   1014,    .29,   -.04,   -.19,  -1.39,   -.85,   -.43,   -.43,   23.1,   41.5,
       19,      03,   191703,   4.81,   34.3,    .34,   -1.2,   1.03,   -.62,      0,    952,    .47,    .02,   -.22,  -1.16,   -.76,   -.06,   -.72,   26.8,   41.7,
       19,      01,   191703,   3.75,   29.8,   -.87,   -.87,    .07,   -.87,      0,   1091,    .04,   -.13,   -.25,  -1.18,   -.71,   -.68,   -.08,   20.8,   38.9,
       19,      03,   191704,   3.54,   41.4,    .34,  -1.05,    .09,   -.38,      0,    708,   -.12,    .14,    -.2,   -.85,  -1.55,   -.26,   -.56,   33.8,     49,
       19,      01,   191704,   1.99,   40.4,  -1.44,  -1.44,  -1.99,  -1.44,      0,    738,   -1.3,   -.85,   -.88,  -1.04,  -1.27,   -.99,   -.18,   30.3,   50.5,
       19,      02,   191704,   2.09,   41.6,  -1.52,  -1.52,  -1.59,  -1.52,      0,    702,   -1.1,   -.58,   -.78,  -1.23,  -1.47,   -.73,   -.44,   31.6,   51.5,
       19,      01,   191705,   4.05,   46.1,  -1.05,  -1.05,    .73,   -.57,      0,    586,    .07,   -.74,   -.65,    -.9,  -1.12,   -.86,   -.01,   36.3,   55.9,
       19,      03,   191705,   4.44,     48,    .94,    .94,   1.92,    .94,      0,    527,    .73,    .36,    .45,   -.18,   -.99,   -.17,   -.37,     40,     56,
       19,      02,   191705,   4.01,   48.2,    .44,   -.92,   1.32,   -.15,      0,    521,    .35,   -.47,   -.32,   -.78,  -1.21,   -.64,   -.26,   38.1,   58.3,
       19,      02,   191706,    4.7,   64.3,    .78,    .78,   1.15,    .78,     47,     68,    .61,    .64,   -.03,   -.27,  -1.05,   -.78,    .02,   53.5,     75,
       19,      01,   191706,    5.1,   62.4,   -.62,   -.62,    .98,    .44,     24,    102,    .58,    .42,   -.23,   -.41,  -1.04,   -.77,     .2,     52,   72.9,
       19,      03,   191706,   5.43,   63.5,   1.63,   1.63,   2.37,   1.63,     33,     78,   1.07,   1.17,     .9,     .5,   -.31,   -.19,    .01,     55,   71.9,
       19,      03,   191707,   1.57,   71.1,   1.07,   1.07,  -1.18,     .4,    193,      0,  -1.26,    .34,     .6,    .28,   -.37,  -1.07,   -.32,   62.8,   79.3,
       19,      02,   191707,   1.94,   70.9,    .11,    .11,  -1.75,   -.58,    187,      0,  -1.59,   -.21,   -.04,   -.63,  -1.01,  -1.33,   -.67,   60.3,   81.5,
       19,      01,   191707,   2.94,   68.1,     -1,     -1,  -1.35,   -.61,    112,     16,    -.7,   -.02,   -.04,   -.68,   -.85,  -1.12,   -.36,   57.2,   79.1,
       19,      01,   191708,   5.18,   67.6,   -.63,   -.63,    .82,     .2,    109,     29,    .64,   -.03,    .24,   -.37,   -.59,    -.8,   -.73,   55.9,   79.2,
       19,      03,   191708,   4.47,   70.5,   1.15,   1.15,    .56,    .71,    178,      7,    .56,   -.26,    .47,    .56,    .07,   -.66,   -.43,   62.1,     79,
       19,      02,   191708,   5.69,   69.9,    .67,    .67,    1.7,    .67,    164,     12,   1.05,    .14,    .37,   -.08,   -.45,   -.86,   -.74,   58.8,     81,
       19,      02,   191709,   1.31,   56.1,    .02,    .02,  -1.73,   -.58,      0,    267,  -1.49,   -.06,   -.74,   -.62,   -.76,  -1.24,   -.74,   43.9,   68.2,
       19,      03,   191709,   2.49,   57.7,    .83,    .83,   -.61,    .04,      0,    222,    -.4,   -.02,   -.61,    .22,   -.03,    -.6,   -.34,   48.3,     67,
       19,      01,   191709,   1.17,   53.8,  -1.31,  -1.31,  -2.24,  -1.31,      0,    336,  -2.38,   -.61,  -1.03,   -.97,  -1.04,  -1.39,   -.88,     41,   66.5,
       19,      01,   191710,   6.46,   43.7,   1.02,   1.02,   3.06,   1.02,      0,    660,    1.2,    .01,    .29,    .06,   -.41,   -.57,   -.53,   33.4,   53.9,
       19,      03,   191710,   5.42,   49.3,   1.49,   1.49,   2.24,   1.49,      0,    487,    .92,    .33,    .49,    .65,    .41,   -.09,    -.1,   40.9,   57.6,
       19,      02,   191710,    5.7,   46.4,    .83,    .83,   2.43,    .83,      0,    577,   1.01,      0,    .51,    .24,   -.22,   -.54,   -.46,   36.1,   56.7,
       19,      01,   191711,    .89,   30.7,   -.95,   -.95,  -2.84,   -.95,      0,   1029,  -2.02,      0,  -1.04,    -.6,   -.92,  -1.07,    -.7,   20.4,     41,
       19,      03,   191711,    .66,   36.3,   -.85,   -.85,  -2.55,   -.85,      0,    861,  -2.04,   -.62,   -.86,   -.31,   -.03,   -.38,   -.32,   27.8,   44.8,
       19,      02,   191711,    .98,   33.2,    -.8,    -.8,  -2.39,    -.8,      0,    954,   -1.8,   -.21,  -1.01,   -.49,   -.63,   -.88,   -.62,   23.2,   43.2,
       19,      03,   191712,    2.8,   23.4,  -1.08,  -1.08,   -.96,  -1.08,      0,   1290,   -.66,  -2.07,   -.96,  -1.21,   -.36,   -.49,   -.54,   15.4,   31.4,
       19,      01,   191712,   2.62,   13.8,  -1.27,  -1.27,  -1.27,  -1.27,      0,   1587,   -.69,  -2.21,    -.4,  -1.06,  -1.04,   -1.1,  -1.02,    4.3,   23.3,
       19,      02,   191712,   2.49,   17.5,  -1.13,  -1.13,  -1.25,  -1.13,      0,   1472,    -.8,  -1.99,   -.63,  -1.01,   -.86,   -.93,   -.86,    8.1,   26.8,
       19,      02,   191801,    3.2,     14,  -1.16,  -1.16,   -.45,  -1.16,      0,   1581,   -.03,   -.71,  -1.91,   -.63,   -.62,   -.92,   -.71,    4.5,   23.4,
       19,      01,   191801,   3.59,     10,   -1.1,   -1.1,    .12,   -.94,      0,   1705,     .3,   -.36,  -1.76,    -.7,   -.66,  -1.03,   -.88,     .2,   19.7,
       19,      03,   191801,   3.38,   19.3,  -1.14,  -1.14,   -.51,  -1.14,      0,   1417,   -.14,   -.73,  -2.12,   -.89,   -.39,   -.48,   -.37,   11.3,   27.3,
       19,      02,   191802,   3.08,   19.9,  -1.09,  -1.09,   -.12,  -1.07,      0,   1263,    .03,   -.15,   -.73,  -1.29,    -.8,   -.86,   -.89,    7.4,   32.5,
       19,      03,   191802,    2.8,   25.1,  -1.27,  -1.27,   -.75,  -1.27,      0,   1117,   -.42,   -.53,   -.95,  -1.27,   -.82,   -.47,   -.54,   15.1,   35.1,
       19,      01,   191802,   2.77,   17.3,  -1.12,  -1.12,   -.41,  -1.11,      0,   1336,   -.09,    .03,   -.48,  -1.25,   -.78,  -1.03,  -1.06,    4.9,   29.6,
       19,      01,   191803,    3.1,   31.4,  -1.23,  -1.23,   -.68,  -1.23,      0,   1042,   -.38,   -.43,   -.31,   -.59,  -1.18,  -1.16,  -1.12,   19.1,   43.6,
       19,      03,   191803,   2.55,   34.7,   -1.6,   -1.6,  -1.38,   -1.6,      0,    939,   -.84,   -.94,  -1.04,  -1.51,  -1.64,   -.81,   -.65,   25.2,   44.2,
       19,      02,   191803,   2.61,   33.4,  -1.39,  -1.39,  -1.23,  -1.39,      0,    980,   -.72,   -.57,   -.62,  -1.02,  -1.28,  -1.12,   -.96,   21.7,     45,
       19,      02,   191804,   3.12,     45,  -1.52,  -1.52,   -.83,  -1.52,      0,    600,   -.32,   -.83,   -.77,  -1.98,     -1,   -.93,   -.99,   32.2,   57.7,
       19,      01,   191804,   3.33,   42.6,  -1.36,  -1.36,   -.75,  -1.36,      0,    672,   -.28,   -.51,   -.57,  -1.64,   -.99,   -.91,  -1.11,   30.2,   55.1,
       19,      03,   191804,   4.42,   44.9,  -1.23,  -1.23,    .61,   -.84,      0,    603,    .37,   -.39,   -.58,  -1.86,  -1.09,   -.67,   -.64,   35.1,   54.6,
       19,      01,   191805,   3.59,   59.3,  -1.64,  -1.64,  -1.26,  -1.64,     21,    197,    -.2,   -.35,   -.57,    -.8,  -1.31,   -.96,  -1.14,   46.7,   71.8,
