StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       20,      08,   191701,   1.11,   20.9,  -1.16,  -1.16,  -1.27,   -.98,      0,   1367,  -1.12,   -.61,   -.57,   -.23,     .1,   -.31,    -.6,   12.6,   29.3,
       20,      04,   191701,   1.06,     13,  -1.39,  -1.39,   -.95,  -1.07,      0,   1612,   -.85,   -.21,   -.11,   -.32,   -.28,      0,   -.48,    4.4,   21.7,
       20,      05,   191701,   1.21,   17.9,   -.47,   -.47,  -1.41,   -.47,      0,   1460,  -1.04,   -.48,    -.5,   -.34,    .06,   -.15,   -.32,    9.5,   26.3,
       20,      07,   191701,    .99,     18,  -2.03,  -2.03,   -.98,  -2.03,      0,   1457,   -.84,   -.59,   -.67,   -.85,   -.74,   -.74,   -.54,   10.6,   25.4,
       20,      03,   191701,   1.33,   14.4,    -.4,    .61,   -1.2,   -.28,      0,   1569,   -.86,   -.31,    .07,    .12,    .43,    .49,   -.23,    6.4,   22.5,
       20,      09,   191701,   1.02,   19.3,  -1.71,  -1.71,   -.92,  -1.71,      0,   1417,   -.88,   -.44,   -.59,   -.58,   -.17,   -.63,   -.64,   11.7,   26.9,
       20,      01,   191701,    .95,    5.9,   -.91,   1.41,  -1.24,    .09,      0,   1832,  -1.03,  -1.34,  -1.45,    .11,    .27,    .65,   1.11,   -4.6,   16.3,
       20,      02,   191701,   1.26,   10.1,   -.53,   1.71,  -1.58,    .96,      0,   1702,  -1.22,   -.41,   -.59,    .48,    .92,    .77,    .57,    1.7,   18.4,
       20,      10,   191701,   1.26,   19.6,  -2.45,  -2.45,  -1.26,  -2.45,      0,   1407,   -.52,   -.31,   -.58,   -.95,   -.69,   -.88,   -.45,   11.9,   27.3,
       20,      06,   191701,   1.14,   16.1,  -1.79,  -1.79,   -.63,  -1.79,      0,   1516,   -.64,   -.61,   -.55,   -.97,   -.55,   -.63,   -.93,    7.6,   24.7,
       20,      03,   191702,    .68,    7.4,   -.89,   -.89,   -1.6,   -.89,      0,   1613,  -1.54,  -1.55,   -.91,   -.01,   -.23,    .33,   -.42,   -3.1,     18,
       20,      06,   191702,    .43,   10.9,  -2.16,  -2.16,  -1.64,  -2.16,      0,   1515,   -1.6,  -1.52,  -1.19,   -.99,  -1.24,   -.81,   -1.2,      1,   20.8,
       20,      10,   191702,    .48,   15.5,  -2.86,  -2.86,  -1.99,  -2.86,      0,   1386,  -1.57,  -1.42,  -1.01,  -1.14,  -1.39,   -.95,   -.73,    6.6,   24.4,
       20,      04,   191702,    .55,    5.9,  -1.79,  -1.79,  -1.63,  -1.79,      0,   1655,  -1.51,  -1.61,   -.83,   -.49,   -.82,   -.14,   -.72,   -5.1,   16.9,
       20,      09,   191702,    .37,   15.2,  -2.18,  -2.18,  -1.93,  -2.18,      0,   1394,  -1.88,  -1.81,  -1.12,   -.97,   -.92,    -.7,   -.87,    6.2,   24.1,
       20,      08,   191702,    .63,     16,   -1.6,   -1.6,  -1.68,   -1.6,      0,   1372,   -1.7,  -1.81,  -1.14,   -.45,   -.49,    -.4,   -.79,    6.4,   25.5,
       20,      01,   191702,    .79,    1.4,  -1.17,    .92,  -1.06,   -.77,      0,   1781,   -.87,  -1.51,   -1.6,     .1,    .32,    .55,   1.02,   -9.9,   12.6,
       20,      07,   191702,     .4,   12.5,  -2.42,  -2.42,  -1.79,  -2.42,      0,   1470,  -1.71,  -1.72,  -1.25,  -1.06,  -1.55,   -.94,   -.81,    3.8,   21.2,
       20,      02,   191702,    .56,    3.2,   -1.2,    .81,  -2.17,   -.88,      0,   1730,  -1.73,  -2.05,  -1.15,    .54,     .5,    .68,    .41,   -7.4,   13.8,
       20,      05,   191702,     .5,   12.7,  -1.08,  -1.08,  -1.98,  -1.08,      0,   1464,  -1.84,  -1.89,   -1.2,   -.54,   -.47,   -.33,   -.65,    3.4,     22,
       20,      05,   191703,   1.33,     30,  -1.36,  -1.36,  -1.18,  -1.36,      0,   1085,   -.78,  -1.79,  -2.22,   -.75,   -1.1,   -.53,   -.55,   21.1,   38.9,
       20,      10,   191703,    2.3,   33.9,    .05,  -2.52,    .16,  -2.39,      0,    964,    .15,   -.73,   -.98,   -.95,  -1.59,  -1.07,   -.42,   25.6,   42.2,
       20,      03,   191703,   1.17,   25.7,  -1.18,  -1.18,  -1.15,  -1.18,      0,   1218,   -.75,  -1.42,  -1.71,    .03,   -.62,   -.06,   -.35,   16.9,   34.6,
       20,      01,   191703,   2.38,   21.1,   -.68,   1.19,   1.11,   -.04,      0,   1361,    .78,    .11,   -.42,   -.45,   -.32,     .5,   1.29,   10.2,     32,
       20,      02,   191703,   2.36,   21.2,    .24,    .96,    .72,   -.36,      0,   1358,    .54,   -.46,  -1.06,    .13,   -.04,    .81,    .64,     11,   31.4,
       20,      07,   191703,   1.41,   31.5,  -2.43,  -2.43,   -.77,  -2.43,      0,   1038,   -.54,  -1.49,  -1.89,  -1.02,  -1.79,  -1.25,   -.65,   24.2,   38.9,
       20,      04,   191703,   1.44,   24.8,  -1.85,  -1.85,   -.75,  -1.85,      0,   1246,   -.43,  -1.17,  -1.49,   -.32,  -1.27,   -.54,   -.59,   15.8,   33.7,
       20,      06,   191703,   1.49,   29.9,  -2.18,  -2.18,   -.74,  -2.18,      0,   1088,   -.54,  -1.37,   -1.6,   -.83,  -1.74,  -1.07,  -1.04,   21.4,   38.4,
       20,      09,   191703,   2.26,   33.5,    .02,  -1.93,    .06,  -1.84,      0,    976,   -.02,   -.98,  -1.42,   -.94,  -1.38,   -.77,   -.61,   24.7,   42.4,
       20,      08,   191703,   2.15,   34.1,  -1.56,  -1.56,   -.38,  -1.56,      0,    958,   -.25,  -1.12,  -1.56,   -.93,   -1.1,   -.42,   -.59,   24.8,   43.5,
       20,      09,   191704,   3.67,   42.6,    .48,  -1.27,   1.39,   -.49,      0,    672,    .61,    .43,    -.3,   -.68,   -.66,   -.31,   -.23,   32.9,   52.2,
       20,      03,   191704,   1.84,   36.4,   -.04,   -1.1,   -.11,  -1.07,      0,    858,   -.54,   -.97,  -1.41,   -.88,    -.5,    -.2,   -.29,   27.1,   45.6,
       20,      05,   191704,   2.49,   39.6,    .08,  -1.15,    .23,   -.94,      0,    762,   -.17,   -.71,  -1.42,  -1.19,   -.86,   -.45,    -.4,   29.5,   49.6,
       20,      07,   191704,   2.83,   40.3,     .4,  -1.78,   1.19,   -1.2,      0,    741,    .33,   -.18,   -.88,     -1,  -1.15,  -1.03,   -.32,   32.2,   48.4,
       20,      04,   191704,   1.86,     37,      0,  -1.66,      0,  -1.59,      0,    840,   -.41,   -.71,  -1.28,   -.91,   -.84,   -.75,    -.5,   27.5,   46.4,
       20,      06,   191704,   2.67,   39.9,    .23,  -1.73,    .69,  -1.35,      0,    753,    .07,   -.37,  -1.01,   -.98,   -1.3,    -.9,   -.82,   30.2,   49.7,
       20,      01,   191704,   1.81,   32.8,   -.49,   1.19,    .36,    .11,      0,    966,   -.41,    .13,   -.23,   -1.2,   -.06,    .12,   1.39,   22.9,   42.8,
       20,      08,   191704,   3.58,   42.8,    .32,  -1.08,    .96,    -.5,      0,    666,    .41,    .14,   -.47,   -.75,   -.43,   -.11,   -.27,   32.4,   53.2,
       20,      02,   191704,   1.44,     33,    .13,    .78,   -.24,   -.58,      0,    960,   -.84,   -.25,   -.89,  -1.09,    .03,    .49,    .67,   24.7,   41.2,
       20,      10,   191704,   3.85,   42.2,    .73,  -1.58,   2.04,   -.55,      0,    684,    .89,    .76,    .03,   -.49,   -.88,   -.65,    .04,   33.3,     51,
       20,      07,   191705,   3.13,   48.1,    .88,  -1.07,   1.58,    .22,      0,    524,    .15,    .29,   -.06,    -.8,   -.89,  -1.37,   -.27,   37.9,   58.3,
       20,      03,   191705,   2.92,   45.1,     .5,     .5,   1.51,     .5,      0,    617,    .12,   -.36,   -.75,  -1.15,   -.37,   -.52,   -.16,   34.7,   55.4,
       20,      06,   191705,   3.59,   48.2,    .85,    -.9,   1.93,    .38,      0,    521,    .44,     .3,   -.04,   -.76,   -.82,  -1.08,   -.64,     37,   59.3,
       20,      05,   191705,   3.61,   47.7,    .72,    .72,   1.95,    .72,      0,    536,    .53,    .23,   -.24,   -.92,   -.59,   -.52,   -.25,   36.4,   59.1,
       20,      02,   191705,   2.15,   43.7,    .15,    .73,    .08,   -.54,      0,    660,   -.63,  -1.07,   -.66,  -1.18,    .12,    .16,    .69,     33,   54.4,
       20,      09,   191705,   2.85,   49.9,    .58,   -.99,    .46,    .02,      5,    474,   -.35,    .13,    .03,   -.71,    -.8,   -.83,   -.38,   39.2,   60.5,
       20,      10,   191705,   3.59,   49.5,   1.24,   -.83,   1.77,    .91,      0,    480,    .34,     .8,    .72,   -.08,   -.52,   -.94,    .04,   39.5,   59.4,
       20,      08,   191705,   3.05,   50.4,    .47,   -.78,    .55,    .13,      7,    459,   -.25,    .04,   -.15,   -.86,   -.47,    -.5,   -.43,   39.4,   61.5,
       20,      01,   191705,   1.39,   44.2,   -.95,    .55,  -1.54,   -.95,      0,    645,  -1.66,  -1.54,   -.91,  -1.58,   -.47,   -.14,    .98,   31.4,     57,
       20,      04,   191705,   3.01,   45.9,     .5,   -.99,   1.49,   -.13,      0,    592,    .18,   -.22,   -.47,   -.89,   -.63,   -.89,   -.32,   35.1,   56.7,
       20,      04,   191706,   4.52,   57.1,   1.59,   1.59,   3.44,   1.59,      8,    245,   1.29,   1.04,    .57,   -.36,    .14,   -.85,   -.01,   45.9,   68.3,
       20,      06,   191706,   4.55,   59.9,   1.67,   1.67,   2.73,   1.67,     21,    174,   1.06,    .91,     .7,   -.19,   -.11,  -1.05,   -.47,   48.7,   71.1,
       20,      02,   191706,   4.97,     53,   1.32,   1.84,   3.56,   1.62,      0,    360,   1.28,    .73,    .28,   -.41,    .23,    .05,    .58,   41.7,   64.2,
       20,      08,   191706,   4.46,   62.4,   1.09,   1.09,      2,   1.09,     46,    124,    .73,    .26,    .35,   -.54,   -.49,   -.81,   -.15,     51,   73.8,
       20,      09,   191706,   4.77,   62.8,   1.32,   1.32,   2.38,   1.32,     49,    115,    .93,    .35,    .54,   -.35,   -.45,   -.96,   -.15,     52,   73.6,
       20,      05,   191706,   4.63,   58.2,   1.65,   1.65,   3.02,   1.65,     14,    218,   1.12,    .96,    .67,   -.34,    -.1,   -.58,   -.05,   47.4,     69,
       20,      03,   191706,   5.15,   55.3,   1.78,   1.78,      4,   1.78,      5,    296,   1.43,    1.2,     .7,   -.25,    .44,   -.19,    .18,   44.6,   65.9,
       20,      07,   191706,    5.1,   60.3,   2.14,   2.14,   4.05,   2.14,     22,    163,   1.54,   1.13,    .99,   -.04,   -.05,   -.97,   -.08,   49.4,   71.3,
       20,      01,   191706,    4.5,   54.2,   -.26,   1.09,   1.79,    .17,      0,    328,    .69,   -.52,   -.65,   -.72,    -.8,   -.58,    .86,   41.8,   66.5,
       20,      10,   191706,   5.06,   62.4,   2.28,   2.28,   3.52,   2.28,     41,    119,   1.43,   1.12,   1.32,    .53,    .13,   -.68,    .25,   51.9,   72.9,
       20,      01,   191707,   1.98,   64.7,   -.77,   -.77,  -1.63,   -.77,     70,     80,  -1.22,   -.33,  -1.15,  -1.02,  -1.74,   -.66,    .63,     52,   77.3,
       20,      10,   191707,   2.99,     70,   2.36,   2.36,    .95,   2.36,    167,     12,    .04,    .97,    .88,    .65,    .18,   -.28,    -.1,     60,   79.9,
       20,      03,   191707,   1.93,   65.9,   -.19,   1.41,   -.58,   1.05,     83,     55,   -.76,    .75,    .61,   -.44,    -.3,   -.17,    .06,     55,   76.8,
       20,      06,   191707,   3.39,   68.7,   2.21,   2.21,   2.13,   2.21,    137,     22,    .57,   1.08,    .99,    .15,   -.13,   -.55,   -.43,   58.1,   79.3,
       20,      04,   191707,   3.07,   66.9,   1.72,   1.72,    .86,   1.72,    100,     42,     .2,   1.03,    .93,   -.14,   -.14,   -.29,    .02,   55.7,   78.2,
       20,      08,   191707,   3.16,     70,   1.28,   1.28,    .92,   1.28,    169,     14,    .13,    .57,    .25,   -.19,   -.49,    -.3,   -.23,   59.1,   80.9,
       20,      05,   191707,   2.13,   67.8,   1.58,   1.58,    .29,   1.58,    118,     31,   -.39,    .54,    .59,    -.3,   -.48,   -.47,   -.06,   56.8,   78.7,
       20,      02,   191707,   1.72,   64.5,   -.42,   1.24,  -1.25,    .44,     65,     81,  -1.07,    .33,   -.06,    -.6,    -.9,   -.02,    .42,   52.2,   76.9,
       20,      07,   191707,   3.35,   69.1,   2.61,   2.61,   2.07,   2.61,    145,     18,    .48,   1.39,   1.11,    .32,   -.07,   -.38,   -.09,   58.9,   79.3,
       20,      09,   191707,   2.78,   69.9,   1.32,   1.32,    .42,   1.32,    167,     15,   -.26,    .49,    .15,   -.18,   -.53,   -.55,   -.39,   59.7,   80.1,
       20,      01,   191708,   3.25,   58.8,    -.7,    -.7,   -.03,    -.7,     17,    209,    .06,   -.84,   -.35,    -.8,  -1.41,    -.6,     .7,   46.5,     71,
       20,      02,   191708,   3.04,   59.4,   -.26,   1.22,    .33,    .53,     20,    193,    .02,    -.7,    .31,   -.16,   -.64,    .25,    .39,   47.8,   71.1,
       20,      08,   191708,   1.29,   67.3,   -.61,   -.61,  -1.83,   -.61,    118,     47,  -1.58,   -.97,   -.36,   -.47,    -.9,   -.59,   -.57,     55,   79.6,
       20,      07,   191708,   2.05,   65.3,    -.1,   2.25,   -.29,   2.06,     81,     72,   -.78,   -.31,    .75,    .39,   -.23,   -.41,   -.54,     54,   76.7,
       20,      10,   191708,   2.13,   67.3,   1.94,   1.94,   -.55,   1.63,    112,     41,   -.67,   -.55,     .4,    .71,    .14,   -.28,   -.41,   56.1,   78.5,
       20,      04,   191708,   3.08,   61.8,   1.78,   1.78,    .72,   1.78,     40,    139,    .04,    .12,    .84,    .21,   -.19,   -.16,   -.21,     50,   73.5,
       20,      09,   191708,   2.11,   67.2,   -.26,    .92,   -.79,    .37,    114,     46,   -.75,   -.77,    -.1,   -.12,   -.64,   -.74,   -.59,   55.5,     79,
       20,      03,   191708,   2.55,   61.5,   -.25,   1.18,   -.24,    .65,     36,    145,   -.32,   -.85,    .38,   -.33,   -.66,   -.21,   -.03,   50.3,   72.8,
       20,      05,   191708,   1.57,   63.6,   -.51,    .91,  -1.53,    .04,     61,    105,  -1.16,   -1.3,   -.16,   -.41,   -.85,   -.65,   -.21,   51.4,   75.9,
       20,      06,   191708,   2.42,   64.2,   -.01,   1.97,   -.04,   1.89,     69,     93,   -.43,   -.02,    .59,    .28,   -.29,   -.45,   -.53,   51.7,   76.6,
       20,      02,   191709,   1.46,   53.7,  -1.17,  -1.17,  -2.81,  -1.17,      0,    339,  -1.74,  -1.28,  -1.62,  -1.08,  -1.53,   -.77,      0,   43.5,   63.9,
       20,      07,   191709,   1.29,   56.9,    -.8,    1.3,  -2.14,    .15,      5,    248,  -1.42,  -1.61,   -.97,    .09,   -.64,   -.59,  -1.06,   44.6,   69.1,
       20,      03,   191709,   1.64,   54.1,  -1.03,  -1.03,  -2.41,  -1.03,      0,    327,  -1.53,  -1.34,  -1.66,   -.67,  -1.38,   -.52,   -.48,   42.8,   65.3,
       20,      08,   191709,   2.14,   59.3,  -1.03,  -1.03,  -1.44,  -1.03,     13,    184,   -.68,  -1.64,  -1.26,   -.63,  -1.29,  -1.13,  -1.19,   46.5,   72.2,
       20,      06,   191709,   1.57,     56,   -.61,   1.17,  -1.81,    .21,      0,    274,   -1.1,   -1.2,   -.73,    .02,   -.66,   -.52,  -1.06,   43.2,   68.7,
       20,      05,   191709,   1.96,   56.3,     -1,     -1,  -1.63,     -1,      0,    264,    -.8,  -1.49,  -1.49,   -.54,  -1.39,   -.92,   -.94,   44.1,   68.4,
       20,      04,   191709,   1.59,   54.2,   -.65,    .95,  -1.95,   -.07,      0,    324,  -1.38,   -.91,   -.69,   -.25,   -.89,   -.43,   -.61,   41.8,   66.5,
       20,      01,   191709,   2.43,   52.7,   -1.1,   -1.1,  -1.42,   -1.1,      0,    369,   -.76,    -.5,  -1.15,  -1.36,  -1.45,  -1.39,    .37,   41.6,   63.8,
       20,      10,   191709,   2.14,   58.2,   1.59,   1.59,   -.45,   1.03,      9,    213,    -.5,    -.9,    -.7,    .46,   -.06,   -.28,   -.79,   46.3,   70.2,
       20,      09,   191709,    1.9,   58.4,   -.68,   -.68,  -1.33,   -.68,     11,    209,   -.79,  -1.23,  -1.12,   -.38,  -1.01,   -.97,  -1.14,     46,   70.7,
       20,      08,   191710,   5.19,     42,   1.08,   1.08,   3.24,   1.08,      0,    713,    1.2,    .38,   -.37,   -.16,   -.41,   -.63,   -.51,   33.3,   50.6,
       20,      09,   191710,   4.91,   40.8,   1.31,   1.31,   3.92,   1.31,      0,    750,   1.41,    .46,   -.03,    .03,   -.17,   -.44,    -.5,   32.2,   49.4,
       20,      04,   191710,   3.23,   38.2,    .74,   1.59,   2.21,   1.57,      0,    831,    .57,   -.54,   -.49,    .19,    -.4,   -.37,   -.21,   30.2,   46.2,
       20,      03,   191710,   2.89,   38.6,   -.78,   -.78,    .43,   -.36,      0,    818,    .01,  -1.05,  -1.11,   -.47,   -1.1,   -.92,   -.34,   31.1,   46.2,
       20,      07,   191710,   3.39,   41.2,   -.02,   1.86,   2.09,   1.55,      0,    738,     .7,    -.4,   -.79,    .25,   -.22,   -.49,   -.65,   32.9,   49.5,
       20,      06,   191710,    3.4,   39.6,    .64,   1.68,   1.91,   1.51,      0,    787,    .56,   -.38,   -.63,    .25,   -.25,   -.45,   -.68,   31.1,   48.2,
