StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       21,      08,   191701,    1.9,    5.7,   1.53,   1.53,   2.09,    .81,      0,   1838,   1.84,   1.42,    .71,   -.45,   -.12,   -.03,    .57,   -5.1,   16.5,
       21,      02,   191701,     .3,   -4.5,    .12,   1.71,    -.6,   1.19,      0,   2154,  -1.16,   -.04,  -1.25,    .26,   -.07,    .27,    .63,  -16.6,    7.6,
       21,      03,   191701,    .34,   -2.9,  -1.33,  -1.33,  -1.35,  -1.33,      0,   2105,  -2.15,   -.92,  -1.84,   -.29,   -.61,   -.18,    .09,  -15.7,    9.8,
       21,      07,   191701,   2.04,    6.8,    .87,   -.81,    2.6,    .49,      0,   1804,   2.28,   1.91,    .56,    -.9,   -.51,   -.48,    .23,     -4,   17.6,
       21,      05,   191701,   1.55,    2.3,   2.11,   2.11,   1.74,   1.86,      0,   1944,   1.44,   1.16,   -.06,   -.15,    .55,    .37,    .72,   -8.2,   12.8,
       21,      09,   191701,   1.62,    6.3,   1.17,   1.17,   1.54,     .2,      0,   1820,   1.19,    .76,    .51,   -.27,   -.22,    -.2,    .46,     -5,   17.6,
       21,      04,   191701,   1.38,    1.8,   3.81,   3.81,   1.88,   3.81,      0,   1959,   1.35,   1.48,    .28,    .51,    .89,    .96,   1.58,   -8.8,   12.4,
       21,      01,   191701,    .44,     -6,   2.88,   2.88,    .21,   2.88,      0,   2201,   -.38,    1.1,   -.14,     .5,    .29,    .54,    .66,  -17.5,    5.5,
       21,      06,   191701,   1.02,     .6,      0,  -1.48,      0,   -1.4,      0,   1996,    .62,    .03,    -.9,   -.59,   -.15,    .01,    .15,  -10.5,   11.8,
       21,      09,   191702,    .55,    5.4,      1,      1,   -.15,    .03,      0,   1669,   -.53,     .5,    .27,    .11,   -.54,   -.24,    .16,     -7,   17.9,
       21,      03,   191702,    1.1,   -3.4,    .29,   -.91,    .86,   -.33,      0,   1915,    .76,   -.39,   -.34,   -.59,   -.51,    .03,    .16,  -16.3,    9.6,
       21,      04,   191702,    .92,     .9,   3.88,   3.88,   1.39,   3.88,      0,   1795,    .78,   1.34,    1.5,   -.04,    .69,   1.06,    1.5,  -10.4,   12.2,
       21,      07,   191702,     .3,    6.5,    .45,  -1.06,     -1,   -.23,      0,   1638,   -.82,   1.38,   1.26,   -.63,   -.93,   -.49,   -.08,   -5.2,   18.3,
       21,      06,   191702,    .81,     .7,    .02,  -1.31,    .05,  -1.13,      0,   1800,     .3,    .49,    .07,   -.79,   -.52,    .05,    .08,  -11.9,   13.4,
       21,      08,   191702,    .46,    5.5,   1.33,   1.33,   -.13,    .56,      0,   1666,   -.57,   1.08,    .89,   -.06,   -.43,   -.03,    .27,   -6.5,   17.6,
       21,      05,   191702,    .58,    2.1,   2.03,   2.03,    .39,   1.86,      0,   1761,   -.14,   1.01,     .9,    -.3,    .11,    .38,    .61,   -9.6,   13.8,
