StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       22,      05,   191701,   5.63,   48.4,  -1.29,  -1.29,    .01,   -1.2,     18,    532,     .3,   -.05,   -.62,  -1.24,    .13,   -.67,   -.37,   38.7,   58.2,
       22,      04,   191701,   5.47,   47.7,   -.96,   -.96,   -.01,   -.86,     12,    549,    .31,    .01,   -.59,   -.71,   -.01,   -.88,   -.72,   37.4,   57.9,
       22,      09,   191701,   7.91,   51.5,    .64,    .64,   1.92,    .64,     28,    447,   1.05,    .62,     .2,   -.75,   1.14,    .26,   -.04,   41.2,   61.7,
       22,      02,   191701,   5.93,   44.5,   -1.2,   -1.2,    .32,   -.95,      8,    644,    .52,    .23,    -.4,   -.85,    .04,   -.63,   -.19,   34.4,   54.6,
       22,      06,   191701,    5.7,   47.4,  -1.53,  -1.53,    .06,  -1.42,     16,    562,    .33,   -.06,   -.55,  -1.48,    .44,   -.43,   -.04,   37.9,     57,
       22,      10,   191701,   5.04,   54.9,   -.44,   1.59,   -.09,    .59,     43,    357,     .2,    .35,   -.06,   -.58,   1.48,    .57,    .15,   45.2,   64.7,
       22,      07,   191701,   5.96,   51.6,  -1.06,  -1.06,    .18,   -.85,     26,    441,    .33,   -.04,   -.79,  -1.06,    .34,   -.68,   -.97,     41,   62.1,
       22,      03,   191701,   6.29,   44.3,  -1.08,  -1.08,    .47,   -.73,      9,    650,     .6,    .35,   -.18,   -.82,    .37,   -.43,   -.44,     34,   54.6,
       22,      08,   191701,   8.02,     53,    .55,   -.59,   1.65,    .48,     35,    407,   1.02,    .66,    .03,   -.74,    .46,   -.39,   -.54,   42.5,   63.5,
       22,      01,   191701,    5.8,   45.2,   -.96,   -.96,    .36,   -.64,      8,    622,    .51,    .02,   -.61,    -.6,   -.25,   -.86,   -.41,     35,   55.3,
       22,      02,   191702,   2.71,   45.4,  -1.65,  -1.65,  -1.73,  -1.65,      0,    549,   -.83,   -.15,   -.25,  -1.31,   -.47,   -.75,   -.49,     32,   58.8,
       22,      08,   191702,   5.75,   52.2,    .55,    .55,    .17,    .55,     14,    372,    .32,    .83,    .61,   -.46,    .02,   -.04,   -.82,     40,   64.4,
       22,      09,   191702,   6.29,   51.8,    .78,    .78,    .62,    .78,     13,    382,    .51,    .99,    .69,   -.25,    .91,    .51,   -.19,   39.2,   64.4,
       22,      01,   191702,    2.3,   46.3,  -1.52,  -1.52,  -1.96,  -1.52,      0,    524,  -1.02,   -.26,   -.51,  -1.17,   -.66,  -1.04,    -.8,   33.4,   59.2,
       22,      07,   191702,   6.27,   51.8,   -.68,   -.68,    .81,     .1,     12,    382,    .54,    .52,    .18,   -.81,   -.25,   -.23,  -1.08,   39.4,   64.2,
       22,      04,   191702,   4.46,   48.5,  -1.01,  -1.01,   -.43,  -1.01,      6,    468,      0,    .09,   -.14,   -.82,   -.33,   -.63,   -.85,     36,     61,
       22,      06,   191702,   6.23,   47.9,  -1.12,  -1.12,    .75,   -.57,      6,    485,    .61,    .55,    .14,   -.97,     .3,   -.08,   -.02,   36.3,   59.5,
       22,      05,   191702,   6.08,   48.9,   -.92,   -.92,     .7,   -.37,      7,    458,    .57,    .49,    .11,   -.92,   -.11,   -.31,   -.37,     37,   60.7,
       22,      03,   191702,   3.38,     44,   -1.4,   -1.4,  -1.29,   -1.4,      0,    588,   -.47,     .1,   -.01,  -1.13,    .05,   -.45,   -.52,   31.3,   56.6,
       22,      10,   191702,   4.66,   54.4,   -.52,    1.3,   -.38,    .19,     18,    315,      0,    .06,    .23,   -.32,   1.17,    .73,    .03,   42.8,     66,
       22,      02,   191703,   9.24,   53.2,    .84,   -.64,   2.52,     .7,     19,    385,   1.24,    .52,    .62,   -.26,   -.16,   -.08,   -.03,   41.2,   65.3,
       22,      07,   191703,    3.9,   59.1,  -1.17,  -1.17,  -1.67,  -1.17,     43,    226,   -.62,   -.18,      0,   -.85,    -.4,   -.15,   -.98,   46.5,   71.7,
       22,      05,   191703,   6.38,   56.4,   -.75,   -.75,    .23,   -.03,     30,    297,    .34,    .52,    .49,   -.52,   -.19,   -.03,   -.13,   44.7,     68,
       22,      01,   191703,   8.42,   54.4,    .66,    -.7,   1.98,    .42,     23,    351,   1.08,    .27,    .41,   -.44,    -.3,   -.46,   -.35,   42.7,   66.2,
       22,      03,   191703,   9.58,   51.8,    .81,    .81,   2.42,    .81,     15,    424,   1.28,     .7,     .8,   -.07,    .45,     .3,   -.04,   39.9,   63.6,
       22,      09,   191703,   7.56,   59.3,    .86,    .86,    .49,    .86,     46,    223,    .53,    .62,   1.04,    .25,   1.24,    .86,    .19,   46.7,   71.9,
