StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       23,      04,   191701,   1.75,   36.1,  -2.65,  -2.65,   -.92,  -2.65,      0,    896,   -.09,   -.17,   -.21,  -1.25,  -1.25,  -1.42,    .55,   24.4,   47.8,
       23,      05,   191701,   2.97,   35.2,  -2.07,  -2.07,    .26,   -1.9,      0,    924,    .33,    .49,    .08,   -.58,   -.85,  -1.28,    .22,   23.3,   46.9,
       23,      03,   191701,    .94,   32.7,  -2.92,  -2.92,  -1.74,  -2.92,      0,   1001,   -.52,  -1.06,   -.54,  -1.32,   -.94,   -.96,    .64,   21.2,   44.2,
       23,      02,   191701,   1.12,   28.5,  -1.71,  -1.71,  -1.21,  -1.71,      0,   1132,    -.4,  -1.03,   -.79,   -.26,   -.16,   -.63,    .72,   17.7,   39.2,
       23,      01,   191701,    .59,   26.4,  -2.17,  -2.17,  -1.49,  -2.17,      0,   1197,   -.64,  -1.44,   -.54,   -.72,   -.34,   -.49,      1,     16,   36.7,
       23,      06,   191701,   4.05,   38.7,   -1.9,   -1.9,    .05,  -1.81,      0,    815,    .29,    .37,   -.13,   -.69,   -.52,  -1.23,   -.11,     29,   48.3,
       23,      01,   191702,    .07,   24.9,  -2.74,  -2.74,  -2.38,  -2.74,      0,   1123,  -2.27,  -2.25,   -2.1,  -1.13,   -1.1,   -.58,    .67,   11.9,   37.9,
       23,      06,   191702,   1.91,   37.1,   -2.2,   -2.2,  -1.49,   -2.2,      0,    781,   -.86,   -.31,   -.12,    -.8,   -.66,   -1.2,   -.25,   24.8,   49.3,
       23,      05,   191702,    .65,   32.7,  -2.52,  -2.52,  -1.99,  -2.52,      0,    904,  -1.95,   -.73,   -.35,   -.99,  -1.05,  -1.43,      0,     19,   46.5,
       23,      03,   191702,    .14,   30.1,  -3.69,  -3.69,  -3.22,  -3.69,      0,    977,  -2.06,  -2.05,  -1.93,  -1.42,  -1.51,  -1.09,    .32,   17.4,   42.9,
       23,      04,   191702,    .48,   34.1,  -3.08,  -3.08,  -2.11,  -3.08,      0,    865,  -1.73,  -1.16,  -1.03,  -1.36,  -1.46,  -1.48,    .31,   20.4,   47.7,
       23,      02,   191702,    .27,   25.4,  -2.36,  -2.36,  -2.46,  -2.36,      0,   1109,  -2.11,  -1.69,  -1.84,  -1.49,   -.89,   -.75,    .56,     13,   37.8,
       23,      04,   191703,   1.84,   46.6,  -3.35,  -3.35,  -1.78,  -3.35,      8,    578,   -.95,  -2.03,  -1.57,  -1.64,  -2.16,  -1.56,    .22,   34.4,   58.8,
       23,      03,   191703,    2.9,   44.4,  -3.64,  -3.64,   -.98,  -3.64,      7,    645,    .11,   -.92,  -1.19,  -1.38,  -1.93,   -1.2,    .41,   32.3,   56.5,
       23,      01,   191703,   2.19,   41.1,  -2.83,  -2.83,  -1.11,  -2.83,      0,    741,   -.07,  -1.07,  -1.34,   -1.1,  -1.49,    -.7,    .75,   28.8,   53.4,
       23,      06,   191703,   3.66,   48.7,  -2.32,  -2.32,  -1.05,  -2.32,     10,    515,    -.3,   -.83,   -.56,   -.77,  -1.47,  -1.05,   -.15,     38,   59.4,
       23,      02,   191703,   3.13,   41.5,  -2.23,  -2.23,   -.33,  -2.23,      0,    728,    .26,   -.76,   -.97,   -1.4,  -1.05,   -.65,    .73,     30,     53,
       23,      05,   191703,   2.23,   45.8,  -2.82,  -2.82,  -1.68,  -2.82,      7,    603,   -.82,  -2.04,  -1.16,  -1.22,  -1.71,  -1.42,    .02,   33.4,   58.3,
       23,      04,   191704,      5,   54.5,    .38,  -2.62,   1.15,   -2.1,      7,    322,    .54,   -.15,   -.82,   -.82,   -1.5,  -1.48,    .43,   42.5,   66.5,
       23,      01,   191704,   5.93,   48.8,   1.14,   -1.4,   3.42,    .09,      0,    486,   1.51,   1.03,    .46,    -.1,   -.39,    -.2,   1.18,   38.1,   59.5,
       23,      02,   191704,   5.21,   50.2,  -1.24,  -1.24,   2.28,   -.16,      0,    444,    .91,    .75,    .15,   -.56,   -.21,   -.18,    .98,   39.4,   60.9,
       23,      03,   191704,   4.93,   52.5,  -2.74,  -2.74,   1.58,  -2.06,      0,    379,    .63,     .5,   -.11,   -.63,  -1.27,   -.99,    .64,   41.3,   63.6,
       23,      06,   191704,   7.19,   58.1,    .79,  -1.29,   2.37,   -.19,     17,    224,   1.12,    .56,    .15,   -.12,   -.59,   -.49,    .27,   46.4,   69.8,
       23,      05,   191704,   7.28,   54.2,   1.05,  -1.48,   3.16,    -.1,      6,    330,   1.24,    .52,   -.02,   -.11,   -.63,    -.9,    .45,   41.7,   66.7,
       23,      05,   191705,   3.72,   58.8,    .88,  -1.39,   -.19,    -.1,     22,    215,    -.4,    .64,    .16,   -.07,   -.65,    -.8,    .18,   46.2,   71.4,
       23,      04,   191705,    4.9,   58.9,    .55,  -2.15,    .61,  -1.34,     23,    212,    .06,    .33,   -.13,   -.67,  -1.19,  -1.33,    .24,   46.9,   70.9,
       23,      02,   191705,   4.79,     58,   -.73,   -.73,   1.14,    .83,     27,    244,    .22,    .61,     .6,   -.32,   -.76,   -.49,    .78,   47.3,   68.6,
       23,      01,   191705,   4.03,   57.2,    1.2,  -1.08,    .52,    .58,     23,    265,   -.18,    .72,    .55,   -.41,   -.52,   -.68,    .66,   46.4,   68.2,
       23,      06,   191705,   2.95,   62.1,    .46,  -1.41,   -.74,    -.6,     51,    141,   -.75,    .34,    .07,   -.09,   -.61,   -.55,   -.02,   50.2,     74,
       23,      03,   191705,   5.39,   58.7,  -1.99,  -1.99,    1.4,   -.73,     28,    223,    .29,    .51,    .44,   -.47,   -.82,  -1.05,    .44,   47.3,   70.1,
       23,      02,   191706,   3.83,     70,    -.7,    -.7,   -.15,    .72,    174,     24,   -.27,   -.12,    .28,   -.21,   -.62,   -.64,    .41,   59.1,   80.9,
       23,      04,   191706,   3.18,   70.7,     .2,  -2.22,   -.88,  -1.71,    190,     19,   -.68,   -.53,    -.2,    -.9,  -1.27,  -1.91,   -.08,     58,   83.3,
       23,      03,   191706,   1.55,   71.5,   -2.5,   -2.5,  -2.15,  -2.03,    211,     16,  -1.52,   -.79,   -.47,   -.92,  -1.16,  -1.65,   -.06,   58.8,   84.1,
       23,      01,   191706,   6.71,   69.9,   1.69,   1.69,   1.84,   1.69,    174,     27,    .82,    .42,    .97,    .37,    .14,   -.53,    .67,   58.5,   81.3,
       23,      06,   191706,   4.35,   74.1,    .69,   -.98,    .84,    .18,    276,      0,    .41,   -.37,    .37,   -.12,   -.38,   -.95,    .13,   62.6,   85.7,
       23,      05,   191706,   3.54,   70.8,    .74,   -1.3,   -.17,    -.1,    188,     14,   -.18,   -.52,    .35,    -.3,    -.6,  -1.11,    .03,   58.3,   83.3,
       23,      01,   191707,   1.31,   77.6,   -.66,    .86,  -1.97,    -.2,    391,      0,  -1.66,   -.17,   -.28,   -.07,    -.3,    -.5,   -.28,   65.2,     90,
       23,      05,   191707,   4.79,     76,   1.22,    -.6,   1.69,   1.17,    341,      0,     .7,    .24,   -.16,   -.17,   -.18,   -.59,    .11,     64,   88.1,
       23,      03,   191707,   2.51,   78.6,  -2.63,  -2.63,  -1.16,  -2.52,    422,      0,   -.48,  -1.47,   -.91,   -.93,  -1.08,  -1.48,   -.35,   65.7,   91.4,
       23,      06,   191707,   5.72,   78.2,    1.6,    1.6,   2.95,    1.6,    409,      0,   1.14,    .98,    .22,    .17,   -.02,    -.4,    .35,   67.9,   88.4,
       23,      02,   191707,    2.1,   77.2,  -1.05,  -1.05,  -1.25,   -.14,    378,      0,   -.83,   -.67,   -.44,   -.35,   -.67,   -.47,   -.05,   64.8,   89.6,
       23,      04,   191707,   4.86,     77,    .74,  -1.44,   1.67,   -.26,    372,      0,    .74,   -.06,   -.16,   -.57,   -.69,  -1.29,    .05,   64.6,   89.5,
       23,      02,   191708,   3.01,   72.8,  -1.11,  -1.11,    -.5,   -.37,    256,     14,    -.3,   -.95,   -.84,   -.24,   -.76,  -1.03,   -.33,   61.1,   84.6,
       23,      05,   191708,   5.84,   72.4,    2.2,    2.2,   3.32,    2.2,    242,     12,   1.27,   1.33,    .83,    .48,    .26,   -.22,   -.47,   60.6,   84.2,
       23,      03,   191708,   5.22,   73.4,  -1.94,  -1.94,   1.28,  -1.25,    274,     13,    .81,    .13,   -.79,   -.37,   -.87,  -1.07,    -.4,   61.8,   84.9,
       23,      04,   191708,   5.02,   72.6,    1.4,   -.55,   2.21,   1.39,    251,     16,    .78,    .93,    .35,    .01,   -.38,   -.87,   -.42,     61,   84.1,
       23,      01,   191708,   3.69,   71.9,   -.63,    .73,   -.13,   -.39,    234,     20,   -.04,  -1.04,   -.33,    .05,   -.46,   -.59,   -.27,   60.1,   83.7,
       23,      06,   191708,   5.29,   75.8,   2.51,   2.51,   3.21,   2.51,    335,      0,   1.14,   1.52,   1.42,    .76,    .51,   -.02,   -.07,   64.4,   87.1,
       23,      05,   191709,   2.03,   66.8,   -.16,   1.82,   -.48,   1.54,    118,     64,   -.81,     .3,    .58,    .54,   -.06,   -.33,   -.52,   53.2,   80.3,
       23,      04,   191709,   3.73,   67.4,   1.44,   1.44,    .58,   1.44,    134,     62,   -.03,    .35,    .63,    .23,   -.37,   -.78,   -.66,   54.5,   80.3,
       23,      06,   191709,    .89,   70.4,   -.43,   1.82,  -1.28,   1.21,    186,     24,  -1.51,   -.12,    .51,    .56,    .11,   -.17,   -.22,   57.8,     83,
       23,      03,   191709,   3.74,   67.8,  -1.85,  -1.85,   -.35,  -1.26,    142,     58,   -.02,    .39,    .05,   -.39,   -.75,   -.97,   -.69,   54.8,   80.8,
       23,      02,   191709,   2.67,   66.6,  -1.34,  -1.34,  -1.03,   -.84,    116,     68,   -.39,    -.6,  -1.08,   -.45,   -.77,  -1.05,    -.6,   53.8,   79.3,
       23,      01,   191709,   3.35,   66.4,   -.81,   -.81,   -.73,   -.81,    116,     74,   -.18,    -.3,     -1,   -.02,   -.36,   -.47,   -.54,   54.6,   78.2,
       23,      02,   191710,   1.18,   47.3,  -1.64,  -1.64,  -1.33,  -1.55,      0,    549,  -1.23,  -1.03,  -1.15,  -1.07,   -.94,  -1.18,   -.59,   34.8,   59.8,
       23,      03,   191710,    .87,   50.1,  -2.31,  -2.31,  -1.95,  -2.31,      0,    462,  -1.55,   -.86,   -.35,   -.97,   -.99,  -1.13,   -.78,   36.6,   63.6,
       23,      01,   191710,   1.32,   47.2,   -1.1,   -1.1,  -1.13,   -1.1,      0,    552,   -.93,   -.73,   -.75,   -.76,   -.52,   -.69,   -.53,   34.8,   59.6,
       23,      04,   191710,    .67,   51.1,   -.52,    .78,  -1.55,   -.15,      0,    431,  -1.87,   -.96,   -.49,   -.48,    -.8,   -.89,   -.83,   36.6,   65.6,
       23,      05,   191710,   1.46,   49.6,   -.33,   1.45,   -.55,    .86,      0,    477,   -.94,  -1.19,   -.33,   -.38,   -.38,   -.35,   -.51,   35.5,   63.8,
       23,      06,   191710,   1.39,   53.3,   -.62,    1.4,   -.71,    .44,      6,    368,   -.85,  -1.79,   -.68,    -.3,   -.18,   -.28,   -.27,   39.3,   67.3,
       23,      02,   191711,    .25,   43.1,  -2.59,  -2.59,  -3.34,  -2.59,      0,    657,  -2.14,  -2.64,  -1.92,  -1.85,  -1.05,  -1.47,   -.85,   32.4,   53.7,
       23,      03,   191711,    .39,   44.9,  -3.07,  -3.07,  -2.99,  -3.07,      0,    603,  -1.75,  -2.55,  -1.47,  -1.66,  -1.06,  -1.43,   -.99,   33.2,   56.7,
       23,      04,   191711,   2.77,   46.1,   -.61,    .55,   -.43,   -.61,      0,    567,   -.04,  -1.23,   -.97,   -.53,   -.58,   -.87,   -.81,     33,   59.2,
       23,      05,   191711,   2.12,   44.8,   -.61,    .99,   -.94,   -.05,      0,    606,   -.64,  -1.38,  -1.55,   -.47,    -.3,   -.42,   -.57,     32,   57.7,
       23,      06,   191711,   2.18,   46.1,  -1.04,    .77,  -1.46,   -.78,      0,    567,   -.77,  -1.47,  -2.02,   -.34,   -.22,   -.31,   -.39,   34.4,   57.8,
       23,      01,   191711,    .05,   43.7,  -2.05,  -2.05,  -3.19,  -2.05,      0,    639,  -1.97,  -1.99,  -1.44,  -1.11,   -.64,  -1.06,   -.65,   32.8,   54.6,
       23,      03,   191712,    .61,   24.5,  -3.76,  -3.76,  -3.02,  -3.76,      0,   1256,  -1.69,   -2.3,  -2.53,  -1.37,  -1.27,  -1.56,  -1.14,   14.2,   34.8,
