StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       24,      06,   191701,    .45,    6.5,   3.32,   3.32,    .36,   3.32,      0,   1814,    .32,      1,    .56,    .38,   1.06,    .87,   1.09,   -4.6,   17.6,
       24,      03,   191701,    .78,   10.8,   5.79,   5.79,   1.18,   5.79,      0,   1680,    .16,     .7,    .43,    .63,   1.62,   1.46,   2.13,    -.3,     22,
       24,      04,   191701,   1.31,   16.2,   5.17,   5.17,   2.15,   5.17,      0,   1513,    .73,   1.55,    1.1,    .84,   1.27,    1.2,   2.07,    7.2,   25.2,
       24,      07,   191701,    .56,   12.9,   2.92,   2.92,    .48,   2.92,      0,   1615,    .45,   1.38,    .91,    .41,    .43,    .05,   1.57,    1.9,   23.9,
       24,      01,   191701,   3.03,   17.1,   3.38,   3.38,   -.87,   2.98,      0,   1485,   -.26,    -.1,   -.38,   -.04,     .5,   1.08,   1.66,    9.9,   24.2,
       24,      02,   191701,   2.26,   14.2,   5.13,   5.13,   2.72,   5.13,      0,   1575,     .9,    .91,    .49,    .58,    .81,     .8,   1.89,    6.3,     22,
       24,      05,   191701,    .84,   16.1,   2.36,   2.36,    .35,   2.36,      0,   1516,   -.19,    .32,    .06,    .06,   -.13,   -.25,    .71,    6.5,   25.7,
       24,      06,   191702,    .61,      2,   3.42,   3.42,   1.31,   3.42,      0,   1764,   1.31,    .92,   1.36,    .81,   1.63,    .95,   1.15,   -8.7,   12.7,
       24,      01,   191702,   3.86,   20.5,   3.47,   3.47,   1.33,   3.47,      0,   1246,    .89,    .23,     .2,    .05,    .82,    .97,   1.95,   12.6,   28.3,
       24,      07,   191702,    .47,   10.6,   2.77,   2.77,    .46,   2.77,      0,   1523,     .3,    .41,   1.28,    .31,    .74,     .1,   1.47,   -1.5,   22.7,
       24,      04,   191702,   1.78,   15.1,   5.98,   5.98,   4.03,   5.98,      0,   1397,   2.06,   1.69,   2.19,   1.63,   1.71,   1.32,   2.37,      5,   25.2,
       24,      03,   191702,      1,    8.1,   5.99,   5.99,    2.4,   5.99,      0,   1593,   1.23,    .71,   1.08,   1.09,   1.73,   1.46,   2.29,     -2,   18.1,
       24,      05,   191702,   1.03,   17.4,   2.51,   2.51,   1.19,   2.51,      0,   1333,    .58,    .11,    .46,    .32,   -.09,    -.3,    .89,    6.9,   27.9,
       24,      02,   191702,   2.36,   19.1,   5.59,   5.59,   2.97,   5.59,      0,   1285,   1.34,   1.38,    1.3,   1.03,   1.17,    .91,   2.09,   11.1,   27.2,
       24,      03,   191703,    .61,   19.4,   5.83,   5.83,   1.35,   5.83,      0,   1414,   -.46,    .37,     .3,     .7,   1.28,   1.43,   2.19,    8.8,     30,
       24,      06,   191703,    .38,   18.1,   3.07,   3.07,    .01,   3.01,      0,   1454,   -.31,    .47,    .48,    .41,   1.01,    .86,   1.17,    7.7,   28.5,
       24,      04,   191703,    .96,   20.9,   5.96,   5.96,    1.8,   5.96,      0,   1367,   -.26,    1.3,   1.33,   1.76,   1.24,    1.4,    2.4,   11.5,   30.4,
       24,      01,   191703,   2.66,   21.7,   3.14,   3.14,    .07,   3.11,      0,   1342,    .01,    .63,    .13,   -.15,    .36,    .61,   2.08,   12.7,   30.8,
       24,      05,   191703,   1.13,     21,   2.64,   2.64,   1.16,   2.64,      0,   1364,   -.26,     .1,   -.11,    .57,   -.06,   -.36,    .84,   10.8,   31.2,
       24,      02,   191703,   2.14,     18,   5.37,   5.37,   1.09,   5.37,      0,   1457,    .42,   1.26,    1.4,   1.25,   1.26,   1.02,   2.38,    8.2,   27.8,
       24,      07,   191703,     .8,   21.8,    2.8,    2.8,    .93,    2.8,      0,   1339,    .34,    .39,    .43,    .48,    .62,     .2,   1.54,     11,   32.5,
       24,      05,   191704,   2.51,   36.3,    3.4,    3.4,   3.11,    3.4,      0,    861,    .92,    .61,    .71,    .38,    .36,    .06,   1.25,   27.4,   45.2,
       24,      07,   191704,   1.16,   38.7,   2.79,   2.79,    .84,   2.79,      0,    789,   -.04,   -.07,   -.02,    .39,    .29,    .39,   1.71,   28.2,   49.2,
       24,      03,   191704,    1.4,   36.2,   5.99,   5.99,   2.31,   5.99,      0,    864,    .52,    .15,    .57,     .6,    .74,   1.67,   2.29,   26.7,   45.6,
       24,      01,   191704,   2.74,   34.4,   3.38,   3.38,   1.71,   3.38,      0,    918,    .64,    .31,    .78,   -.01,    .23,    .68,   1.99,   26.2,   42.5,
       24,      02,   191704,   2.56,   31.3,   5.67,   5.67,   2.54,   5.67,      0,   1011,    .78,     .8,   1.39,   1.07,   1.18,   1.29,   2.52,   22.5,     40,
       24,      04,   191704,   1.75,     36,    6.1,    6.1,   2.26,    6.1,      0,    870,    .49,    .22,   1.12,   1.45,   1.23,   1.55,   2.51,   27.8,   44.3,
