StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       25,      09,   191701,    .51,   24.3,   -.98,    .56,   -.64,   -.97,      0,   1262,   -.14,   -.09,   -.33,    -.4,   -.38,   -.73,    1.1,     13,   35.6,
       25,      03,   191701,    .87,   17.3,    1.9,    1.9,    .54,   1.74,      0,   1479,    .79,    .72,     .3,   -.09,   -.39,   -.83,    .89,    6.8,   27.7,
       25,      02,   191701,    .67,   19.9,   2.54,   2.54,    .56,   2.24,      0,   1398,    .81,    .43,    .25,   -.18,   -.46,  -1.04,   1.58,      7,   32.7,
       25,      07,   191701,    .44,   23.9,   2.87,   2.87,    .11,   2.42,      0,   1274,    .44,    .19,   -.19,    .16,   -.37,    -.9,    1.9,    9.4,   38.5,
       25,      06,   191701,    .53,     21,  -1.38,  -1.38,   -.78,  -1.38,      0,   1364,   -.01,   -.01,    -.3,   -.66,  -1.03,  -1.28,    .62,   10.6,   31.5,
       25,      08,   191701,    .39,   24.7,   -.69,   1.67,   -.26,    .47,      0,   1249,    .07,    .01,   -.86,   -.05,   -.39,   -.63,   1.62,   11.3,   38.2,
       25,      05,   191701,    .53,   21.8,    1.6,    1.6,    .05,    .92,      0,   1339,    .42,    .03,   -.52,   -.12,   -.65,  -1.04,    .96,    8.9,   34.7,
       25,      01,   191701,    .44,   20.6,   5.13,   5.13,    .48,   5.13,      0,   1376,    .31,     .1,    .32,    .11,   -.19,   -.54,   1.85,    7.6,   33.7,
       25,      06,   191702,    .09,   21.6,  -1.85,  -1.85,  -1.84,  -1.85,      0,   1215,  -1.74,  -1.42,   -.94,  -1.49,   -1.4,  -1.34,    .23,    8.3,   34.9,
       25,      09,   191702,    .04,   24.4,  -1.44,  -1.44,  -1.68,  -1.44,      0,   1137,  -1.92,  -1.77,  -1.08,  -1.31,  -1.05,   -.82,    .68,   10.2,   38.6,
       25,      02,   191702,    .43,   19.7,   2.16,   2.16,   -.33,   1.69,      0,   1268,   -.29,    .25,    .09,   -.48,   -.57,  -1.02,   1.37,    6.5,     33,
       25,      05,   191702,    .23,   22.6,   1.14,   1.14,   -.88,    .09,      0,   1187,  -1.01,    -.6,   -.62,   -.72,   -.77,  -1.09,    .76,    8.3,   36.9,
       25,      08,   191702,    .08,   26.2,  -1.01,   1.11,  -1.19,   -.47,      0,   1086,  -1.45,   -1.2,   -.83,  -1.56,   -.48,   -.68,   1.44,   10.5,   41.8,
       25,      07,   191702,    .19,   28.2,   2.37,   2.37,   -.62,   1.65,      0,   1030,   -.84,   -.48,   -.42,   -.86,    -.4,    -.9,   1.84,   12.3,     44,
       25,      03,   191702,    .46,     16,   1.55,   1.55,   -.48,   1.12,      0,   1372,   -.54,      0,    .22,   -.28,   -.58,   -.82,    .55,      4,     28,
       25,      01,   191702,    .23,   26.3,   4.52,   4.52,   -.24,   4.37,      0,   1084,    -.8,   -.45,   -.48,   -.48,   -.38,   -.61,   1.68,     13,   39.6,
       25,      09,   191703,   1.06,   38.3,  -1.77,  -1.77,  -1.46,  -1.77,      0,    828,   -.36,  -1.26,   -1.3,  -1.27,  -1.14,   -.78,    .54,   24.8,   51.8,
       25,      06,   191703,   1.18,   35.9,  -2.11,  -2.11,  -1.36,  -2.11,      0,    902,   -.09,   -.98,   -.99,   -1.1,  -1.26,  -1.29,    .14,   23.6,   48.2,
       25,      05,   191703,   1.22,   32.8,    .97,    .97,   -.16,   -.12,      0,    998,    .27,   -.26,   -.15,   -.75,    -.6,   -.93,    .61,   19.9,   45.7,
       25,      08,   191703,    .72,   35.6,  -1.29,    .61,  -1.14,  -1.23,      0,    911,   -.37,  -1.07,  -1.02,  -1.16,  -1.01,    -.7,   1.23,   20.8,   50.4,
       25,      07,   191703,   1.04,   32.9,    2.2,    2.2,    .23,   1.53,      0,    995,    .21,   -.28,   -.16,   -.33,   -.45,   -.69,   1.79,     19,   46.9,
       25,      01,   191703,   1.41,   27.1,   4.78,   4.78,   2.17,   4.78,      0,   1175,    .86,    .38,    .42,    .42,    .13,   -.27,   1.56,   15.8,   38.5,
       25,      02,   191703,   1.41,   28.9,   2.18,   2.18,     .7,   1.89,      0,   1119,    .54,    .21,    .47,   -.22,   -.47,   -.75,   1.28,   17.6,   40.3,
       25,      03,   191703,   1.78,     32,   1.56,   1.56,    .51,   1.29,      0,   1023,    .54,    .09,    .31,   -.12,   -.35,   -.58,    .55,   21.7,   42.3,
       25,      09,   191704,   4.12,   48.1,     .7,   -.89,   2.09,     .2,      0,    507,   1.04,    .47,   -.02,   -.29,   -.31,   -.41,    .77,   35.7,   60.5,
       25,      06,   191704,   4.87,   46.3,    .95,   -.94,   2.86,    .42,      0,    561,   1.39,    .95,    .58,     .2,    -.2,   -.74,    .45,   34.8,   57.7,
       25,      05,   191704,   3.27,   44.7,   1.51,   1.51,   1.91,   1.03,      0,    609,    .65,    .52,     .3,   -.02,    .01,   -.52,    .66,   32.2,   57.2,
       25,      02,   191704,   3.08,   41.9,   2.79,   2.79,   2.52,   2.79,      0,    693,    .64,    .69,    .55,    .57,    .13,    -.2,   1.12,   30.2,   53.5,
       25,      08,   191704,   2.35,   46.7,    .19,    .74,    .57,   -.81,      0,    549,     .1,   -.25,    -.6,     -1,   -.48,   -.66,   1.17,   33.2,   60.1,
       25,      07,   191704,   2.23,   45.6,   2.35,   2.35,   1.12,   1.99,      0,    582,    .23,    .18,   -.04,   -.18,    .01,   -.42,   1.46,   31.8,   59.4,
       25,      03,   191704,   4.27,     44,   2.47,   2.47,   3.22,   2.47,      0,    630,   1.07,   1.01,    .83,    .77,    .39,   -.02,    .86,   32.7,   55.2,
       25,      01,   191704,   2.01,   41.3,    4.9,    4.9,   1.83,    4.9,      0,    711,    .26,    .56,    .34,    .37,     .2,   -.05,    1.3,     29,   53.6,
