StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       26,      04,   191701,   1.12,   35.6,   1.97,   1.97,   1.02,    1.7,      0,    911,    .51,     .3,   -.09,    .01,    .09,    .07,    .89,   25.8,   45.4,
       26,      02,   191701,    .85,   13.9,   1.33,   1.33,   -.05,   1.23,      0,   1584,   -.59,   -.33,   -.69,    .21,   -.56,   -.59,   -.11,     .2,   27.5,
       26,      03,   191701,    .52,   20.1,   2.19,   2.19,   -.35,    1.7,      0,   1392,   -.35,   -.32,    -.8,    .48,    .04,   -.02,    .93,    7.3,   32.9,
       26,      01,   191701,   1.08,   13.7,   -.74,   -.74,   -.56,   -.74,      0,   1590,      0,   -.35,   -.82,   -.29,   -.91,  -1.26,    .02,     .7,   26.6,
       26,      04,   191702,    .52,     45,   1.67,   1.67,   -.28,   1.24,      0,    560,   -.27,    .05,   -.02,   -.15,   -.13,   -.14,    .47,   33.6,   56.4,
       26,      02,   191702,   1.37,   25.4,   1.61,   1.61,   1.23,   1.61,      0,   1109,    .41,   -.17,   -.16,    .52,   -.24,   -.65,   -.12,   14.9,     36,
       26,      01,   191702,   1.39,   27.8,    .24,    .24,    .73,   -.42,      0,   1042,    .55,     .2,   -.15,   -.05,   -.58,  -1.14,   -.15,   18.2,   37.4,
       26,      03,   191702,    .98,   31.8,   2.23,   2.23,     .8,   1.99,      0,    930,    .27,   -.14,   -.19,    .52,     .2,    .04,    .66,   20.4,   43.1,
       26,      03,   191703,     .6,     34,    2.1,    2.1,     .3,   1.92,      0,    961,   -.24,   -.12,   -.32,    .37,     .2,   -.21,    .65,   20.7,   47.4,
       26,      01,   191703,    .43,   31.7,    .17,    .17,   -.13,   -.42,      0,   1032,   -.98,    -.2,   -.28,   -.39,   -.52,  -1.27,    -.2,   20.7,   42.8,
       26,      02,   191703,   1.01,     27,   1.76,   1.76,    .96,   1.76,      0,   1178,   -.34,   -.06,   -.39,    .49,      0,    -.9,   -.03,   15.8,   38.2,
       26,      04,   191703,    .94,   47.6,   1.86,   1.86,   1.09,   1.79,      0,    539,    .56,      0,    .17,    .04,    .04,   -.09,    .56,   34.2,     61,
       26,      03,   191704,     .8,   44.2,   2.26,   2.26,   1.12,   2.26,      0,    624,    .42,   -.04,   -.05,   -.54,    .34,      0,    .33,     30,   58.5,
       26,      04,   191704,    .66,   57.8,   2.33,   2.33,   1.98,   2.33,     27,    243,    .86,    .69,    .18,   -.02,    .06,     .1,    .45,   44.6,   71.1,
       26,      02,   191704,   1.39,   38.9,   1.98,   1.98,    1.2,   1.98,      0,    783,    .21,    -.2,   -.03,   -.55,    .17,   -.55,   -.32,   26.9,   50.9,
       26,      01,   191704,    .68,   43.1,    .25,    .25,    .27,   -.28,      0,    657,    -.2,   -.94,   -.34,   -.89,   -.49,  -1.02,   -.61,     31,   55.2,
       26,      04,   191705,   1.02,   62.8,   2.81,   2.81,   2.16,   2.81,     72,    140,   2.03,    1.6,   1.17,    .51,    .41,    .37,    .64,   50.5,   75.1,
       26,      01,   191705,   1.97,   49.4,   1.28,   1.28,   3.18,   1.28,      0,    484,   1.37,    .96,    .33,   -.04,    .04,   -.39,   -.47,   37.9,   60.9,
       26,      02,   191705,   4.08,   45.1,   3.92,   3.92,   6.43,   3.92,      0,    617,   2.13,      2,   1.65,   1.12,   1.42,    .77,    .15,   34.5,   55.7,
       26,      03,   191705,   2.12,   49.8,   3.68,   3.68,   4.97,   3.68,      0,    471,   1.93,   1.66,    1.1,    .57,    .96,    .66,    .69,   37.2,   62.4,
       26,      01,   191706,     .2,   62.3,   -.11,   1.04,   -.33,    .75,     52,    133,   -.86,    .59,    .33,   -.08,   -.18,   -.31,   -.47,   45.4,   79.2,
       26,      02,   191706,    .18,   58.4,   3.39,   3.39,   -.36,    3.2,     21,    219,   -1.1,   1.41,   1.25,    .69,   1.14,    .76,    .07,   41.9,   74.9,
       26,      04,   191706,      0,   80.4,   2.66,   2.66,    .43,   2.66,    462,      0,   -.59,   1.67,   1.41,    .54,    .42,    .37,    .64,   64.4,   96.4,
       26,      03,   191706,    .01,   65.8,   4.02,   4.02,   2.16,   4.02,    101,     77,  -1.29,    1.4,   1.21,     .4,    .86,    .66,    .68,   47.4,   84.2,
       26,      03,   191707,   1.17,   75.1,   4.62,   4.62,   3.03,   4.62,    313,      0,   1.09,    .41,   1.69,    .98,     .4,    .93,    .66,   58.9,   91.3,
       26,      01,   191707,    .17,   74.8,   -.07,    .96,    .09,    .64,    304,      0,   -.21,   -.97,    .48,      0,   -.58,   -.29,   -.54,   58.4,   91.2,
       26,      02,   191707,    .74,   71.4,   3.55,   3.55,   1.52,   3.55,    205,      6,    .47,   -.54,   1.41,   1.12,    .45,    .88,    .19,     55,   87.8,
       26,      04,   191707,     .9,   87.6,   2.69,   2.69,    .91,   2.69,    701,      0,     .8,    .56,   1.64,    .69,    .37,     .4,    .67,   73.7,  101.4,
       26,      01,   191708,    .28,     71,   -.21,    .72,   -.43,    .08,    199,     13,    .44,    .09,   -.72,   -.18,   -.33,   -.22,    -.5,   54.5,   87.5,
       26,      02,   191708,    .55,   66.7,   -.03,   3.15,    -.1,   3.05,     97,     44,    .11,    .25,   -.51,    .94,    .62,    .96,    .34,   49.7,   83.6,
       26,      04,   191708,   1.17,   83.9,   2.85,   2.85,   1.32,   2.85,    586,      0,    .79,    .94,    .82,   1.33,     .7,     .6,    .81,   70.2,   97.7,
       26,      03,   191708,    .76,   71.2,   4.23,   4.23,    .27,   4.23,    198,      6,    .18,    .71,     .3,    .93,    .54,    .91,    .83,   55.8,   86.6,
       26,      02,   191709,     .5,   58.2,   -.22,   2.64,   -.57,   2.25,     13,    217,   -.12,   -.18,      0,      1,    .59,    .99,    .27,   41.5,     75,
       26,      03,   191709,     .4,   61.9,   3.71,   3.71,   -.27,   3.54,     31,    124,    .05,   -.06,    .47,   1.07,    .48,    .88,    .84,   45.5,   78.3,
       26,      04,   191709,    .24,   75.9,   -.24,   2.32,   -.73,   1.95,    327,      0,   -.13,    .41,    .62,   1.23,    .67,    .55,    .85,   61.7,   90.2,
       26,      01,   191709,     .1,   61.7,   -.65,   -.65,  -1.38,   -.65,     36,    135,   -.89,   -.47,   -.56,   -.01,    -.3,   -.35,   -.59,   45.7,   77.6,
