StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       27,      01,   191701,   3.24,   12.3,   -.68,   -.68,    .21,   -.68,      0,   1634,    .31,   -.27,   -.06,   -.09,    .29,    .18,    -.2,      1,   23.6,
       27,      02,   191701,    3.3,   18.3,   -.83,    .81,   -.16,   -.54,      0,   1448,    .16,   -.26,   -.45,    -.7,    .27,    .36,   -.15,    8.4,   28.2,
       27,      01,   191702,   1.58,    8.6,  -1.24,  -1.24,  -1.89,  -1.24,      0,   1579,  -1.21,   -.58,   -.86,   -.53,   -.03,   -.22,   -.58,   -4.1,   21.3,
       27,      02,   191702,   1.94,   16.1,  -1.28,  -1.28,   -1.6,  -1.28,      0,   1369,   -.92,   -.57,   -.77,   -.89,   -.09,    .03,   -.36,    4.8,   27.3,
       27,      02,   191703,   3.32,   28.7,  -1.24,  -1.24,   -.28,  -1.24,      0,   1125,   -.12,   -.64,   -.54,  -1.43,   -.87,    .03,   -.06,     19,   38.5,
       27,      01,   191703,   2.95,   23.2,  -1.21,  -1.21,   -.31,  -1.21,      0,   1296,   -.13,   -.88,    -.6,   -1.1,   -.55,   -.13,   -.29,   12.6,   33.8,
       27,      02,   191704,   2.44,   38.8,  -1.49,  -1.49,  -1.15,  -1.49,      0,    786,   -.77,    -.7,  -1.11,  -1.16,  -1.17,   -.28,   -.08,   29.6,     48,
       27,      01,   191704,   2.43,   34.6,  -1.34,  -1.34,   -.74,  -1.34,      0,    912,   -.67,   -.59,  -1.19,   -.84,   -.67,   -.19,    -.3,   26.6,   42.7,
       27,      02,   191705,   3.41,   45.7,    .21,  -1.13,    .63,   -.71,      0,    598,      0,   -.51,   -.61,   -.98,  -1.04,   -.43,    .08,   35.9,   55.4,
       27,      01,   191705,   2.47,   41.6,  -1.27,  -1.27,   -.21,  -1.27,      0,    725,    -.8,     -1,  -1.02,  -1.27,   -.97,   -.51,   -.29,   32.2,   51.1,
       27,      01,   191706,   7.25,     58,   1.38,   1.38,   4.15,   1.38,      0,    213,   1.53,    .75,    .33,   -.11,   -.57,   -.26,    .19,   47.5,   68.6,
