StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       28,      02,   191701,   3.13,   31.7,   -.07,  -1.69,   -.21,  -1.14,      0,   1032,    -.1,    .59,    .02,  -1.53,  -1.05,  -1.01,  -1.05,   22.8,   40.6,
       28,      01,   191701,   3.39,   26.8,  -1.55,  -1.55,    .04,  -1.23,      0,   1184,    .15,    .31,    -.1,  -1.41,   -.85,   -.73,   -.71,   18.1,   35.6,
       28,      03,   191701,    3.1,   32.4,   -.11,  -1.51,   -.34,   -.94,      0,   1011,   -.19,    .55,      0,  -1.44,   -.99,   -.89,  -1.17,     24,   40.8,
       28,      02,   191702,   2.03,   28.8,   -.45,   -1.9,  -1.16,  -1.77,      0,   1014,    -.8,   -.72,    .16,  -1.13,  -1.23,  -1.35,  -1.38,   18.8,   38.8,
       28,      01,   191702,   1.68,   23.8,  -1.94,  -1.94,  -1.65,  -1.94,      0,   1154,  -1.18,   -.71,   -.22,  -1.16,  -1.02,  -1.14,  -1.06,     14,   33.5,
       28,      03,   191702,    2.3,   28.8,   -.44,  -1.69,     -1,  -1.48,      0,   1014,   -.66,   -.69,    .16,  -1.03,  -1.24,  -1.25,  -1.42,   19.4,   38.4,
       28,      03,   191703,   6.66,   38.4,   1.05,   1.05,   3.15,   1.05,      0,    825,   1.52,    .84,    .58,   -.07,   -.71,   -.73,    -.8,   30.3,   46.4,
       28,      01,   191703,   3.91,   34.4,  -1.63,  -1.63,    .32,  -1.41,      0,    949,    .16,   -.56,   -.47,     -1,  -1.17,  -1.06,    -.8,   25.6,   43.3,
       28,      02,   191703,   5.64,   38.5,    .71,   -.99,   2.14,    .14,      0,    822,    1.1,    .43,    .26,   -.28,   -.86,   -.96,   -.84,   29.6,   47.3,
       28,      02,   191704,   2.64,   49.1,    .34,  -1.19,   -.91,   -.45,      0,    477,   -.62,    .42,   -.04,   -.02,  -1.31,   -.96,   -.78,   38.3,   59.9,
       28,      03,   191704,   2.59,   47.9,    .64,    .64,   -.91,   -.11,      0,    513,   -.64,    .77,    .36,    .18,  -1.02,   -.72,   -.73,   38.8,   56.9,
       28,      01,   191704,   2.09,     46,  -2.03,  -2.03,  -1.69,  -2.03,      0,    570,  -1.21,   -.64,  -1.15,   -.85,   -1.7,  -1.27,   -.84,     35,     57,
       28,      01,   191705,   3.97,   50.9,  -1.64,  -1.64,    .55,  -1.31,      0,    437,    .08,   -.73,   -.52,    -.6,  -1.27,  -1.14,   -.86,   40.9,     61,
       28,      02,   191705,   3.46,   54.5,    .46,   -.91,    .47,    .04,      0,    326,    .04,   -.39,    .35,    .27,   -.71,   -.91,   -.88,   43.8,   65.1,
       28,      03,   191705,   3.49,   54.1,    .78,    .78,    .63,     .4,      0,    338,    .17,   -.28,    .71,    .52,   -.39,   -.74,   -.76,   44.7,   63.5,
       28,      03,   191706,   4.39,   67.2,   1.24,   1.24,   1.61,   1.24,     89,     23,    .67,     .5,    .08,    .41,   -.05,    -.6,   -.66,   58.4,     76,
       28,      02,   191706,   3.88,   69.3,     .6,   -.63,    .58,    .52,    139,     10,    .27,    .11,   -.26,   -.09,    -.4,   -.87,   -.85,   58.9,   79.7,
       28,      01,   191706,   4.53,   66.4,  -1.22,  -1.22,    .74,    -.5,     77,     35,    .39,    .26,   -.41,   -.67,  -1.02,  -1.17,   -.69,   55.6,   77.1,
       28,      02,   191707,   5.56,   74.2,   1.09,   1.09,   1.63,   1.09,    285,      0,    .65,    .58,    .42,    .27,    .17,   -.91,   -.75,   65.5,   82.9,
       28,      03,   191707,   5.56,   73.5,   1.79,   1.79,   2.04,   1.79,    264,      0,    .78,    .92,     .8,    .82,    .55,    -.5,   -.43,     66,     81,
