StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       29,      02,   191701,    .88,   25.2,   -.52,   1.62,     .2,    .72,      0,   1234,    .33,   -.33,  -1.17,   -.09,   -.73,    -.2,    .88,   12.4,     38,
       29,      04,   191701,   1.51,   28.7,   4.41,   4.41,   2.21,   4.41,      0,   1125,   1.07,    .35,   -.09,     .8,    .58,    .82,   1.37,     17,   40.5,
       29,      06,   191701,     .7,   31.3,   -.24,   1.48,    .16,    .89,      0,   1045,    .18,   -.49,   -.71,    .24,   -.51,   -.14,    .59,   19.8,   42.7,
       29,      07,   191701,    .35,   38.7,    -.1,   1.23,   -.15,    .92,      0,    815,      0,   -.27,   -.26,    .97,    .06,    .11,    .48,   26.1,   51.2,
       29,      05,   191701,    .58,   34.8,   -.09,   2.36,    .56,   2.03,      0,    936,    .49,   -.21,   -.55,    .53,    .22,    .63,   1.14,   22.9,   46.6,
       29,      08,   191701,    .95,   40.7,    -.3,    1.5,    .55,     .5,      0,    753,    .74,    .05,   -.22,    .61,    .35,    .44,    .59,   28.5,   52.9,
       29,      01,   191701,    .87,   23.4,   -.49,   1.78,    .33,    .91,      0,   1290,    .41,   -.28,   -.87,   -.11,   -.12,     .1,     .8,   10.3,   36.6,
       29,      03,   191701,     .5,   33.9,  -1.44,  -1.44,    .35,   -.64,      0,    964,    .59,     .2,   -.29,    .44,  -1.02,   -.92,    .15,   20.9,     47,
       29,      03,   191702,    .28,   38.8,  -1.41,  -1.41,   -.35,   -.71,      0,    734,   -.17,    .17,      0,   -.56,   -.52,   -.83,    .04,   24.3,   53.2,
       29,      01,   191702,    .37,     30,   -.69,   1.35,   -.73,     .2,      0,    980,   -.77,   -.18,   -.63,   -.01,   -.11,    .07,    .66,   17.3,   42.7,
       29,      04,   191702,    .75,   33.1,    4.2,    4.2,    .74,    4.2,      0,    893,    .12,     .7,    .22,     .7,    .59,     .9,   1.35,   19.4,   46.8,
       29,      05,   191702,    .26,   39.8,   -.21,   1.99,   -.38,   1.46,      0,    706,   -.32,    .05,   -.44,    .42,    .18,    .68,   1.05,   25.5,   54.1,
       29,      06,   191702,    .56,   34.9,    -.3,   1.25,   -.24,    .52,      0,    843,   -.12,   -.08,   -.58,    .02,   -.34,      0,    .45,   22.2,   47.7,
       29,      07,   191702,    .13,   42.8,   -.32,    .87,   -.68,    .16,      0,    622,   -.73,   -.55,   -.65,    .11,    .32,    .15,    .37,   26.9,   58.6,
