StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       30,      04,   191701,   3.29,     30,  -1.38,  -1.38,   -.23,  -1.19,      0,   1085,      0,    .14,   -.33,  -1.63,   -.29,   -.07,   -.47,   21.8,   38.2,
       30,      02,   191701,   2.76,   21.1,   -.38,     .9,   -.06,    .03,      0,   1361,    .08,    -.3,    -.2,   -.34,   -.16,    .17,    .29,   11.8,   30.4,
       30,      06,   191701,   3.03,   19.2,  -1.01,  -1.01,   -.19,   -.64,      0,   1420,    .02,   -.06,     .2,   -.43,   -.27,   -.22,    .06,   10.2,   28.2,
       30,      03,   191701,    3.8,   13.2,     .4,    -.8,    .65,    .04,      0,   1606,    .43,    .33,    .44,   -.52,   -.11,   -.21,   -.51,    3.2,   23.2,
       30,      05,   191701,   2.63,   22.8,  -1.05,  -1.05,   -.42,  -1.05,      0,   1308,   -.07,   -.26,    -.2,   -.97,   -.75,   -.48,   -.42,   13.7,   31.8,
       30,      09,   191701,    2.7,   20.1,  -2.79,  -2.79,    .11,  -2.68,      0,   1392,    .01,    -.3,   -.78,  -1.46,   -.72,   -.34,   -.62,   12.1,   28.2,
       30,      08,   191701,   3.26,   11.3,    .51,  -1.27,    1.4,   -.45,      0,   1665,    .81,    .71,    .04,   -.84,   -.34,    -.2,   -.85,    1.5,   21.1,
       30,      10,   191701,   1.85,   21.6,  -2.94,  -2.94,   -.68,  -2.94,      0,   1345,    -.3,   -.63,   -.96,  -1.41,   -.51,    .08,    -.2,   13.3,   29.9,
       30,      01,   191701,      2,     21,  -1.63,  -1.63,   -.34,  -1.63,      0,   1364,   -.35,   -.81,   -.92,   -1.1,   -.08,    .69,    .35,   12.1,   29.8,
       30,      07,   191701,   3.03,     14,    .28,   -.85,    .85,   -.22,      0,   1581,    .59,    .32,    .16,   -.66,   -.33,   -.42,   -.91,    3.4,   24.5,
       30,      09,   191702,   1.94,   15.8,   -2.8,   -2.8,   -.88,   -2.8,      0,   1378,   -.48,   -.48,   -.58,  -1.16,  -1.42,   -.76,   -.75,    6.5,   25.1,
       30,      02,   191702,   1.85,   17.2,   -.74,   -.74,  -1.18,   -.74,      0,   1338,   -.73,   -.55,   -.67,   -.42,   -.37,   -.18,    .07,    7.2,   27.2,
       30,      03,   191702,   2.76,      9,   -.12,   -.84,   -.35,   -.14,      0,   1568,   -.13,    .12,    .11,   -.04,   -.53,   -.42,   -.69,   -2.9,   20.9,
       30,      05,   191702,   2.22,   19.4,  -1.16,  -1.16,   -.65,  -1.16,      0,   1277,    -.3,   -.44,   -.47,   -.73,   -.82,   -.79,   -.66,      9,   29.9,
       30,      10,   191702,   1.49,   17.5,  -2.99,  -2.99,  -1.04,  -2.99,      0,   1330,   -.61,   -.79,   -.91,  -1.16,  -1.26,   -.39,   -.36,    7.9,     27,
       30,      07,   191702,   2.27,     10,    .22,    -.8,   -.11,   -.18,      0,   1540,    .07,    .39,    .24,   -.13,   -.55,   -.53,  -1.14,   -1.7,   21.6,
       30,      04,   191702,   2.08,   25.6,  -1.71,  -1.71,  -1.42,  -1.71,      0,   1103,   -.95,   -.76,    -.4,  -1.27,   -.68,   -.56,   -.92,   16.9,   34.4,
       30,      01,   191702,   1.48,   17.1,  -1.86,  -1.86,  -1.19,  -1.86,      0,   1341,   -.73,   -.89,  -1.11,    -.8,   -.74,    .33,    .24,    7.1,   27.2,
       30,      06,   191702,   2.34,   15.3,  -1.15,  -1.15,   -.75,  -1.08,      0,   1392,   -.41,   -.32,   -.31,    -.1,   -.61,   -.44,   -.19,      5,   25.6,
       30,      08,   191702,    2.5,    8.7,    .55,  -1.04,    .29,   -.07,      0,   1576,    .29,    .69,    .65,   -.32,   -.71,   -.48,   -.99,     -3,   20.4,
       30,      08,   191703,   2.95,   25.4,    .74,   -.68,    .75,    .58,      0,   1228,    .33,    .39,     .7,   -.04,   -.82,   -.37,   -.66,     16,   34.9,
       30,      04,   191703,   5.86,   35.6,    .69,   -.84,   2.08,    .26,      0,    911,    .96,    .28,    .14,   -.62,   -.62,    -.3,   -.33,   28.2,     43,
       30,      10,   191703,   1.82,   31.6,  -3.05,  -3.05,  -1.12,  -3.05,      0,   1035,   -.77,  -1.11,  -1.24,  -1.88,   -2.5,   -.74,   -.18,   23.2,     40,
