StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       31,      08,   191701,   3.89,   42.6,   -.24,   -.24,    .09,   -.24,      0,    694,    .28,    .14,   -.42,   -.73,   -.09,   -.41,  -1.44,   31.9,   53.4,
       31,      07,   191701,   4.02,   45.5,   -.44,    .57,    .17,   -.42,      9,    613,    .26,   -.11,   -.56,    -.5,    .26,   -.08,     -1,   34.8,   56.2,
       31,      03,   191701,   3.87,   40.9,  -1.02,  -1.02,    .34,   -.72,      0,    747,    .39,      0,   -.61,  -1.09,     .1,   -.28,    -.8,   30.4,   51.4,
       31,      06,   191701,   3.78,   46.8,   -.46,    .66,    .14,   -.33,     11,    575,     .3,    -.2,   -.65,   -.77,    .32,   -.15,   -.74,   35.6,     58,
       31,      01,   191701,   5.16,   40.1,     .7,     .7,    .09,   -.88,      0,    772,    .33,   -.21,   -.66,   -.86,    .63,   -.03,   -.01,     30,   50.1,
       31,      05,   191701,   3.49,   44.7,  -1.91,  -1.91,   -.61,  -1.91,      7,    636,    .01,   -.44,  -1.11,  -1.57,     .6,    .12,   -.12,   34.7,   54.7,
       31,      04,   191701,   3.93,     43,    .04,  -1.36,    .11,  -1.22,      0,    682,    .33,   -.09,   -.77,  -1.17,    .56,    .15,   -.01,   32.7,   53.2,
       31,      02,   191701,   4.29,   38.6,   1.41,   1.41,    .53,     .5,      0,    818,    .49,   -.15,   -.81,   -.53,    .93,    .34,     .1,   29.4,   47.9,
       31,      06,   191702,   2.44,   44.8,   -.76,   -.76,  -1.07,   -.76,      0,    566,   -.72,   -.35,   -.58,   -.83,   -.04,   -.25,   -.78,   32.3,   57.2,
       31,      02,   191702,   2.87,   35.3,    .99,    .99,   -.82,   -.24,      0,    832,   -.39,      0,   -.39,   -.67,    .83,    .19,   -.07,   23.9,   46.6,
       31,      01,   191702,   5.21,   36.6,    .76,    .76,    .38,   -.61,      0,    795,    .34,    .39,   -.05,   -.57,    .62,    .02,    .01,   24.8,   48.3,
       31,      08,   191702,   2.39,     41,   -.64,   -.64,  -1.26,   -.64,      0,    672,   -.74,   -.43,    -.4,   -.91,   -.61,   -.65,  -1.47,   29.1,   52.9,
       31,      03,   191702,   2.77,   38.7,  -1.12,  -1.12,   -.64,  -1.12,      0,    736,   -.35,   -.03,   -.24,  -1.22,   -.18,   -.56,   -.91,   26.7,   50.7,
       31,      04,   191702,   3.62,   40.5,    .05,   -1.2,    .05,   -.96,      0,    686,    .07,     .2,    -.1,  -1.22,    .41,   -.02,   -.01,   28.5,   52.4,
       31,      07,   191702,   2.38,   43.2,   -.82,   -.82,  -1.25,   -.82,      0,    610,   -.81,   -.42,   -.56,   -.98,   -.29,   -.23,  -1.08,   31.3,     55,
       31,      05,   191702,    4.1,   42.6,    .14,  -1.58,    .42,  -1.31,      0,    627,    .25,    .13,   -.26,  -1.44,    .54,    .03,      0,     31,   54.3,
       31,      05,   191703,   5.85,   49.3,     .7,   -.84,   1.72,    .29,      6,    492,    .97,    .82,    .62,   -.43,    .39,    .66,    .32,   38.6,   59.9,
       31,      02,   191703,   7.48,   43.5,   1.88,   1.88,   2.98,   1.66,      0,    666,    1.4,    .84,    .86,    .06,   1.07,    .87,    .52,   33.4,   53.6,
       31,      06,   191703,    3.7,   52.7,   -.78,   -.78,    -.3,   -.78,     11,    392,   -.02,   -.54,   -.31,   -.54,   -.25,   -.15,   -.64,   40.8,   64.6,
       31,      08,   191703,   4.57,   48.3,    .31,    .31,    .93,    .31,      0,    518,    .52,   -.18,   -.07,   -.51,   -.64,   -.31,   -1.3,   37.2,   59.4,
       31,      04,   191703,   7.08,   47.7,   1.14,   1.14,   3.29,   1.14,      0,    536,   1.57,   1.16,   1.06,      0,    .51,    .85,    .57,   37.2,   58.3,
       31,      03,   191703,   7.16,   46.3,   1.25,   1.25,   3.74,   1.25,      0,    580,   1.69,   1.09,   1.03,     .1,   -.06,    .39,   -.18,   35.7,   56.9,
       31,      01,   191703,  11.61,   44.8,   2.54,   2.54,   5.59,   2.54,      0,    626,    2.2,   1.84,    1.7,    .71,   1.18,   1.09,    .84,   34.7,   54.9,
       31,      07,   191703,   3.71,   50.7,   -.77,   -.77,   -.12,   -.77,      7,    451,   -.07,   -.66,    -.4,   -.76,    -.6,   -.09,   -.97,   39.8,   61.6,
       31,      02,   191704,   3.73,   55.1,   1.55,   1.55,   -.42,    1.1,      0,    300,    -.1,    .96,    .61,   -.08,   -.16,   1.09,    .79,   41.8,   68.5,
       31,      08,   191704,   3.96,   58.4,    .51,    .51,     .7,    .51,      8,    206,    .44,    .61,    .08,   -.25,   -.63,   -.11,   -1.1,   45.5,   71.2,
       31,      03,   191704,   2.94,   58.1,    .91,    .91,   -.62,    .44,      8,    215,   -.31,    1.1,    .74,    .12,   -.47,    .43,   -.03,   44.3,   71.9,
       31,      01,   191704,   3.82,   55.6,   1.99,   1.99,   -.86,   1.56,      0,    286,   -.34,    1.7,   1.49,    .63,     .1,    1.3,   1.11,   42.4,   68.9,
       31,      05,   191704,   3.58,   61.5,     .6,   -.78,   -.08,     .3,     24,    129,     .2,    .75,    .72,   -.18,   -.83,    .86,    .53,   47.9,   75.1,
