StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       32,      05,   191701,    .84,    -.5,   5.39,   5.39,    1.9,   5.39,      0,   2030,   1.18,   2.02,   1.07,    .16,    .66,    .96,   1.25,  -10.7,    9.6,
       32,      01,   191701,    .79,    1.4,   2.99,   2.99,   1.18,   2.99,      0,   1972,   1.07,   1.52,   1.03,    .72,   -.16,    .18,    .32,   -8.7,   11.6,
       32,      08,   191701,    .76,    4.8,   5.64,   5.64,   1.42,   5.64,      0,   1866,   1.12,   2.14,   1.07,    .43,    .24,    .57,   1.93,   -6.3,   15.8,
       32,      09,   191701,    .88,    1.9,   7.49,   7.49,   2.34,   7.49,      0,   1956,   1.06,   1.54,    .54,    .59,   1.67,   1.68,   2.09,   -8.4,   12.2,
       32,      03,   191701,   1.28,   -6.7,   3.53,   3.53,   2.45,   3.53,      0,   2223,   1.59,   2.52,   1.38,    .33,    .22,    .35,    .28,  -17.2,    3.8,
       32,      07,   191701,    .73,    7.8,    4.4,    4.4,    1.3,    4.4,      0,   1773,   1.08,   1.27,    .68,    .39,     .1,    .27,   1.55,     -3,   18.7,
       32,      04,   191701,    .56,    4.9,   3.97,   3.97,    .72,   3.97,      0,   1863,    .61,    1.2,    .61,    .42,    .19,    .39,   1.25,   -6.1,   15.9,
       32,      02,   191701,    .89,   -2.5,   2.98,   2.98,    1.5,   2.98,      0,   2092,   1.18,   1.72,    .95,    .74,    .33,    .52,    .32,    -13,    8.1,
       32,      06,   191701,    .63,   -2.2,   5.06,   5.06,   1.23,   5.06,      0,   2083,    .52,    .99,    .01,     .2,   1.07,   1.35,   1.56,  -12.5,      8,
       32,      04,   191702,    .47,     .7,   3.76,   3.76,    .59,   3.76,      0,   1800,    .44,    .59,   1.08,    .17,    .46,    .41,   1.31,   -9.1,   10.4,
       32,      01,   191702,    .75,   -2.2,   3.11,   3.11,   1.31,   3.11,      0,   1882,   1.07,   1.35,    1.7,    .64,    .29,    .15,    .41,    -12,    7.7,
       32,      03,   191702,   1.01,   -6.1,   3.96,   3.96,   2.39,   3.96,      0,   1991,   1.36,   1.98,   2.86,    .58,    .69,    .48,    .34,  -16.5,    4.3,
       32,      06,   191702,    .89,   -2.6,   5.26,   5.26,   2.15,   5.26,      0,   1893,   1.14,   1.03,   1.34,    .01,   1.11,   1.48,   1.49,  -12.8,    7.6,
       32,      08,   191702,    .39,     .6,    5.2,    5.2,    .43,    5.2,      0,   1803,    .13,     .7,   1.57,    .07,    .25,    .58,    1.9,   -9.7,   10.9,
       32,      02,   191702,    .82,   -3.3,   3.24,   3.24,   1.69,   3.24,      0,   1912,   1.15,   1.64,   2.04,    .42,    .86,    .57,    .42,  -13.6,      7,
       32,      09,   191702,     .7,      1,   7.35,   7.35,   1.89,   7.35,      0,   1792,    .63,    .98,   1.44,    .04,   1.44,   1.76,    1.9,   -9.3,   11.2,
       32,      07,   191702,    .24,    3.2,   3.92,   3.92,   -.09,   3.83,      0,   1730,   -.52,    .43,     .8,    .17,     .2,    .29,   1.52,   -7.4,   13.8,
       32,      05,   191702,    .77,   -2.4,   5.48,   5.48,   1.92,   5.48,      0,   1887,   1.06,   1.41,   2.02,      0,    .89,   1.04,    1.3,  -12.6,    7.9,
       32,      04,   191703,    .25,   21.5,   3.21,   3.21,    -.5,   2.95,      0,   1348,  -1.07,   -.67,   -.27,    .12,   -.04,     .1,   1.29,   12.8,   30.3,
       32,      01,   191703,    .17,   21.2,   2.56,   2.56,    -.7,   2.21,      0,   1358,  -1.34,   -.24,    .36,    .56,    .05,   -.12,    .41,   12.3,     30,
       32,      08,   191703,    .68,   22.1,   4.87,   4.87,    .62,   4.87,      0,   1330,    .02,   -.04,    .38,    .21,    .35,    .17,   1.89,   13.1,   31.2,
       32,      02,   191703,    .11,   21.2,   2.71,   2.71,   -.59,   2.41,      0,   1358,   -1.7,   -.26,    .33,    .53,    .83,    .24,    .42,   12.2,   30.3,
       32,      05,   191703,    .34,   21.7,   5.08,   5.08,    .49,   5.08,      0,   1342,   -.88,   -.01,    .51,    .13,    .67,    .53,   1.32,   12.4,     31,
       32,      07,   191703,    .51,   21.2,   3.57,   3.57,    .16,   3.48,      0,   1358,   -.18,    -.5,    .11,   -.08,    .02,    .13,   1.53,   11.8,   30.6,
       32,      06,   191703,    .23,   22.2,   4.77,   4.77,    .18,   4.77,      0,   1327,  -1.25,   -.14,      0,   -.95,    .66,   1.11,   1.43,   13.1,   31.4,
       32,      09,   191703,     .7,   22.9,   7.09,   7.09,   1.49,   7.09,      0,   1305,   -.17,    .11,    .49,   -.42,    1.2,   1.53,   1.94,   14.3,   31.6,
       32,      03,   191703,    .33,   19.8,   3.61,   3.61,    .17,   3.61,      0,   1401,   -.94,    .21,    .99,    .77,    .49,    .15,    .37,   10.6,     29,
       32,      08,   191704,   1.78,   37.4,   4.99,   4.99,   1.87,   4.99,      0,    828,    .52,    .33,    .26,    .73,    .42,    .28,   1.94,   27.8,     47,
       32,      01,   191704,   1.58,   36.2,   2.89,   2.89,   1.77,   2.89,      0,    864,    .65,    .02,    .35,    .88,    .73,   -.09,    .63,   27.1,   45.4,
       32,      04,   191704,   1.55,   37.1,   3.36,   3.36,   1.46,   3.36,      0,    837,    .44,   -.11,   -.04,    .27,    .24,    .12,   1.47,   27.4,   46.8,
       32,      02,   191704,   1.58,   35.9,   3.09,   3.09,   1.97,   3.09,      0,    873,    .67,   -.05,    .33,    .77,    .73,    .34,    .55,     26,   45.8,
       32,      03,   191704,   1.63,   35.6,   3.97,   3.97,   2.17,   3.97,      0,    882,    .55,   -.01,    .46,   1.28,    .43,     .3,    .46,   26.5,   44.7,
       32,      09,   191704,   2.32,   38.4,    7.3,    7.3,   2.81,    7.3,      0,    798,    .63,    .36,    .45,    .58,    .65,   1.75,   2.06,   29.4,   47.5,
       32,      05,   191704,   1.62,   36.4,   5.25,   5.25,   2.08,   5.25,      0,    858,    .45,   -.01,    .27,     .8,    .15,    .66,   1.38,   26.7,     46,
       32,      06,   191704,   1.72,   37.5,   4.85,   4.85,   1.71,   4.85,      0,    825,    .32,   -.32,    .03,   -.09,    .14,    .99,   1.44,     28,     47,
       32,      07,   191704,   1.29,   37.1,    3.5,    3.5,     .9,    3.5,      0,    837,    .14,   -.11,   -.32,    .07,    .14,      0,    1.6,   27.1,   47.1,
       32,      09,   191705,    .39,   52.2,   -.85,   5.69,  -2.56,   4.71,     10,    407,     -2,  -1.08,  -1.14,   -.43,    -.8,     .7,    1.6,   37.4,     67,
       32,      02,   191705,    .14,   50.3,   -.75,   2.02,  -2.25,   1.04,      7,    463,  -2.22,  -1.16,  -1.58,   -.48,   -.64,     .1,   -.02,     34,   66.6,
       32,      04,   191705,    .37,   51.1,    -.7,   2.32,  -2.09,   1.42,      7,    438,  -2.23,  -1.05,  -1.33,   -.83,   -.86,   -.26,    .83,   36.2,     66,
       32,      08,   191705,    .74,   51.2,   -.46,   4.02,  -1.39,   3.44,      8,    436,  -1.46,   -.79,   -.81,   -.16,   -.61,   -.22,   1.48,   36.7,   65.8,
       32,      07,   191705,    .86,   49.8,   -.42,   2.72,  -1.25,   2.17,      5,    477,   -1.3,    -.9,   -.99,   -.68,   -.63,   -.32,   1.16,   35.3,   64.4,
       32,      03,   191705,    .18,   50.5,   -.88,   2.68,  -2.64,    1.6,      8,    458,  -2.24,  -1.23,  -1.51,    .16,   -.45,   -.12,   -.04,   34.6,   66.4,
       32,      01,   191705,    .09,     51,   -.82,   1.77,  -2.45,     .7,      7,    441,  -2.85,  -1.16,  -1.59,   -.54,   -.49,   -.42,     .1,   35.8,   66.2,
       32,      06,   191705,    .16,   51.8,   -.95,    3.4,  -2.84,   2.28,     10,    419,  -2.09,  -1.46,  -1.82,  -1.15,  -1.22,     .1,    .83,   35.8,   67.7,
       32,      05,   191705,    .09,   50.7,   -.88,   3.83,  -2.63,   2.79,      7,    451,  -2.41,  -1.41,  -1.65,    -.5,  -1.12,   -.02,     .8,     35,   66.5,
       32,      03,   191706,   2.64,   58.6,   -.79,   2.41,    .01,   1.31,     25,    217,   -.51,   -1.6,  -1.23,   -.83,   -.59,   -.43,   -.38,   44.7,   72.4,
       32,      08,   191706,   1.84,   60.6,   -.89,   3.13,  -1.42,   1.98,     48,    180,  -1.17,  -1.75,  -1.37,  -1.25,  -1.17,   -.74,    .48,   46.8,   74.5,
       32,      06,   191706,   2.27,   59.6,  -1.11,   2.79,    -.8,   1.35,     30,    192,   -.85,  -1.95,  -1.62,   -1.6,  -1.86,   -.56,   -.23,   45.5,   73.8,
