StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       33,      09,   191701,   5.31,   31.1,   2.04,   2.04,   2.56,   1.69,      0,   1051,   1.13,   1.04,    .43,    .54,     .2,    .19,    .87,   20.8,   41.4,
       33,      01,   191701,   2.36,   23.6,  -2.27,  -2.27,      0,  -2.21,      0,   1283,    .35,    .44,    .14,   -.68,   -.63,   -.89,   -.16,   15.3,   31.9,
       33,      05,   191701,   4.22,   26.3,    .57,  -1.36,   1.72,   -.52,      0,   1200,    .93,    .92,    .48,   -.03,   -.18,   -.19,    .58,     17,   35.6,
       33,      10,   191701,   4.69,   28.4,    1.5,    1.5,   2.44,    .53,      0,   1135,   1.06,   1.01,    .61,    .32,    .15,    .17,    .76,   18.1,   38.7,
       33,      07,   191701,    3.4,   25.4,  -1.24,  -1.24,   1.24,   -.57,      0,   1228,    .64,    .27,    .21,   -.46,   -.58,   -.53,   -.16,     16,   34.9,
       33,      06,   191701,   3.25,   24.6,    .35,  -1.66,   1.06,  -1.12,      0,   1252,    .54,    .34,    .24,   -.46,   -.66,   -.67,    .01,     15,   34.1,
       33,      04,   191701,   3.41,   26.2,    .26,  -1.73,    .78,  -1.32,      0,   1203,    .69,    .49,    .02,   -.33,   -.44,   -.65,    .41,   16.8,   35.5,
       33,      08,   191701,   4.76,   28.6,     .6,    -.8,    1.8,    .21,      0,   1128,    .93,    .81,    .28,    .07,   -.06,   -.44,    .38,   19.2,     38,
       33,      03,   191701,   2.87,   23.6,   -.87,   -.87,    .86,   -.27,      0,   1283,    .41,    .17,   -.18,   -.41,   -.55,   -.64,   -.89,   15.3,     32,
       33,      02,   191701,   2.84,   24.5,    .19,  -1.73,    .57,   -1.4,      0,   1256,    .54,    .32,    .17,   -.56,   -.56,   -.73,   -.17,   16.1,   32.8,
       33,      07,   191702,   1.15,   23.6,  -1.59,  -1.59,  -1.46,  -1.55,      0,   1159,  -1.16,   -.16,   -.31,   -.59,   -.77,   -.74,    -.3,   13.3,   33.9,
       33,      01,   191702,    .98,   20.8,  -2.34,  -2.34,   -.91,  -2.34,      0,   1238,   -.88,   -.31,   -.07,   -.76,  -1.03,   -.87,   -.33,   11.7,   29.9,
       33,      06,   191702,    1.4,     22,   -.34,  -1.83,  -1.03,  -1.69,      0,   1204,   -.79,   -.06,   -.06,    -.5,   -.92,   -.72,   -.06,   11.6,   32.4,
       33,      08,   191702,   1.69,   26.8,    .22,  -1.03,   -.95,   -.48,      0,   1070,   -.58,    .41,    .43,   -.33,   -.31,   -.48,    .41,     16,   37.6,
       33,      05,   191702,   1.51,   25.3,    .24,   -1.5,   -.83,   -.99,      0,   1112,   -.63,    .43,    .56,   -.32,   -.51,   -.26,    .55,   14.4,   36.2,
       33,      03,   191702,   1.01,     20,  -1.35,  -1.35,  -1.72,  -1.35,      0,   1260,  -1.37,   -.47,   -.44,   -.49,   -.75,   -.79,  -1.13,   10.7,   29.4,
       33,      02,   191702,   1.15,   21.4,   -.28,  -1.83,   -.83,  -1.81,      0,   1221,   -.83,   -.06,   -.11,   -.57,   -.92,   -.72,   -.36,     12,   30.9,
       33,      04,   191702,   1.25,   23.5,   -.33,  -1.88,   -.98,  -1.83,      0,   1162,   -.72,    .17,     .1,   -.54,   -.79,   -.63,     .4,   13.3,   33.7,
       33,      09,   191702,   2.51,   30.3,   1.79,   1.79,   -.09,   1.36,      0,    972,   -.04,     .8,    .83,    .05,     .1,    .04,   1.01,   17.7,   42.8,
       33,      10,   191702,   1.94,   28.1,   1.11,   1.11,   -.71,   -.01,      0,   1033,   -.41,     .6,    .69,    .02,   -.17,   -.09,    .73,   15.9,   40.3,
       33,      01,   191703,   3.48,   37.3,    .41,   -1.7,   1.22,   -1.1,      0,    859,    .63,      0,    .09,   -.19,   -1.3,   -.85,    .06,   28.6,     46,
       33,      09,   191703,   5.45,   40.9,   2.21,   2.21,   1.79,   2.21,      0,    747,    .86,    .57,    1.1,    .56,    .27,    .14,   1.32,   29.8,     52,
       33,      08,   191703,   4.37,   39.4,    .41,   -.72,    .64,    .18,      0,    794,    .41,   -.07,    .46,   -.14,   -.51,   -.36,    .66,   29.5,   49.4,
       33,      05,   191703,   3.67,   38.7,    .39,  -1.17,    .52,   -.39,      0,    815,     .3,   -.17,     .4,    .03,   -.74,   -.46,    .77,   28.8,   48.6,
       33,      03,   191703,   2.73,   35.1,  -1.29,  -1.29,   -.25,  -1.29,      0,    927,    -.1,   -.87,   -.47,   -.72,  -1.09,   -.88,   -.82,   26.6,   43.7,
       33,      07,   191703,   3.33,     37,  -1.37,  -1.37,    .17,  -1.17,      0,    868,    .14,   -.57,   -.09,   -.33,  -1.12,   -.79,   -.02,   27.2,   46.7,
