StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       34,      04,   191701,    .48,     37,   -.28,   1.11,   -.44,    .17,      0,    868,   -.26,   -.63,    .05,   -.37,    -.5,   -.85,    .91,   24.1,     50,
       34,      09,   191701,   1.94,   41.7,  -2.97,  -2.97,  -1.46,  -2.97,      0,    722,   -.42,   -1.1,    -.9,  -1.46,  -1.35,  -1.69,     .2,   30.3,   53.1,
       34,      03,   191701,    .55,   37.3,  -2.53,  -2.53,  -1.83,  -2.53,      0,    859,  -1.01,  -1.27,   -.58,  -1.38,  -1.44,  -1.35,    .74,   26.2,   48.3,
       34,      07,   191701,     .4,     40,  -1.56,  -1.56,  -1.26,  -1.56,      0,    775,   -.61,  -1.37,   -.63,   -.81,  -1.27,  -1.19,    .57,   26.8,   53.2,
       34,      06,   191701,   1.54,   40.5,  -1.82,  -1.82,   -.77,  -1.82,      0,    760,   -.26,  -1.01,   -.27,  -1.22,  -1.33,  -1.11,   1.04,   29.3,   51.7,
       34,      01,   191701,    .38,     33,  -1.42,  -1.42,   -.26,  -1.39,      0,    992,    .02,   -.08,   -.53,    -.8,  -1.32,  -1.57,    .72,   18.7,   47.3,
       34,      02,   191701,    .38,   35.3,  -1.13,  -1.13,   -.95,  -1.13,      0,    921,   -.49,   -.79,   -.07,   -.79,   -.84,  -1.22,    .73,   22.7,   47.8,
       34,      05,   191701,    .41,   38.8,  -2.17,  -2.17,  -1.71,  -2.17,      0,    812,    -.9,  -1.25,   -.36,  -1.39,  -1.31,  -1.19,    .59,     26,   51.5,
       34,      08,   191701,    .87,   41.7,  -2.17,  -2.17,  -1.79,  -2.17,      0,    722,   -.65,   -1.6,    -.8,  -1.15,   -1.1,   -.93,   1.07,   29.1,   54.3,
       34,      06,   191702,    .65,   40.9,  -2.22,  -2.22,  -1.76,  -2.22,      0,    675,  -1.31,  -1.07,  -1.51,  -1.25,  -1.48,  -1.15,    .77,   28.1,   53.6,
       34,      08,   191702,   1.05,   42.9,  -2.62,  -2.62,  -2.03,  -2.62,      0,    619,   -.65,   -.95,  -1.67,  -1.03,  -1.06,   -.81,     .9,   28.8,     57,
       34,      05,   191702,    .64,   38.9,  -2.55,  -2.55,  -1.81,  -2.55,      0,    731,   -.75,  -1.18,  -1.44,  -1.03,   -.93,  -1.17,    .29,   24.8,     53,
       34,      03,   191702,    .61,   36.6,  -3.01,  -3.01,  -2.23,  -3.01,      0,    795,  -1.15,  -1.78,  -1.76,  -1.35,  -1.36,  -1.37,    .47,   23.9,   49.3,
       34,      04,   191702,    .46,   37.7,   -.49,    .75,   -.73,   -.34,      0,    764,   -.47,   -.65,   -.86,      0,    .06,   -.77,    .63,   23.2,   52.2,
       34,      09,   191702,    1.7,   42.9,  -3.26,  -3.26,  -1.79,  -3.26,      0,    619,   -.71,    -.9,   -1.4,  -1.43,  -1.43,  -1.61,    .01,   29.8,   56.1,
