StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       36,      10,   191701,   2.94,   21.9,  -1.49,  -1.49,     .2,  -1.27,      0,   1336,     .1,   -.07,   -.32,   -.69,   -.54,   -.06,   -.25,   12.9,   30.9,
       36,      03,   191701,   3.95,     29,  -1.06,  -1.06,    .92,   -.25,      0,   1116,    .59,    .72,    .12,   -1.1,   -.28,   -.24,   -.05,   20.3,   37.8,
       36,      01,   191701,   2.95,   22.9,  -1.21,  -1.21,   -.01,  -1.13,      0,   1305,    .12,   -.18,    -.5,  -1.25,    -.5,   -.27,   -.46,     14,   31.8,
       36,      04,   191701,   3.71,   28.6,   -.23,   1.46,   1.15,    .76,      0,   1128,    .66,    .32,   -.31,   -.82,    .16,    .27,    .46,   19.4,   37.8,
       36,      05,   191701,   3.51,   25.7,    -.6,    -.6,   1.05,    .24,      0,   1218,    .55,     .1,   -.53,   -.76,    .05,    .35,    .27,   17.2,   34.2,
       36,      07,   191701,   3.32,     24,  -1.68,  -1.68,    .81,  -1.25,      0,   1271,    .41,   -.12,   -.53,   -.89,    .26,    .74,    .27,   15.4,   32.7,
       36,      06,   191701,   2.21,   22.9,  -1.24,  -1.24,   -.14,  -1.23,      0,   1305,    -.1,   -.74,  -1.04,  -1.01,   -.27,    .26,    .09,     14,   31.7,
       36,      09,   191701,   4.41,   26.9,    .68,    .68,   2.04,    .68,      0,   1181,    .95,    .55,    .23,    .01,   -.18,    .14,   -.02,   17.8,   35.9,
       36,      08,   191701,   3.65,   26.9,   -.12,   1.09,   1.44,    .51,      0,   1181,    .74,    .36,   -.31,   -.27,    .46,    .77,    .24,   17.9,   35.8,
       36,      02,   191701,   4.14,   25.6,   -.81,   -.81,      1,    .17,      0,   1221,    .63,    .58,    .09,  -1.02,   -.42,   -.33,   -.22,     17,   34.2,
       36,      01,   191702,   1.18,   19.9,  -1.82,  -1.82,  -2.21,  -1.82,      0,   1263,   -1.9,   -.94,   -.89,  -1.12,   -.72,   -.61,   -.81,   10.3,   29.6,
       36,      09,   191702,   1.61,     25,   -.47,   -.47,   -1.4,   -.47,      0,   1120,     -1,    .18,    .02,   -.44,   -.19,   -.28,   -.24,   14.3,   35.7,
       36,      02,   191702,   1.63,   23.8,  -1.25,  -1.25,  -1.59,   -.99,      0,   1154,  -1.11,   -.21,    .05,    -.7,   -.46,   -.59,   -.58,   13.9,   33.6,
       36,      08,   191702,   1.72,   26.2,   -.43,    .66,   -.97,   -.32,      0,   1086,   -.63,    .11,   -.05,   -.35,    .51,    .65,    .01,   16.3,   36.1,
       36,      03,   191702,   1.57,   27.2,  -1.46,  -1.46,  -1.53,  -1.29,      0,   1058,   -1.1,   -.27,     .2,   -.87,   -.37,   -.51,   -.45,   17.4,     37,
       36,      05,   191702,   1.46,   24.1,  -1.03,  -1.03,  -1.46,  -1.03,      0,   1145,   -.95,   -.27,   -.41,   -.58,   -.02,    .12,    .03,   14.6,   33.7,
       36,      07,   191702,   1.59,   21.4,  -1.96,  -1.96,  -1.37,  -1.96,      0,   1221,   -.89,   -.34,   -.61,   -.66,    .04,    .53,    .01,   11.4,   31.3,
       36,      10,   191702,   1.64,   18.4,  -1.79,  -1.79,  -1.36,  -1.79,      0,   1305,    -.9,   -.57,   -.52,   -.48,   -.79,   -.35,   -.47,      8,   28.8,
       36,      04,   191702,   1.77,   28.4,   -.53,    .98,   -.97,   -.08,      0,   1025,   -.63,   -.01,   -.05,   -.71,    .27,    .06,    .09,   17.8,   38.9,
       36,      06,   191702,   1.01,     19,  -1.77,  -1.77,  -1.99,  -1.77,      0,   1288,  -1.47,  -1.05,   -1.3,     -1,   -.67,   -.13,   -.18,      9,   28.9,
       36,      09,   191703,   3.94,   37.3,   -.29,   -.29,    .39,   -.29,      0,    859,    .27,   -.38,     .3,   -.25,   -.55,   -.42,    .09,   27.4,   47.2,
       36,      01,   191703,   3.18,   31.8,  -1.64,  -1.64,   -.03,  -1.58,      0,   1029,   -.15,  -1.09,   -.92,  -1.58,  -1.14,    -.7,   -.59,   23.3,   40.2,
       36,      04,   191703,   3.93,   38.4,   -.29,   1.07,    .55,    .21,      0,    825,    .29,   -.23,    .23,   -.74,   -.15,   -.03,    .39,   29.2,   47.5,
       36,      02,   191703,   4.77,   34.8,   -.65,   -.65,   1.41,    .33,      0,    936,    .72,   -.07,    .26,   -.51,   -.53,   -.46,   -.26,   25.8,   43.9,
       36,      07,   191703,   3.47,   34.8,  -1.77,  -1.77,   -.05,  -1.73,      0,    936,    .06,   -.56,   -.27,   -.98,  -1.34,    .24,    .27,   25.6,     44,
       36,      08,   191703,   3.51,   36.7,   -.39,    .59,      0,   -.35,      0,    877,    .07,   -.39,    .12,   -.75,   -.35,    .33,    .32,   27.2,   46.2,
       36,      10,   191703,   3.44,   33.3,  -1.52,  -1.52,    .24,  -1.34,      0,    983,    .14,   -.43,   -.42,   -.61,   -1.3,   -.47,   -.17,     24,   42.6,
       36,      06,   191703,   2.31,   32.5,  -1.84,  -1.84,   -.76,  -1.84,      0,   1008,   -.56,   -1.4,  -1.34,  -1.88,  -1.47,   -.41,   -.02,   23.8,   41.2,
       36,      03,   191703,   4.65,   37.5,   -.86,   -.86,   1.35,    .01,      0,    852,    .71,    -.1,    .24,   -.47,   -.35,   -.37,   -.12,     29,   45.9,
       36,      05,   191703,   3.65,   36.4,   -.79,   -.79,    .41,   -.38,      0,    887,     .2,    -.5,   -.11,  -1.08,   -.87,   -.01,    .29,   27.4,   45.4,
       36,      07,   191704,   2.13,   45.4,  -2.19,  -2.19,  -1.78,  -2.19,      0,    588,  -1.03,   -.72,  -1.05,  -1.18,  -1.47,   -.26,    .34,   34.4,   56.3,
       36,      01,   191704,   1.63,   43.9,  -2.29,  -2.29,  -2.47,  -2.29,      0,    633,  -1.65,  -1.26,  -1.86,  -1.79,  -1.99,  -1.21,   -.69,   32.7,   55.1,
       36,      03,   191704,   1.91,   49.7,  -1.42,  -1.42,  -1.93,  -1.38,      0,    459,  -1.29,   -.22,   -.81,   -.39,  -1.33,    -.6,   -.18,   37.8,   61.6,
       36,      08,   191704,   2.19,   47.8,   -.85,   -.85,  -1.49,   -.85,      0,    516,    -.8,   -.55,   -.77,   -.82,   -.65,    .05,    .39,   36.7,   58.9,
       36,      10,   191704,   2.18,   42.9,  -1.95,  -1.95,  -1.76,  -1.95,      0,    663,  -1.23,   -.76,  -1.09,  -1.06,  -1.35,  -1.01,   -.07,   32.2,   53.6,
       36,      09,   191704,   2.39,   47.3,   -.78,   -.78,  -1.57,   -.78,      0,    531,   -.91,   -.45,   -.83,   -.44,   -.45,   -.56,    .16,   36.4,   58.2,
       36,      04,   191704,    2.1,     50,   -.79,   -.79,  -1.57,   -.79,      0,    450,    -.9,   -.37,   -.71,   -.71,   -1.1,    -.2,     .4,   37.7,   62.2,
       36,      05,   191704,   1.86,   48.5,  -1.41,  -1.41,  -2.11,  -1.41,      0,    495,  -1.25,    -.7,   -1.1,  -1.19,  -1.28,   -.48,    .22,   36.5,   60.4,
       36,      02,   191704,   1.68,   47.1,  -1.37,  -1.37,  -2.35,  -1.37,      0,    537,  -1.59,   -.41,   -.95,   -.53,  -1.33,   -.79,   -.39,   34.8,   59.5,
       36,      06,   191704,   1.32,     44,  -2.54,  -2.54,  -2.66,  -2.54,      0,    630,  -2.24,  -1.77,  -2.31,  -2.48,  -2.21,  -1.18,   -.12,   33.5,   54.5,
       36,      01,   191705,   3.85,   47.8,    .18,  -1.88,    .54,  -1.57,      0,    533,    .04,  -1.04,  -1.01,  -1.53,  -1.54,  -1.11,   -.69,   38.5,   57.1,
       36,      08,   191705,   3.12,   53.4,   -.84,   -.84,   -.25,   -.84,      5,    365,   -.43,     -1,   -.77,   -.68,   -.76,    .05,    .15,   43.6,   63.1,
       36,      02,   191705,   3.13,     51,  -1.37,  -1.37,   -.42,  -1.37,      0,    434,   -.44,  -1.53,   -.74,   -.54,  -1.01,   -.76,   -.49,   40.4,   61.5,
       36,      05,   191705,   3.21,   52.8,  -1.34,  -1.34,   -.24,  -1.34,      0,    382,   -.37,  -1.12,   -.85,     -1,   -.98,   -.45,     .1,   42.5,     63,
       36,      10,   191705,    5.3,   48.4,    .87,   -.89,    2.6,     .4,      0,    515,    .94,    .06,    .05,   -.38,   -.42,   -.73,    .14,   38.3,   58.5,
       36,      09,   191705,   3.25,   52.6,   -.75,   -.75,   -.15,   -.75,      6,    390,   -.48,  -1.03,   -.66,   -.58,   -.81,    -.5,   -.05,   42.5,   62.8,
       36,      07,   191705,   3.91,   50.9,    .18,  -1.78,    .53,  -1.48,      0,    437,    .04,   -.68,   -.59,   -.93,   -.97,    -.3,    .27,   40.5,   61.2,
       36,      03,   191705,   2.96,   53.9,  -1.39,  -1.39,   -.37,  -1.39,      0,    347,   -.48,  -1.34,   -.57,   -.31,  -1.04,   -.62,   -.35,   42.8,     65,
       36,      06,   191705,   4.11,     48,    .42,  -1.86,   1.26,  -1.26,      0,    527,    .31,    -.7,   -.94,  -1.81,  -1.48,  -1.13,   -.02,   39.1,   56.9,
       36,      04,   191705,   2.77,   55.1,    -.9,    -.9,   -.58,    -.9,      6,    313,    -.6,   -1.2,   -.78,   -.64,  -1.02,   -.13,    .19,     44,   66.2,
       36,      10,   191706,    7.2,   61.9,   2.12,   2.12,   4.01,   2.12,     28,    121,   1.69,   1.75,   1.03,    .58,    .23,   -.53,    .51,   50.7,   73.1,
       36,      09,   191706,   5.18,   65.7,    .49,    .49,   1.47,    .49,     79,     58,    .57,      0,   -.45,   -.15,   -.47,   -.75,    .03,   54.4,     77,
       36,      04,   191706,   3.89,   67.9,     .1,     .1,    .31,   -.71,    109,     22,     .1,   -.47,   -.93,   -.59,  -1.12,   -.56,    .02,   56.7,   79.2,
       36,      05,   191706,   4.97,   65.9,    .47,   -.73,    1.4,    .15,     74,     47,    .66,    .11,   -.54,   -.54,  -1.16,  -1.03,    .13,     55,   76.8,
       36,      06,   191706,   6.26,   62.3,    1.5,    1.5,   3.37,    1.5,     29,    110,   1.35,   1.13,     .3,   -.48,  -1.16,  -1.08,    .23,     52,   72.5,
       36,      03,   191706,   5.11,   68.5,    .48,   -.77,   1.44,    .11,    120,     15,    .72,    .18,   -.49,   -.28,   -.66,   -.58,   -.25,   57.7,   79.3,
       36,      08,   191706,   5.29,   66.4,     .6,     .6,   1.81,     .6,     84,     42,    .84,    .24,   -.31,   -.19,   -.78,   -.48,    .19,   55.4,   77.5,
       36,      01,   191706,   6.21,     63,   1.03,   -.81,   2.62,     .7,     32,     92,    1.1,    .79,    .01,   -.59,  -1.21,  -1.01,   -.38,   52.6,   73.5,
