StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       37,      01,   191701,   3.36,   27.6,  -1.54,  -1.54,   -.49,  -1.54,      0,   1159,   -.17,   -.49,   -.88,  -1.85,    .13,    .25,   -.91,     19,   36.1,
       37,      01,   191702,   2.53,   23.8,  -1.72,  -1.72,  -1.01,  -1.72,      0,   1154,   -.65,   -.68,   -.85,  -1.55,   -.21,    -.2,  -1.09,   15.2,   32.5,
       37,      01,   191703,   5.45,   34.5,    .48,  -1.06,   1.45,   -.28,      0,    946,    .69,    .24,    .03,   -.85,   -.25,    .14,   -.52,   26.5,   42.4,
       37,      01,   191704,   2.87,   42.5,    .17,  -1.21,   -.78,   -.76,      0,    675,    -.6,    .05,   -.26,   -.85,  -1.54,   -.07,   -.42,   33.8,   51.2,
       37,      01,   191705,   4.24,   48.9,    .66,   -.58,   1.53,    .63,      0,    499,    .55,   -.07,    .29,   -.36,  -1.08,    -.1,   -.26,   40.1,   57.6,
       37,      01,   191706,   4.87,     64,   1.17,   1.17,   1.73,   1.17,     39,     69,    .83,    .91,    .45,    .28,   -.42,    -.1,    .08,     55,   73.1,
       37,      01,   191707,   1.51,     71,    .55,    .55,   -1.5,   -.49,    190,      0,  -1.45,    .02,    .27,   -.03,   -.58,  -1.28,   -.18,   62.6,   79.4,
       37,      01,   191708,   5.45,   70.7,    .89,    .89,   1.17,    .53,    184,      8,    .82,    .01,    .42,     .4,    -.1,   -.75,   -.24,   61.8,   79.5,
       37,      01,   191709,   2.67,   57.5,    .67,    .67,   -.36,    .04,      0,    228,   -.36,    .29,   -.31,      0,   -.11,    -.6,   -.18,   47.5,   67.6,
       37,      01,   191710,   5.75,   48.5,   1.53,   1.53,   2.76,   1.53,      0,    512,   1.02,    .45,    .75,    .66,    .37,   -.08,    .01,   39.3,   57.7,
