StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       38,      04,   191701,   3.56,   49.1,  -1.64,  -1.64,   -.25,  -1.64,     18,    511,    .27,   -.33,   -.78,  -1.48,    .93,    .32,    .02,     38,   60.1,
       38,      06,   191701,   3.49,   49.5,  -1.53,  -1.53,   -.55,  -1.53,     18,    499,    .16,   -.37,   -.76,  -1.41,    .41,   -.21,   -.52,     39,     60,
       38,      05,   191701,   3.75,   47.8,  -1.51,  -1.51,   -.83,  -1.51,     12,    545,   -.01,   -.55,   -.97,  -1.61,   -.34,   -.86,  -1.31,   38.1,   57.4,
       38,      07,   191701,   3.06,   52.1,  -1.27,  -1.27,   -.52,  -1.27,     29,    429,      0,   -.41,   -.61,   -1.2,    .19,   -.42,   -.27,   41.2,   62.9,
       38,      02,   191701,   3.83,   45.1,  -1.78,  -1.78,   -.83,  -1.78,      6,    623,   -.18,   -.58,  -1.08,   -1.6,   -.02,   -.45,   -.55,   35.6,   54.5,
       38,      03,   191701,   2.94,   45.8,  -2.63,  -2.63,  -1.58,  -2.63,      8,    604,   -.37,   -.88,  -1.45,  -2.08,   -.03,   -.45,   -.89,   36.2,   55.5,
       38,      01,   191701,   5.15,   44.1,  -1.44,  -1.44,   -.48,  -1.44,      0,    648,    .02,   -.42,   -.82,  -1.17,    .43,   -.16,    .14,   34.2,   53.9,
       38,      02,   191702,   5.81,   42.4,    .48,  -1.12,   1.45,   -.34,      0,    633,    .76,    .37,    -.1,   -.84,    .21,   -.46,   -.45,   30.2,   54.5,
       38,      05,   191702,    4.7,   45.7,    .24,  -1.12,    .73,   -.65,      0,    540,    .35,    .17,   -.32,   -.93,    .02,   -.91,  -1.16,   33.8,   57.5,
       38,      01,   191702,   6.59,   40.8,    .31,   -.98,    .94,   -.39,      0,    678,    .62,    .38,   -.07,   -.67,    .48,   -.08,    .13,   28.6,   52.9,
       38,      04,   191702,   2.79,   46.2,  -1.69,  -1.69,   -.65,  -1.69,      0,    526,   -.49,   -.24,   -.56,  -1.03,    .84,    .27,    .01,     34,   58.3,
       38,      03,   191702,   4.24,   44.2,    .19,  -2.17,    .56,  -1.87,      0,    582,    .31,   -.08,   -.58,  -1.62,    .26,   -.59,   -.76,   32.8,   55.6,
       38,      06,   191702,   3.85,   47.3,    .08,  -1.29,    .25,  -1.08,      0,    496,    .04,    .06,   -.34,   -.98,    .65,   -.15,   -.42,     35,   59.6,
       38,      07,   191702,   2.95,   49.6,   -1.3,   -1.3,   -.49,   -1.3,      6,    437,   -.29,   -.32,   -.56,   -.86,    .38,   -.28,    -.2,   36.8,   62.3,
       38,      04,   191703,    3.4,   54.3,  -1.71,  -1.71,    -.6,  -1.71,     16,    348,    -.1,   -.44,   -.27,   -.69,    .71,    .41,    .12,   42.2,   66.3,
       38,      07,   191703,   4.16,   57.1,  -1.16,  -1.16,    .02,  -1.06,     28,    273,    .28,   -.04,   -.09,   -.28,    .26,    .02,      0,     45,   69.2,
       38,      01,   191703,  11.82,   48.9,   1.54,   1.54,   3.76,   1.54,      5,    504,   1.77,   1.67,    1.4,    .34,    .97,    .82,    .76,   38.4,   59.5,
       38,      05,   191703,   5.87,   52.6,    .58,   -.64,   1.08,    .44,     12,    397,     .7,     .7,    .52,   -.43,    .19,   -.28,   -.83,   40.7,   64.5,
       38,      06,   191703,   4.44,   54.5,    .17,  -1.07,    .27,   -.64,     18,    343,     .4,    .27,    .23,    -.4,    .66,     .2,   -.22,   41.8,   67.2,
       38,      02,   191703,    8.6,   49.6,   1.45,   1.45,   3.06,   1.45,      6,    483,   1.49,   1.46,   1.17,    .02,     .7,    .39,    .05,   38.5,   60.6,
       38,      03,   191703,   4.63,   50.4,    .27,  -1.84,    .32,  -1.35,      7,    460,    .35,    .44,    .12,   -.91,   -.02,   -.18,    -.6,   39.5,   61.3,
       38,      02,   191704,   3.79,   62.2,   1.19,   1.19,   -.35,    .92,     32,    116,    .12,   1.12,   1.19,    .24,   -.46,    .58,    .32,   48.7,   75.8,
