StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       39,      02,   191701,   1.17,    8.2,   7.64,   7.64,    2.8,   7.64,      0,   1761,    1.9,   1.99,   1.12,   1.02,    1.4,   1.49,   2.71,   -2.6,     19,
       39,      05,   191701,    .79,   18.1,   5.98,   5.98,   1.59,   5.98,      0,   1454,   1.25,    .86,    .56,   -.11,     .3,    .11,   2.07,    5.1,   31.1,
       39,      08,   191701,   1.04,   17.5,   3.44,   3.44,   1.73,   3.21,      0,   1472,   1.54,   1.33,    .65,    .14,    .14,   -.42,    1.7,    4.2,   30.8,
       39,      07,   191701,   1.56,    7.3,   4.03,   4.03,   2.82,   4.03,      0,   1789,   1.84,   1.68,     .6,    .53,    .64,     .4,    .85,   -3.8,   18.3,
       39,      01,   191701,    .74,   12.2,    5.7,    5.7,   1.46,    5.7,      0,   1637,   1.17,   1.49,    .94,    .27,    .36,    .67,   1.86,      1,   23.5,
       39,      09,   191701,   1.28,   13.1,   1.67,   1.67,   1.57,    .58,      0,   1609,   1.63,   1.03,    .11,   -.89,   -.52,    -.8,    .68,    1.5,   24.7,
       39,      03,   191701,   1.39,      4,    8.3,    8.3,   3.55,    8.3,      0,   1891,   1.62,   2.06,   1.05,   1.19,   2.12,   1.86,   2.43,   -6.5,   14.6,
       39,      06,   191701,   1.24,   12.6,   5.66,   5.66,   2.83,   5.66,      0,   1624,   1.92,   1.84,   1.08,    .71,    .77,    .39,    1.8,    1.2,     24,
       39,      04,   191701,    .71,   17.5,   3.32,   3.32,    .62,   3.13,      0,   1472,    .36,    .54,    .23,   -.29,   -.33,   -.39,   1.24,    5.4,   29.6,
       39,      04,   191702,    .64,   19.1,    3.1,    3.1,    .37,   2.99,      0,   1285,    .04,    .18,    .42,   -.96,   -.65,   -.35,   1.12,      5,   33.1,
       39,      01,   191702,    .39,    8.2,   5.21,   5.21,    .31,   5.21,      0,   1590,   -.09,    .69,   1.19,   -.22,    .02,    .65,   1.78,   -2.6,     19,
       39,      05,   191702,    .39,   18.6,   5.43,   5.43,    .19,   5.43,      0,   1299,   -.06,    .78,    .61,   -.81,    -.2,    .14,   1.92,    5.4,   31.8,
       39,      08,   191702,    .39,   13.2,   3.03,   3.03,   -.16,   2.69,      0,   1450,   -.14,     .9,    .89,   -.58,    .01,   -.38,   1.44,     .2,   26.2,
       39,      09,   191702,    .49,   10.2,   1.32,   1.32,   -.54,    .08,      0,   1534,   -.25,    .98,    .64,   -.81,  -1.01,   -.76,    .37,   -1.8,   22.2,
       39,      06,   191702,    .44,    8.2,   5.19,   5.19,    .34,   5.19,      0,   1590,    .07,    1.4,   1.47,   -.07,    .44,    .43,   1.61,   -2.7,   19.1,
       39,      02,   191702,    .52,    3.8,   7.15,   7.15,    .91,   7.15,      0,   1714,    .25,   1.34,   1.65,    .06,    .97,   1.44,   2.51,   -5.8,   13.4,
       39,      03,   191702,    .89,    2.4,   8.15,   8.15,   2.13,   8.15,      0,   1753,    .83,   1.47,   1.88,    .21,   1.81,   1.96,   2.25,   -8.4,   13.2,
       39,      07,   191702,    .45,    5.3,   3.66,   3.66,    .14,   3.65,      0,   1672,   -.15,   1.35,   1.35,   -.53,    .18,    .41,     .7,   -5.8,   16.4,
       39,      03,   191703,   1.66,   23.5,   8.36,   8.36,   3.14,   8.36,      0,   1286,    .96,    1.1,   1.54,    .55,   1.64,   2.03,   2.26,   14.7,   32.2,
       39,      08,   191703,   1.34,   28.9,   2.95,   2.95,    .69,    2.8,      0,   1119,     .5,    .25,    .85,      0,   -.18,   -.17,   1.48,   17.9,   39.9,
       39,      07,   191703,   1.62,   25.1,    3.8,    3.8,   1.54,    3.8,      0,   1237,    .77,    .55,   1.38,    .07,    .34,    .58,    .82,     16,   34.2,
       39,      05,   191703,    .97,   27.3,   5.17,   5.17,    .92,   5.17,      0,   1169,    .15,    .03,    .52,   -.04,   -.19,    .09,   1.89,     16,   38.6,
