StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       40,      02,   191701,    7.3,   40.2,   1.67,   1.67,   1.45,   1.18,      0,    769,    .97,     .6,    .03,   -.18,     .9,   -.08,    .56,   30.6,   49.7,
       40,      01,   191701,   6.95,   41.4,   1.67,   1.67,   2.05,   1.67,      0,    732,   1.18,    .62,    .19,    .08,     .7,   -.03,    .16,   32.1,   50.6,
       40,      03,   191701,   6.73,   40.3,   1.82,   1.82,   1.18,   1.53,      0,    766,    .85,    .64,    .03,   -.21,    .71,   -.23,    .37,   29.9,   50.8,
       40,      04,   191701,    5.7,   40.5,   -.82,   -.82,    .42,   -.32,      0,    760,    .55,    .28,   -.35,   -.63,   -.18,   -.91,    .03,   30.6,   50.4,
       40,      04,   191702,   2.13,     40,  -1.37,  -1.37,  -1.89,  -1.37,      0,    700,  -1.04,   -.14,   -.23,  -1.12,   -.63,   -.93,   -.14,   26.9,   53.1,
       40,      01,   191702,   4.37,   37.7,   1.46,   1.46,    -.1,   1.34,      0,    764,    .09,    .94,    .54,   -.05,    .74,   -.02,    .24,   26.2,   49.1,
       40,      02,   191702,   3.93,   37.6,   1.22,   1.22,   -.84,    .38,      0,    767,   -.19,    .58,    .34,   -.33,    .76,    .09,    .56,   25.6,   49.6,
       40,      03,   191702,   3.07,   39.3,   1.17,   1.17,  -1.38,    .28,      0,    720,   -.54,    .34,    .27,   -.54,    .33,   -.14,    .35,   26.7,   51.9,
       40,      04,   191703,   7.09,   49.7,     .5,   -.73,   1.49,    .19,     12,    486,    .81,    .01,    .29,   -.45,   -.52,   -.42,    .21,   38.2,   61.3,
       40,      02,   191703,   11.9,   46.8,   2.86,   2.86,   5.32,   2.86,      6,    570,   2.03,   1.45,   1.65,     .9,   1.35,   1.24,   1.25,   35.6,   58.1,
       40,      01,   191703,  12.83,   47.6,   3.93,   3.93,   7.85,   3.93,      5,    545,   2.51,   2.07,    2.4,   1.74,    1.9,   1.49,   1.26,   36.7,   58.4,
       40,      03,   191703,   8.86,   48.6,   1.99,   1.99,   2.83,   1.99,     10,    518,   1.35,    .68,    .96,     .3,    .49,    .59,    .84,   36.8,   60.4,
       40,      02,   191704,   3.39,   57.5,   2.16,   2.16,  -1.22,   1.59,     10,    235,   -.59,   1.45,   1.05,    .69,    .46,   1.38,   1.46,   43.2,   71.9,
       40,      01,   191704,   2.87,   58.1,   2.96,   2.96,  -1.68,   2.25,     11,    218,   -.81,   1.91,   1.63,   1.46,    1.2,   1.66,   1.41,   44.4,   71.8,
       40,      04,   191704,   4.94,   59.3,     .5,    -.6,    .18,    .43,     22,    193,    .19,    .64,    .06,   -.33,   -.54,   -.18,    .47,   46.2,   72.4,
       40,      03,   191704,   5.07,   58.7,   1.97,   1.97,    .56,   1.97,     18,    207,    .34,   1.18,    .65,    .39,     .2,     .9,   1.15,   44.1,   73.2,
       40,      03,   191705,   3.73,   60.6,   1.81,   1.81,    .12,    1.8,     34,    171,   -.32,   -.02,    .81,    .59,    .02,    .61,    .96,   46.8,   74.3,
       40,      04,   191705,   3.29,     62,    .34,   -.65,   -.33,     .2,     47,    140,   -.57,   -.27,    .21,   -.11,   -.72,   -.44,    .25,   49.1,     75,
       40,      02,   191705,   3.55,   58.6,   1.92,   1.92,   -.06,   1.28,     21,    219,   -.42,   -.79,   1.08,    .88,    .28,    1.2,   1.38,     45,   72.2,
       40,      01,   191705,   2.72,   59.1,   2.46,   2.46,   -.58,   1.49,     22,    205,   -.87,  -1.36,   1.44,   1.35,    .74,   1.42,   1.19,   47.3,     71,
       40,      02,   191706,   5.68,   69.9,   2.41,   2.41,   2.06,   2.41,    161,     14,    .72,     .2,   -.18,   1.17,    .59,   1.01,   1.42,   57.6,   82.2,
       40,      04,   191706,   4.87,   74.5,    .75,    .75,   1.32,    .75,    285,      0,    .62,   -.14,   -.05,    .05,   -.42,   -.49,    .41,   62.2,   86.9,
       40,      01,   191706,   4.75,   69.9,   2.68,   2.68,   1.39,   2.19,    160,     13,    .26,   -.41,   -.79,   1.53,    .94,   1.21,   1.12,     58,   81.7,
       40,      03,   191706,   4.76,   72.3,   2.05,   2.05,   1.26,   2.05,    225,      6,    .49,   -.01,    .12,    .71,    .24,    .41,   1.12,   59.5,     85,
       40,      01,   191707,   8.24,   74.5,   3.83,   3.83,   4.29,   3.83,    294,      0,   1.82,   1.47,    .81,   1.68,   1.51,   1.31,   1.38,   64.3,   84.6,
       40,      02,   191707,   8.15,   74.2,   3.38,   3.38,   3.65,   3.38,    285,      0,   1.67,   1.56,   1.04,   1.32,   1.01,    .82,   1.71,   63.1,   85.3,
       40,      04,   191707,   5.48,   78.2,    1.5,    1.5,   2.48,    1.5,    409,      0,    .97,    .99,     .3,    .14,   -.17,   -.34,    .58,   67.4,   88.9,
       40,      03,   191707,   5.59,   76.2,    2.5,    2.5,      2,    2.5,    347,      0,    .91,    .85,     .4,    .66,    .44,    .28,   1.28,   64.5,   87.9,
       40,      03,   191708,   3.35,   74.2,   2.49,   2.49,    .75,   2.49,    288,      0,   -.09,    .44,    .56,    .97,    .76,     .2,    .88,   62.1,   86.4,
       40,      04,   191708,   3.07,     76,    1.8,    1.8,   1.38,    1.8,    341,      0,   -.07,    .54,     .7,    .49,    .19,    -.4,    .07,   64.1,   87.8,
       40,      01,   191708,   4.93,   72.6,   4.12,   4.12,   2.06,   4.12,    236,      0,    .72,   1.79,   1.54,   1.91,   1.88,   1.33,   1.43,   62.3,   82.9,
       40,      02,   191708,   5.14,   72.1,   3.67,   3.67,   1.93,   3.67,    225,      0,    .69,   1.54,   1.56,   1.71,    1.5,    .94,   1.59,   61.1,     83,
       40,      01,   191709,   3.56,   66.9,   4.15,   4.15,   1.36,   4.15,    103,     46,    .28,     .6,   1.57,    .57,   2.07,   1.48,   1.49,   56.3,   77.5,
       40,      03,   191709,    3.1,   68.9,   2.34,   2.34,     .3,   2.34,    150,     33,   -.04,    -.2,    .28,    .21,    .79,    .32,    .75,   56.1,   81.8,
       40,      02,   191709,   4.16,   66.3,   3.72,   3.72,   1.28,   3.72,     98,     59,    .37,    .64,   1.37,    .78,   1.67,   1.08,   1.42,     55,   77.6,
       40,      04,   191709,   1.14,   70.8,   -.61,      1,  -1.84,    .04,    193,     19,  -1.28,  -1.05,   -.31,   -.29,   -.05,   -.48,    .05,   58.1,   83.5,
       40,      01,   191710,   2.86,     51,   4.13,   4.13,   1.21,   4.13,      0,    434,    .01,    .09,    .36,    .79,   1.77,   1.52,   1.44,   37.6,   64.4,
       40,      04,   191710,   2.06,   54.2,   -.68,    .77,   -.39,   -.38,      8,    342,    -.4,  -1.25,  -1.16,   -.53,    -.4,   -.53,   -.03,     39,   69.4,
       40,      03,   191710,   2.51,   52.8,    2.3,    2.3,    .62,    2.3,      6,    384,   -.21,   -.31,    -.4,      0,     .4,     .3,    .75,   37.4,   68.1,
       40,      02,   191710,   3.13,   50.6,   3.68,   3.68,   1.03,   3.68,      0,    446,    .12,    .24,    .46,      1,   1.42,    1.1,    1.3,   36.5,   64.8,
       40,      02,   191711,   1.06,   43.9,   -.86,   2.44,  -2.58,   1.37,      0,    633,  -2.04,  -1.15,   -.64,    .52,   1.06,    .97,    .77,   31.2,   56.7,
       40,      01,   191711,    .67,   44.6,    -.8,    2.9,   -2.4,   1.92,      0,    612,  -2.22,  -1.34,   -.86,    .42,   1.18,   1.23,    .92,     33,   56.2,
       40,      04,   191711,   1.42,   47.5,  -1.33,  -1.33,  -2.15,  -1.33,      0,    525,  -1.57,   -1.5,  -1.93,   -.78,    -.5,   -.55,   -.47,   35.1,   59.9,
       40,      03,   191711,   1.24,   46.1,   -.59,   1.48,  -1.76,    .64,      0,    567,  -1.85,  -1.34,  -1.08,   -.46,    .17,    .22,    .23,   32.6,   59.5,
       40,      03,   191712,   1.75,   30.3,  -1.22,    .63,  -2.09,  -1.12,      0,   1076,  -1.66,  -3.09,  -2.21,  -1.31,   -.97,   -.25,   -.19,   19.2,   41.4,
       40,      01,   191712,   1.73,   29.8,  -1.48,   1.84,  -2.29,   -.03,      0,   1091,  -1.62,  -2.98,  -2.17,   -.34,   -.69,     .9,    .47,   19.2,   40.4,
       40,      04,   191712,    1.9,   30.1,  -1.77,  -1.77,  -1.75,  -1.77,      0,   1082,  -1.47,  -2.59,   -2.2,  -1.56,  -1.25,   -.95,  -1.08,   19.1,   41.1,
       40,      02,   191712,   1.87,   29.9,  -1.56,    1.4,  -2.38,    -.6,      0,   1088,  -1.75,  -3.09,  -2.03,    -.4,   -.47,    .61,    .42,   19.4,   40.4,
       40,      04,   191801,   5.93,   22.9,  -1.32,  -1.32,    .79,   -.86,      0,   1305,    .62,   -.38,  -1.01,  -1.47,  -1.04,   -.89,  -1.25,   12.2,   33.6,
       40,      01,   191801,   7.41,   27.5,   -.36,   2.62,   2.91,   1.83,      0,   1162,   1.34,    .07,    -.9,   -.46,    .02,    .95,    .66,   18.9,   36.1,
       40,      03,   191801,   7.19,     25,   -.52,   1.14,   1.72,    .15,      0,   1240,    .98,   -.11,   -.92,   -.97,   -.63,   -.21,   -.29,   14.5,   35.5,
       40,      02,   191801,   8.17,   26.2,    -.6,   2.06,    2.4,    .99,      0,   1203,   1.22,    .02,   -.85,   -.41,    .16,    .68,    .48,   16.4,   36.1,
       40,      01,   191802,   2.55,     44,  -1.13,   1.54,  -2.41,    -.1,      0,    588,  -1.01,    .48,    -.5,  -1.04,   -.08,     .7,    .44,     32,     56,
       40,      04,   191802,   1.81,   42.9,  -1.95,  -1.95,  -2.27,  -1.95,      0,    619,  -1.32,   -.16,  -1.01,  -2.17,  -1.23,   -.96,  -1.29,   30.6,   55.2,
       40,      03,   191802,   2.12,   44.5,   -1.3,   -1.3,  -2.47,   -1.3,      0,    574,  -1.19,     .2,   -.72,  -1.36,    -.9,   -.36,   -.32,     32,   57.1,
       40,      02,   191802,   2.45,   43.3,  -1.36,   1.03,  -2.45,   -.87,      0,    608,  -1.09,     .4,   -.57,   -.98,   -.06,    .53,    .41,   31.4,   55.3,
       40,      01,   191803,   2.57,   53.3,  -2.12,  -2.12,  -3.32,  -2.12,     18,    380,  -1.54,  -1.95,   -.39,  -1.61,    -.6,   -.85,     .4,   41.1,   65.4,
       40,      04,   191803,    .83,   55.7,  -3.19,  -3.19,  -4.33,  -3.19,     36,    324,  -2.59,  -2.65,  -1.57,  -2.63,  -2.15,  -1.74,  -1.44,   41.6,   69.7,
       40,      03,   191803,   1.37,   55.9,  -2.59,  -2.59,   -4.3,  -2.59,     37,    319,  -2.56,  -2.51,  -1.04,  -2.29,  -1.59,  -1.34,   -.48,   41.2,   70.6,
       40,      02,   191803,   2.22,   53.4,  -2.39,  -2.39,  -3.52,  -2.39,     22,    382,  -1.83,  -2.22,   -.57,   -1.7,   -.73,   -.75,    .33,   40.1,   66.8,
