StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       41,      03,   191701,    .82,     46,  -3.03,  -3.03,  -2.39,  -3.03,      0,    589,   -.84,  -1.85,  -1.31,  -1.58,  -1.47,  -1.39,   -.18,     34,   57.9,
       41,      01,   191701,    .37,   37.7,  -1.21,  -1.21,   -.42,   -.54,      0,    846,   -.08,   -.44,   -.58,    .33,   -.82,   -.75,     .7,   24.3,   51.1,
       41,      09,   191701,    .43,   56.2,  -1.75,  -1.75,  -1.36,   -.39,     32,    305,   -.59,  -1.43,   -.93,    .31,    .11,   -.45,   -.95,     45,   67.4,
       41,      04,   191701,   2.56,   50.6,  -3.56,  -3.56,  -2.01,  -3.56,     13,    459,   -.52,  -1.24,   -1.2,  -1.67,  -1.02,  -1.79,     -1,   40.2,   61.1,
       41,      10,   191701,    .32,   60.8,  -1.23,  -1.23,  -1.58,    .43,     79,    209,   -.78,   -.65,   -.31,    .46,    .46,   -.06,   -.86,   51.1,   70.5,
       41,      02,   191701,    .44,     43,  -2.46,  -2.46,  -1.04,  -2.46,      0,    682,   -.37,  -1.22,    -.9,   -.75,   -1.4,  -1.14,    .37,   28.9,     57,
       41,      07,   191701,   1.07,   53.3,  -3.84,  -3.84,  -2.02,  -3.84,     19,    382,    -.6,  -1.53,  -1.27,     -1,   -.78,  -1.27,  -1.31,   42.1,   64.4,
       41,      08,   191701,   1.92,     55,  -3.74,  -3.74,  -2.43,  -3.74,     30,    340,   -.71,  -1.05,  -1.27,  -1.29,     -1,  -1.58,  -1.35,   45.9,   64.1,
       41,      05,   191701,     .2,   45.2,  -2.21,  -2.21,   -.99,  -2.21,      0,    614,   -.35,  -1.18,  -1.23,   -.12,   -.83,    -.8,   -.64,   31.9,   58.6,
       41,      06,   191701,    .43,   48.9,  -2.48,  -2.48,  -1.44,  -2.48,      5,    504,   -.57,  -1.43,  -1.15,   -.87,    -.9,   -.75,   -.38,   35.9,   61.8,
       41,      07,   191702,    .96,   56.5,  -4.24,  -4.24,   -2.4,  -4.24,     22,    260,   -.83,  -1.09,  -1.68,  -1.65,  -1.05,  -1.16,  -1.43,   42.1,     71,
       41,      09,   191702,    .11,   60.1,  -2.24,  -2.24,  -2.02,  -1.27,     45,    182,  -1.44,  -1.41,  -1.92,  -1.11,    .36,   -.42,  -1.02,   45.1,   75.2,
       41,      02,   191702,    .22,   45.7,  -2.74,  -2.74,  -1.59,  -2.74,      0,    540,   -.98,   -.94,  -1.45,   -.68,  -1.17,   -1.1,    .25,   29.3,   62.2,
       41,      08,   191702,   1.82,   57.4,  -4.23,  -4.23,  -2.64,  -4.23,     27,    240,   -.61,   -.98,  -1.22,  -1.81,  -1.41,  -1.41,  -1.45,   45.3,   69.6,
