StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       42,      03,   191701,   1.16,   15.7,   1.42,   1.42,    .55,   1.42,      0,   1528,   -.36,    .52,    .02,    .42,   -.24,    -.2,    .38,    5.9,   25.5,
       42,      02,   191701,   1.09,   30.5,   3.76,   3.76,   -.27,    2.8,      0,   1070,   -.05,   -.44,   -.97,    .16,    .56,    .64,   1.53,     20,     41,
       42,      06,   191701,    .88,   11.1,   3.35,   3.35,   1.19,   3.35,      0,   1671,    .53,    .29,   -.32,    .87,    .12,    .06,   1.37,    1.2,     21,
       42,      04,   191701,   1.59,   16.7,   3.14,   3.14,   1.47,   3.14,      0,   1497,    .35,    .41,   -.19,    .64,    .74,    .65,    .88,    3.9,   29.5,
       42,      05,   191701,   2.16,   11.5,      2,      2,    .73,      2,      0,   1658,    .04,    .66,     .1,    .72,   -.03,    .06,      1,    1.6,   21.4,
       42,      07,   191701,    1.1,   18.5,   4.67,   4.67,   1.71,   4.67,      0,   1442,    .73,    .53,   -.17,   1.68,    1.3,   1.18,    1.6,    7.1,   29.8,
       42,      01,   191701,    .73,     15,   1.74,   1.74,    .53,   1.74,      0,   1550,    .08,    .38,   -.23,    .65,    .18,    .02,    .32,    2.2,   27.8,
       42,      07,   191702,    .47,   29.6,   4.36,   4.36,     .5,   4.36,      0,    991,   -.45,    .25,    .22,   1.06,   1.33,   1.12,   1.38,   19.2,     40,
       42,      01,   191702,   1.08,   26.7,   2.16,   2.16,    1.8,   2.16,      0,   1072,    .72,    .46,    .63,    .89,     .7,    .13,    .24,   16.7,   36.7,
       42,      04,   191702,   1.36,   26.3,   3.24,   3.24,   1.29,   3.24,      0,   1084,   -.01,    .15,    .27,    .45,    .84,    .63,    .63,   16.1,   36.5,
       42,      02,   191702,   1.51,   39.8,   3.44,   3.44,    .22,   2.53,      0,    706,    .06,    -.1,   -.38,    .09,    .46,    .65,   1.16,   29.8,   49.8,
       42,      06,   191702,     .6,   22.2,   3.24,   3.24,    .68,   3.24,      0,   1198,   -.14,    .25,    .11,    .82,    .49,   -.03,   1.24,   12.1,   32.4,
       42,      05,   191702,   3.55,   19.1,   2.59,   2.59,   2.36,   2.59,      0,   1285,   1.07,    .63,    .99,   1.07,    .73,    .23,    .93,    9.1,   29.1,
       42,      03,   191702,   1.94,   24.5,   1.94,   1.94,      2,   1.94,      0,   1134,    .57,     .1,    .66,    .65,    .32,   -.14,    .16,   15.5,   33.5,
       42,      07,   191703,    .38,   34.1,   3.99,   3.99,    .23,   3.99,      0,    958,   -.73,   -.91,   -.21,   1.16,   1.31,     .7,   1.41,   20.7,   47.5,
       42,      06,   191703,    .38,   27.6,   2.95,   2.95,    .15,   2.95,      0,   1159,   -.96,   -.82,   -.35,    .99,    .59,   -.49,   1.16,     16,   39.1,
       42,      05,   191703,   1.69,   19.1,      2,      2,   -.97,   1.52,      0,   1423,   -.67,    .38,    .23,   1.03,    .78,   -.23,    .95,    8.2,   29.9,
       42,      03,   191703,   1.36,   27.2,   2.06,   2.06,    .96,   2.06,      0,   1172,   -.45,    .04,   -.18,    .62,    .35,   -.47,    .17,   17.1,   37.3,
       42,      01,   191703,    .68,     31,    2.3,    2.3,    1.1,    2.3,      0,   1054,   -.47,    .07,    .07,   1.02,    .76,   -.15,     .3,     20,     42,
       42,      02,   191703,    .62,   41.9,   2.82,   2.82,    -.8,   1.61,      0,    716,    -.6,   -.46,   -.43,   -.27,    .26,    .14,   1.16,   27.6,   56.2,
       42,      04,   191703,    .68,   29.3,   2.77,   2.77,   -.42,   2.54,      0,   1107,  -1.06,   -.82,   -.46,    .37,    .67,      0,    .65,     17,   41.6,
       42,      07,   191704,   2.01,   45.8,   5.09,   5.09,   4.54,   5.09,      0,    576,   2.03,   1.19,    .75,    .32,   1.71,   1.37,    1.5,   32.7,   58.9,
       42,      02,   191704,   2.26,   51.4,   3.64,   3.64,   3.32,   3.49,      6,    414,   1.54,    .48,    .24,   -.37,    .24,    .54,   1.03,   38.8,   63.9,
       42,      05,   191704,    2.7,     33,   2.27,   2.27,   1.45,   2.27,      0,    960,    .45,   -.21,     .5,    .29,    .81,    .17,     .8,   23.1,   42.9,
       42,      01,   191704,   1.22,   42.9,   2.71,   2.71,   1.93,   2.71,      0,    663,    .53,    .03,    .33,    .06,    .69,    .28,    .26,   30.9,   54.9,
       42,      06,   191704,   1.51,   40.7,   3.45,   3.45,   2.41,   3.45,      0,    729,    .99,    .15,   -.02,   -.29,    .73,    .05,   1.08,   30.2,   51.2,
       42,      04,   191704,   2.67,   39.6,   3.59,   3.59,   3.33,   3.59,      0,    762,   1.53,    .39,    .16,      0,    .61,     .7,    .81,   27.4,   51.8,
       42,      03,   191704,   1.66,     41,    2.1,    2.1,    .75,    2.1,      0,    720,   -.07,   -.39,   -.02,   -.06,    .36,   -.21,    .06,   30.2,   51.7,
       42,      05,   191705,   4.59,   41.5,   3.71,   3.71,   5.01,   3.71,      0,    728,   1.93,    1.7,   1.07,   1.36,   1.34,    1.1,   1.02,   32.7,   50.3,
       42,      02,   191705,   1.93,   57.5,   4.43,   4.43,   3.51,   4.43,     18,    250,   1.75,   2.02,   1.04,    .33,    .58,    .82,   1.22,     46,     69,
       42,      04,   191705,    2.6,   45.7,   4.58,   4.58,   4.06,   4.58,      0,    598,   1.85,   2.09,   1.19,    .93,    .94,   1.23,    .97,   35.6,   55.8,
       42,      01,   191705,   2.51,   50.9,   4.46,   4.46,   6.08,   4.46,      0,    437,   1.66,   1.59,   1.24,   1.27,   1.27,   1.16,    .46,   40.1,   61.7,
       42,      03,   191705,   3.43,   49.5,   3.24,   3.24,   4.07,   3.24,      0,    480,   1.47,   1.16,    .74,    .89,    .86,    .62,    .13,   39.2,   59.8,
       42,      07,   191705,   1.53,   53.4,   6.27,   6.27,   5.11,   6.27,      0,    363,    1.6,   2.25,   1.62,   1.13,   1.57,    1.8,   1.47,   42.3,   64.4,
       42,      06,   191705,   3.13,   48.6,   5.35,   5.35,   6.78,   5.35,      0,    508,   2.25,   2.22,   1.74,   1.38,   1.67,   1.35,   1.41,   39.4,   57.7,
       42,      07,   191706,    .04,   67.6,   7.17,   7.17,   4.64,   7.17,    125,     47,   -1.2,    .82,   1.74,    .96,   1.68,   1.87,   1.29,   50.9,   84.4,
       42,      06,   191706,    .24,   60.9,   5.72,   5.72,   2.74,   5.72,     32,    155,   -.61,    1.5,   1.69,   1.11,   1.73,   1.49,   1.24,   45.1,   76.6,
       42,      01,   191706,    .05,   64.4,   4.94,   4.94,   2.83,   4.94,     84,    102,  -1.54,    .96,    .96,    .71,   1.22,   1.06,    .35,     48,   80.9,
       42,      03,   191706,     .2,   61.2,   2.74,   2.74,   -.48,   2.49,     43,    157,  -1.07,    .76,    .56,    .19,     .7,    .52,    .01,   46.3,   76.1,
       42,      05,   191706,    .37,   52.6,   -.41,   2.92,  -1.22,   2.38,      0,    372,   -.98,   1.07,   1.02,     .7,   1.28,   1.09,    .85,   38.6,   66.5,
       42,      02,   191706,    .03,   73.9,   4.79,   4.79,   2.45,   4.79,    274,      7,   -.72,   1.33,   1.72,    .43,    .45,    .81,   1.17,   56.8,   91.1,
       42,      04,   191706,    .05,   60.2,   4.23,   4.23,    .37,   4.23,     25,    169,  -1.26,   1.08,    1.6,    .62,    .99,    1.2,    .84,   44.5,     76,
       42,      01,   191707,    1.1,   76.9,   6.22,   6.22,   5.38,   6.22,    369,      0,   1.03,   -.02,   1.18,   1.06,    .74,   1.06,    .53,   61.1,   92.6,
       42,      07,   191707,   1.16,   76.9,   7.78,   7.78,   4.06,   7.78,    369,      0,    .55,   -.08,    .88,    .99,    .56,    1.8,   1.34,   61.7,     92,
       42,      04,   191707,   1.78,   70.3,   4.53,   4.53,   2.21,   4.53,    168,      0,    .74,    .02,   1.22,    .84,    .46,     .9,    .93,   56.7,   83.8,
       42,      05,   191707,   1.75,   64.2,   -.04,   2.95,    .98,   2.74,     44,     69,    .92,   -.14,   1.24,    1.1,    .77,   1.14,   1.05,   50.4,   77.9,
       42,      03,   191707,   1.36,   73.6,   3.17,   3.17,   2.11,   3.17,    267,      0,   1.14,   -.04,      1,    .64,    .48,    .69,    .22,     59,   88.3,
       42,      02,   191707,   2.15,   82.3,   5.62,   5.62,   3.96,   5.62,    536,      0,    1.4,   1.05,   1.82,   1.04,    .33,    .74,    1.2,   68.5,     96,
       42,      06,   191707,   1.43,   71.6,   6.89,   6.89,   5.29,   6.89,    207,      0,     .9,    .22,   1.51,   1.28,    .82,   1.44,   1.52,   57.3,   85.8,
       42,      06,   191708,    .41,   67.1,   6.05,   6.05,    -.4,   5.85,     91,     26,  -1.27,    -.1,   -.46,    .85,     .7,   1.08,   1.47,   51.6,   82.6,
       42,      07,   191708,    .73,   71.6,   6.86,   6.86,   -.37,   6.67,    207,      0,   -.63,   -.16,   -.52,    .81,    .64,   1.19,    1.4,   56.1,     87,
       42,      01,   191708,    .52,   71.6,    5.6,    5.6,    .06,   5.57,    209,      0,    -.4,    .35,   -.35,    .64,    .77,    .91,    .66,   55.2,   87.9,
       42,      02,   191708,    .76,   78.2,   4.88,   4.88,   -.48,   4.65,    409,      0,   -.46,    .62,    .39,   1.01,    .42,    .63,   1.28,   63.3,   93.1,
       42,      04,   191708,    .89,   65.3,   -.25,   3.81,   -.75,   3.47,     55,     45,   -.86,   -.13,   -.58,    .53,    .51,     .6,   1.03,   51.2,   79.4,
       42,      05,   191708,    .59,   59.4,   -.47,   2.21,  -1.31,   1.44,      6,    180,  -1.09,   -.16,    -.7,    .35,    .84,    .95,   1.08,   45.2,   73.7,
       42,      03,   191708,    .29,   68.9,   -.31,   2.53,   -.93,    2.1,    136,     15,  -1.07,    .08,   -.58,    .19,    .46,    .54,    .26,   54.2,   83.6,
       42,      04,   191709,   1.25,   58.3,    -.1,   3.55,    .39,    3.3,      8,    209,    .23,   -.47,   -.04,   1.05,     .4,     .8,   1.06,     45,   71.6,
       42,      02,   191709,    .92,   70.8,   4.51,   4.51,    .41,   4.37,    185,     11,    .32,   -.17,    .56,    1.6,    .56,    .57,   1.39,   56.9,   84.8,
       42,      05,   191709,   1.79,   52.9,   -.26,   2.14,    .49,   1.52,      0,    363,    .34,   -.36,    .06,    .75,    .56,   1.13,     .8,   40.1,   65.6,
       42,      07,   191709,    1.1,   64.3,   6.42,   6.42,    .79,   6.42,     53,     74,    .27,   -.31,   -.04,   1.12,    .71,   1.45,   1.43,   49.3,   79.4,
       42,      03,   191709,      1,   61.3,   -.27,   2.28,    .04,   1.81,     36,    147,    .08,   -.54,    .06,    .36,    .11,    .61,    .06,   47.1,   75.4,
       42,      01,   191709,    .68,     62,   5.14,   5.14,    .35,   5.14,     39,    129,    .19,   -.19,    .28,    .79,    .63,   1.09,    .59,   46.3,   77.7,
       42,      06,   191709,   1.43,   58.6,   5.96,   5.96,    1.6,   5.96,     11,    203,    .51,   -.26,    .18,   1.22,    .86,    1.4,   1.15,   44.8,   72.4,
       42,      01,   191710,    .01,   50.7,   -.82,   3.79,  -2.46,   2.81,      0,    443,  -2.07,  -1.21,  -1.28,    .11,    .21,    .08,    .56,   33.4,     68,
       42,      07,   191710,    .02,   52.5,   -.81,   4.95,  -2.43,   4.01,      0,    388,   -1.9,   -.87,  -1.15,   -.37,    .01,    -.1,   1.29,   36.1,   68.9,
       42,      04,   191710,    .04,   48.4,   -.87,    2.4,  -2.34,   1.22,      0,    515,   -2.4,   -.92,  -1.27,   -.29,   -.15,   -.23,    .99,   33.2,   63.6,
       42,      06,   191710,    .07,   47.2,   -.77,   4.57,  -2.32,   3.66,      0,    552,  -1.84,   -.53,  -1.18,    .39,    .29,    .09,   1.09,   32.6,   61.7,
       42,      05,   191710,     .2,   42.3,  -1.09,   1.07,  -2.57,   -.53,      0,    704,  -1.88,  -1.01,  -1.42,   -.08,    .15,    .15,     .8,   28.8,   55.8,
       42,      03,   191710,    .08,   49.2,  -1.03,   1.25,  -2.38,   -.21,      0,    490,  -1.88,  -1.27,  -1.62,   -.21,   -.22,   -.19,    .03,   34.8,   63.6,
