StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       44,      03,   191701,   3.34,   37.4,    -.8,    -.8,    .13,    -.8,      0,    856,    .12,   -.26,   -.78,  -1.07,    .09,   -.29,   -.47,   27.5,   47.4,
       44,      05,   191701,   2.69,   34.1,    .68,    .68,   -.01,   -.26,      0,    958,   -.06,   -.37,   -.86,   -.76,   -.16,   -.32,   -.38,   24.2,   44.1,
       44,      01,   191701,    3.1,   39.4,  -1.16,  -1.16,   -.37,  -1.16,      0,    794,   -.02,    .07,   -.34,  -1.09,   -.41,   -.66,  -1.49,   28.7,   50.1,
       44,      04,   191701,   2.36,   32.7,  -1.81,  -1.81,   -.47,  -1.81,      0,   1001,    -.2,   -.44,   -.79,  -1.38,   -.49,   -.44,   -.63,   22.4,     43,
       44,      06,   191701,   4.85,   36.6,   1.88,   1.88,   1.71,   1.88,      0,    880,    .97,    .44,   -.21,      0,    .62,    .23,    .18,   26.9,   46.4,
       44,      02,   191701,   3.14,   38.5,  -1.49,  -1.49,   -.18,  -1.49,      0,    822,    .03,    .07,   -.44,  -1.29,   -.16,   -.52,  -1.03,   27.8,   49.3,
       44,      05,   191702,   2.54,     32,    .62,    .62,    .03,   -.29,      0,    924,    .02,   -.15,   -.34,   -.73,      0,   -.38,   -.53,   20.7,   43.4,
       44,      02,   191702,    2.1,   37.6,   -1.7,   -1.7,  -1.08,   -1.7,      0,    767,   -.59,    -.5,   -.27,  -1.14,   -.38,   -.75,  -1.27,   25.5,   49.6,
       44,      01,   191702,   2.34,   37.6,  -1.35,  -1.35,   -.94,  -1.35,      0,    767,   -.55,   -.52,   -.31,   -.94,   -.91,   -.96,  -1.53,   25.9,   49.4,
       44,      04,   191702,   1.94,   32.1,  -1.79,  -1.79,   -.49,  -1.79,      0,    921,   -.27,   -.41,   -.55,  -1.11,   -.53,   -.56,   -.88,   20.4,   43.9,
