StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       45,      10,   191701,      2,   25.2,   3.34,   3.34,    .32,    3.2,      0,   1234,    -.3,   -.03,    .08,   -.52,    .12,   1.26,   1.44,   18.9,   31.4,
       45,      07,   191701,    .59,   19.3,  -1.85,  -1.85,  -2.48,  -1.85,      0,   1417,  -1.48,  -1.41,  -1.25,  -1.87,   -.99,    -.2,    .49,   10.4,   28.2,
       45,      09,   191701,   1.75,   18.1,  -1.51,  -1.51,  -1.55,  -1.51,      0,   1454,   -.82,  -1.04,   -.79,  -1.42,   -.58,    .02,    .34,   10.3,   25.9,
       45,      08,   191701,    .64,   26.4,   -.89,   2.44,  -1.47,   1.06,      0,   1197,  -1.19,   -.82,   -.72,  -1.45,   -.89,    .53,   1.17,   17.9,     35,
       45,      02,   191701,    4.4,   35.8,   1.59,   1.59,   1.48,    .59,      0,    905,    .56,   1.03,    .18,   -.69,   -.19,    .83,     .2,   30.8,   40.7,
       45,      03,   191701,   5.38,   35.7,  -1.31,    .65,   -.47,  -1.22,      0,    908,   -.28,   -.32,   -.62,   -1.3,   -.82,    .35,   -.06,   30.7,   40.8,
       45,      04,   191701,   8.82,   32.6,  -1.46,    .57,   -.72,  -1.44,      0,   1004,   -.45,   -.65,    -.8,  -1.31,   -.92,    .37,    .04,   27.8,   37.5,
       45,      01,   191701,  12.66,   35.1,  -1.95,  -1.95,   -.73,  -1.95,      0,    927,   -.55,    -.9,  -1.06,  -1.51,   -1.4,   -.32,   -.33,   30.2,     40,
       45,      05,   191701,   9.97,   25.8,  -1.66,  -1.66,   -.88,  -1.66,      0,   1215,   -.59,   -.85,   -.89,  -1.33,  -1.01,    .29,   -.06,   20.6,     31,
       45,      06,   191701,   3.32,   21.8,   -2.2,   -2.2,  -2.09,   -2.2,      0,   1339,  -1.01,  -1.24,  -1.27,  -1.67,  -1.34,   -.08,    .26,   13.9,   29.6,
       45,      01,   191702,   8.41,   36.3,  -2.32,  -2.32,  -1.71,  -2.32,      0,    804,   -.76,   -.92,  -1.11,   -1.5,  -1.48,   -.78,   -.28,   30.9,   41.6,
       45,      09,   191702,   1.82,   24.1,  -1.48,  -1.48,    -.4,  -1.48,      0,   1145,   -.08,   -.74,  -1.05,  -1.33,   -.78,   -.13,     .3,     17,   31.3,
       45,      07,   191702,    .99,   25.8,  -2.19,  -2.19,  -1.59,  -2.19,      0,   1098,   -.21,  -1.18,  -1.36,  -1.65,  -1.15,    -.7,    .26,   18.3,   33.3,
       45,      08,   191702,     .7,   32.3,  -1.02,   1.97,   -.65,    .39,      0,    916,   -.47,  -1.17,  -1.01,  -1.37,   -.91,   -.28,    .93,   24.9,   39.6,
       45,      05,   191702,   6.49,   28.3,  -2.06,  -2.06,  -1.71,  -2.06,      0,   1028,   -.76,   -.94,  -1.11,  -1.38,  -1.15,   -.36,   -.06,   22.6,     34,
