StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       46,      06,   191701,   3.01,   31.3,    .22,  -1.25,    .65,   -.85,      0,   1045,    .48,   -.06,   -.59,   -.95,   -.56,    -.1,   -.04,   20.7,     42,
       46,      01,   191701,   5.01,   29.3,   1.89,   1.89,    2.5,   1.31,      0,   1107,   1.07,    .89,     .5,    .42,    .19,    .52,    .66,   19.2,   39.4,
       46,      03,   191701,   4.71,   35.2,   2.66,   2.66,   1.59,   2.66,      0,    924,    .79,    .85,    .24,    .67,    .36,    .67,     .7,   24.1,   46.3,
       46,      05,   191701,   3.82,   35.3,   2.18,   2.18,    .81,   2.01,      0,    921,    .41,    .12,   -.53,    .11,    .59,    .55,    .34,   24.5,   46.2,
       46,      04,   191701,   4.77,   30.6,   1.45,   1.45,   1.36,    .96,      0,   1066,    .61,    .38,   -.32,     .1,   -.06,    .27,    .07,   20.2,   41.1,
       46,      02,   191701,   5.04,   30.9,    1.7,    1.7,   2.06,   1.21,      0,   1057,    .91,    .76,    .23,     .3,   -.15,    .41,    .22,   20.2,   41.6,
       46,      03,   191702,   3.46,   33.2,   2.59,   2.59,    .59,   2.59,      0,    890,    .35,    .74,    .85,    .21,     .6,    .46,    .77,   20.7,   45.7,
       46,      01,   191702,   2.22,   28.8,   1.49,   1.49,   -.64,    .67,      0,   1014,   -.42,    .58,    .57,   -.01,    .02,     .1,    .63,   16.7,   40.9,
       46,      02,   191702,    3.1,   29.7,   1.58,   1.58,    .16,   1.09,      0,    988,    .04,    .69,    .68,    .23,   -.06,   -.04,    .21,   17.3,     42,
       46,      05,   191702,   3.88,   32.2,   2.39,   2.39,    1.3,   2.39,      0,    918,    .69,    .72,    .46,   -.09,   1.09,     .5,    .39,   21.7,   42.7,
       46,      06,   191702,   2.36,   30.5,    .29,  -1.02,     .3,    -.4,      0,    966,    .21,     .4,    .03,    -.6,   -.29,   -.11,   -.18,   18.6,   42.5,
       46,      04,   191702,   4.11,   28.3,   1.64,   1.64,   1.02,   1.45,      0,   1028,    .59,    .81,     .6,    .05,    .33,    .14,    .07,   17.3,   39.4,
       46,      06,   191703,    4.8,   39.6,      1,      1,    2.2,      1,      0,    787,   1.22,    .97,   1.03,   -.12,   -.36,   -.07,    .36,   28.9,   50.2,
       46,      04,   191703,   8.62,   38.5,   3.27,   3.27,    5.4,   3.27,      0,    822,   2.39,   2.19,   2.32,    .91,   1.01,    .73,    .98,     28,   49.1,
       46,      02,   191703,    6.4,     40,   2.44,   2.44,   3.07,   2.44,      0,    775,   1.45,   1.11,   1.43,    .66,    .22,    .12,    .83,   29.2,   50.8,
       46,      03,   191703,   7.57,   44.1,   3.73,   3.73,   4.24,   3.73,      0,    648,   1.94,   1.59,   1.75,   1.03,   1.11,    .88,   1.35,   32.3,   55.8,
       46,      05,   191703,   8.34,   42.4,   3.99,   3.99,   5.53,   3.99,      0,    701,   2.28,   2.04,   2.09,   1.01,   1.78,   1.24,   1.11,   30.4,   54.3,
       46,      01,   191703,   5.07,   39.7,   1.93,   1.93,   1.79,   1.57,      0,    784,    .87,    .38,    .98,    .49,    .03,    .13,   1.05,     29,   50.2,
       46,      06,   191704,   2.73,   50.4,    .77,    .77,   -.37,    .77,      0,    438,   -.09,    .68,    .59,    .07,   -.46,   -.25,    .51,   37.6,   63.2,
       46,      01,   191704,   4.16,   50.6,   2.01,   2.01,    .82,   1.88,      0,    432,    .49,    .87,    .51,     .7,    .61,     .4,   1.37,     38,   63.2,
       46,      04,   191704,   3.15,   48.2,    2.6,    2.6,     -1,   2.14,      0,    504,   -.57,   1.68,   1.68,    .93,    .97,    .68,   1.09,   35.8,   60.6,
       46,      03,   191704,   3.36,   53.2,   3.25,   3.25,   -.29,   3.08,      0,    354,   -.21,   1.35,   1.19,    .97,   1.19,     .9,   1.49,   39.4,     67,
       46,      05,   191704,   2.99,   51.8,   3.34,   3.34,   -.72,      3,      0,    396,    -.4,   1.66,   1.66,    .96,   1.07,   1.28,   1.25,   38.5,   65.1,
       46,      02,   191704,   3.31,   50.8,   2.02,   2.02,   -.51,   1.73,      0,    426,   -.29,    .88,     .7,    .61,    .62,    .18,    .95,   37.9,   63.8,
       46,      02,   191705,    5.5,   55.1,   2.53,   2.53,   2.15,   2.53,      9,    316,    .73,     .4,    1.1,   1.18,    .79,    .45,   1.14,   43.5,   66.7,
       46,      06,   191705,   3.06,   55.7,    .67,    .67,   -.07,    .67,      7,    295,   -.37,   -.47,    .28,    .13,   -.36,    -.2,    .35,   43.8,   67.6,
       46,      04,   191705,   5.47,   52.3,   2.97,   2.97,   1.91,   2.97,      0,    394,    .56,    .09,   1.56,   1.69,      1,   1.06,   1.27,   41.8,   62.8,
       46,      03,   191705,   5.59,   56.6,    3.8,    3.8,   2.63,    3.8,     15,    275,     .9,    .55,   1.55,   1.77,   1.07,    1.3,   1.76,   44.7,   68.5,
       46,      01,   191705,   4.17,   55.1,   2.12,   2.12,    .97,   2.12,     10,    317,    .16,    .39,    .77,    .92,    .45,     .4,   1.47,   43.2,   66.9,
       46,      05,   191705,   3.99,     55,   3.29,   3.29,    .89,   3.24,      7,    317,   -.01,   -.31,   1.41,    1.3,    .72,   1.55,   1.29,   43.5,   66.4,
       46,      01,   191706,   4.43,     67,   2.19,   2.19,    .84,   2.19,    101,     41,    .14,    .14,    .34,    .85,    .57,    .15,   1.49,   54.7,   79.2,
       46,      04,   191706,   3.79,   63.3,   -.21,   2.45,   -.64,   2.13,     42,     93,   -.67,   -.08,   -.33,   1.27,    .47,    .66,   1.24,     51,   75.7,
