StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       47,      09,   191701,   1.42,   15.1,   2.28,   2.28,    .41,   2.28,      0,   1547,    .08,     .2,      0,    .79,    .51,     .4,    .95,    5.2,     25,
       47,      02,   191701,   1.31,    4.2,    .57,   1.45,     .5,    .64,      0,   1885,    .52,   -.36,   -.25,     .2,    .21,    .49,     .7,   -7.6,   16.1,
       47,      01,   191701,   1.16,    2.6,      0,  -2.02,      0,  -1.96,      0,   1934,    .47,   -.28,   -.75,   -.58,   -.27,    .03,    .14,   -9.8,     15,
       47,      05,   191701,   1.86,    8.3,   2.72,   2.72,   1.97,   2.72,      0,   1758,   1.28,     .5,    .32,   1.08,    .92,    .84,    .92,   -3.9,   20.5,
       47,      07,   191701,   1.07,   11.3,    .55,   -.63,    .38,    .47,      0,   1665,     .1,   -.43,   -.59,    .21,   -.19,   -.34,    .17,    -.5,   23.2,
       47,      04,   191701,   1.84,    5.8,    .51,  -1.14,   1.53,   -.33,      0,   1835,   1.32,    .77,     .4,   -.27,   -.25,   -.31,    .12,   -6.4,     18,
       47,      03,   191701,    1.7,      7,   1.41,   2.08,   1.03,    1.8,      0,   1798,     .9,   -.04,    .06,     .6,    .84,    .91,    .77,   -4.3,   18.3,
       47,      08,   191701,   1.22,   12.8,    2.2,    2.2,    .39,    2.2,      0,   1618,    .08,   -.12,   -.26,    .82,    .38,    .33,      1,    1.6,     24,
       47,      06,   191701,   1.95,   11.1,   3.14,   3.14,   1.67,   3.14,      0,   1671,    .93,    .26,    .51,   1.11,   1.14,    .87,    .87,    1.1,   21.1,
       47,      09,   191702,    .56,   11.8,   1.75,   1.75,    -.9,   1.29,      0,   1490,  -1.05,   -.65,   -.36,     .6,    .36,    .35,    .66,    1.6,     22,
       47,      04,   191702,    .75,    4.6,     .5,   -.98,    .12,   -.09,      0,   1691,   -.23,     .8,    .45,    .13,   -.53,   -.34,    -.1,     -8,   17.3,
       47,      06,   191702,     .7,    7.1,   2.62,   2.62,    -.6,   2.32,      0,   1621,   -.65,    .26,   -.14,   1.19,    .74,    .78,    .61,   -3.3,   17.5,
       47,      07,   191702,    .47,    9.2,    .23,   -.83,   -.78,   -.03,      0,   1562,   -.96,   -.75,   -.95,    .41,   -.34,   -.35,   -.11,   -2.6,   21.1,
       47,      03,   191702,    .99,    3.2,   1.25,   1.86,   -.03,   1.52,      0,   1730,    .04,    .65,    -.1,   1.11,    .82,      1,    .66,   -8.9,   15.4,
       47,      05,   191702,    .59,    5.2,   2.28,   2.28,   -.47,   2.02,      0,   1674,   -.63,     .5,    .04,   1.23,    .82,    .76,    .63,   -7.1,   17.4,
       47,      02,   191702,    .84,    1.3,    .45,   1.23,    -.2,    .36,      0,   1784,   -.15,    .16,    -.5,    .42,    .25,     .5,    .58,  -10.9,   13.4,
       47,      01,   191702,    .98,    1.6,    .16,  -1.65,    .49,   -1.3,      0,   1775,    .31,    .37,   -.22,   -.65,   -.45,    .08,    .05,  -10.7,     14,
       47,      08,   191702,    .45,    9.8,   1.65,   1.65,   -.97,   1.15,      0,   1546,  -1.07,   -.73,   -.69,     .7,    .25,    .29,    .73,   -1.8,   21.4,
       47,      06,   191703,   2.21,   28.1,   2.62,   2.62,    .82,   2.59,      0,   1144,    .37,   -.13,    .35,   1.24,    .38,    .87,    .89,     20,   36.2,
       47,      01,   191703,   3.04,   23.2,   1.06,   -.57,   2.74,   1.04,      0,   1296,   1.59,   1.37,    1.4,   -.09,   -.66,    .31,    .37,   12.3,   34.1,
       47,      03,   191703,   1.91,   23.7,   1.28,   1.82,    .46,   1.58,      0,   1280,    .32,    .18,    .56,    .67,    .13,    .94,    .92,   13.4,   33.9,
       47,      04,   191703,    2.2,   26.3,    .84,    .84,   1.19,    .84,      0,   1200,    .51,    .18,    .86,    .21,   -.73,   -.14,    .12,   16.2,   36.4,
       47,      02,   191703,   2.34,   22.9,    .86,   1.56,   1.37,    .98,      0,   1305,    .87,    .53,     .6,    .12,      0,    .51,    .84,   12.2,   33.5,
       47,      07,   191703,   1.99,   30.2,    .34,   -.61,    .41,    .29,      0,   1079,    .09,   -.48,   -.51,   -.33,   -.64,   -.38,    .11,   20.5,     40,
       47,      09,   191703,    1.4,   32.5,   1.38,   1.38,   -.57,    .61,      0,   1008,    -.7,   -1.2,  -1.01,     .1,   -.26,    .01,    .72,   23.7,   41.2,
       47,      08,   191703,    1.6,   31.3,   1.44,   1.44,   -.13,    .83,      0,   1045,   -.36,   -.95,   -.85,   -.05,   -.11,    .13,    .84,   21.9,   40.7,
       47,      05,   191703,   2.48,     27,   2.49,   2.49,   1.34,   2.49,      0,   1178,    .75,    .24,    .81,    .96,    .56,    .94,    .93,   17.2,   36.7,
       47,      05,   191704,   3.27,   41.1,    2.7,    2.7,    1.4,    2.7,      0,    717,    .44,    .79,    .48,    .46,   1.15,   1.02,   1.23,   30.3,   51.8,
       47,      03,   191704,   2.12,   36.3,   1.22,    1.7,    .22,   1.49,      0,    861,   -.33,    -.1,   -.11,   -.17,    .49,    .72,   1.07,   25.1,   47.6,
       47,      01,   191704,   2.05,   37.1,   1.01,   1.01,    .18,   1.01,      0,    837,   -.18,    .79,    .74,      0,   -.23,   -.05,    .46,   26.2,     48,
       47,      06,   191704,   2.44,   39.1,    2.5,    2.5,    .43,    2.5,      0,    777,   -.21,    .03,   -.27,    .11,    .89,    .95,   1.12,     30,   48.2,
       47,      07,   191704,   2.48,   43.7,    .26,   -.59,   -.14,    .23,      0,    639,   -.29,   -.27,   -.61,   -.94,   -.09,   -.36,     .3,   33.5,   53.8,
       47,      08,   191704,   3.15,   42.6,   1.62,   1.62,      1,   1.38,      0,    672,    .19,   -.12,   -.52,    -.6,    .51,    .17,   1.15,   32.9,   52.3,
       47,      09,   191704,   2.99,   41.9,   1.45,   1.45,    .64,    .92,      0,    693,    .02,   -.45,   -.85,   -.59,    .32,    .15,    .99,   32.5,   51.2,
       47,      02,   191704,   2.38,   36.4,    .99,   1.62,    .65,   1.15,      0,    858,   -.02,    .46,    .31,   -.05,    .31,    .26,   1.03,   25.6,   47.3,
       47,      04,   191704,   2.91,   41.3,   1.06,   1.06,    .92,   1.06,      0,    711,    .25,    .39,    .23,    .36,   -.19,   -.19,    .31,     31,   51.7,
       47,      04,   191705,   3.12,     52,    .98,    .98,    .08,    .93,      9,    412,   -.37,   -.18,    .01,    .17,    .02,   -.54,    .04,     38,     66,
       47,      02,   191705,   1.54,     47,   -.64,    .81,  -1.92,   -.36,      0,    558,  -1.67,  -1.29,   -.74,   -.91,    -.1,   -.12,    .53,   32.5,   61.5,
       47,      05,   191705,   2.45,   51.1,   2.24,   2.24,   -.56,   1.94,      8,    438,   -.73,   -.41,   -.08,   -.04,   1.03,    .71,    .94,   37.5,   64.6,
       47,      08,   191705,    3.7,   51.8,   1.93,   1.93,   1.42,   1.93,      8,    417,     .2,    .18,   -.03,   -.36,    .52,     .2,    .88,   40.4,   63.3,
       47,      06,   191705,   2.49,     49,   2.27,   2.27,    .11,   2.26,      0,    496,   -.38,   -.58,   -.39,   -.42,    .82,    .48,    .97,   37.8,   60.3,
       47,      03,   191705,   1.43,     47,    .56,      1,  -1.59,    .04,      0,    558,  -1.76,  -1.48,  -1.19,  -1.06,    .35,    .22,    .69,   32.9,   61.2,
       47,      01,   191705,   1.75,   48.4,   -.54,   -.54,  -1.61,   -.54,      0,    515,  -1.34,   -1.1,   -.27,   -.38,   -.81,    -.6,    .05,   33.3,   63.5,
       47,      07,   191705,   3.64,   52.6,    .54,    .54,    .91,    .54,     10,    394,   -.03,    -.3,   -.29,   -.69,    .06,   -.45,    .06,   39.3,   65.8,
       47,      09,   191705,   3.56,     51,   1.74,   1.74,   1.33,   1.69,      6,    440,    .27,    .07,   -.28,   -.42,     .3,    .17,    .55,   39.8,   62.2,
       47,      01,   191706,   3.14,   58.1,   -.77,   -.77,   -.87,   -.77,     14,    221,   -.69,  -1.38,  -1.28,    -.5,  -1.16,  -1.34,   -.25,   45.5,   70.7,
       47,      06,   191706,   6.02,   58.5,   3.41,   3.41,   4.12,   3.41,     15,    210,   1.33,     .7,    .52,    .58,    1.2,    .59,   1.25,   48.2,   68.8,
       47,      04,   191706,    4.4,   61.6,   1.18,   1.18,    .89,   1.18,     44,    146,    .03,   -.32,   -.17,    .17,   -.09,   -.83,    .02,     50,   73.2,
       47,      02,   191706,   4.33,   57.3,   -.37,    .93,     .6,      0,     13,    244,    .08,   -.98,   -.89,   -.47,   -.63,   -.47,    .51,   45.1,   69.6,
       47,      05,   191706,   6.23,     61,   3.17,   3.17,   3.47,   3.17,     36,    156,   1.05,    .36,    .47,    .73,    .95,    .67,   1.37,   49.5,   72.5,
       47,      07,   191706,   6.66,   62.7,   1.59,   1.59,   3.31,   1.59,     55,    124,   1.07,    .75,    .47,    .22,    .13,   -.27,    .52,   51.8,   73.6,
       47,      08,   191706,   7.38,   62.3,   3.33,   3.33,   4.81,   3.33,     48,    129,   1.53,   1.27,   1.09,    .68,    .79,    .54,   1.33,     52,   72.6,
       47,      03,   191706,   4.98,   57.1,   1.22,   1.61,   2.14,   1.49,     11,    248,    .72,   -.38,   -.48,   -.17,    .11,   -.15,     .8,   44.2,   70.1,
       47,      09,   191706,   5.93,   61.8,   2.69,   2.69,   3.39,   2.69,     43,    139,   1.22,    .95,    .76,    .22,    .62,    .24,    .82,   50.8,   72.9,
       47,      09,   191707,   3.17,   70.7,   2.43,   2.43,    .03,   2.37,    190,     13,      0,    .84,     .7,    .12,    .13,    .66,    .82,   59.8,   81.6,
       47,      04,   191707,   3.67,   70.9,   1.12,   1.12,    .19,   1.12,    200,     17,    .02,   -.12,   -.38,   -.18,   -.07,   -.41,   -.16,     59,   82.9,
       47,      05,   191707,   2.57,     71,   2.47,   2.47,  -1.12,   1.96,    200,     14,   -.64,    .47,   -.09,    .11,    .24,    .87,   1.11,   58.8,   83.1,
       47,      08,   191707,   2.39,   71.4,   2.54,   2.54,  -1.34,   1.94,    209,     10,   -.84,    .82,    .71,    .32,    .17,    .78,   1.08,   60.8,     82,
       47,      02,   191707,   2.63,   66.7,   -.79,   -.79,  -1.38,   -.79,    105,     52,   -.87,    -.6,  -1.35,     -1,   -1.1,   -.51,    .31,   54.3,   79.1,
       47,      03,   191707,   1.87,   67.2,   -.61,    .83,  -1.83,   -.22,    110,     42,  -1.44,   -.27,   -1.1,   -.99,   -.93,   -.14,    .52,   54.1,   80.4,
       47,      07,   191707,   3.67,   71.3,    1.5,    1.5,    .24,    1.5,    210,     15,   -.02,    .76,    .55,    .15,   -.12,    .22,    .34,   60.2,   82.3,
       47,      01,   191707,   4.15,   67.8,   -.53,   -.53,    .47,   -.53,    126,     39,    .24,   -.48,  -1.11,    -.5,   -.84,   -.84,   -.12,   55.7,   79.9,
       47,      06,   191707,   2.21,   68.7,    2.8,    2.8,   -.77,   2.44,    139,     24,   -.73,    .65,    .22,   -.05,    .24,    .82,   1.11,   57.8,   79.6,
       47,      03,   191708,   3.76,   60.4,   -.39,     .9,    .47,    .06,     25,    167,    .27,   -.73,   -.15,   -.84,   -.85,    .17,    .61,   47.5,   73.4,
       47,      06,   191708,   1.68,   63.5,   1.94,   1.94,  -1.72,    .84,     57,    103,  -1.33,   -1.9,   -.09,   -.38,   -.42,    .61,    .99,   52.1,   74.9,
       47,      08,   191708,   1.54,   66.7,   1.56,   1.56,  -2.15,    .07,    111,     59,  -1.42,   -1.8,   -.03,   -.11,    -.3,    .35,    .74,   54.5,     79,
       47,      01,   191708,   2.57,   61.2,   -.99,   -.99,  -1.53,   -.99,     30,    148,   -.84,   -.44,   -.87,   -.87,    -.9,  -1.15,   -.27,   48.6,   73.7,
