StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       48,      10,   191701,    .69,   11.7,    .97,    .97,      0,    .86,      0,   1652,   -.17,   1.23,    .76,    .12,  -1.13,   -1.4,    .23,    3.4,   20.1,
       48,      04,   191701,    .72,   10.2,    .74,   -.61,   -.23,    .66,      0,   1699,   -.23,    .71,    .23,    -.3,   -.89,  -1.25,   -.04,    -.9,   21.4,
       48,      08,   191701,    .52,   18.5,   2.04,   2.04,    .26,   1.37,      0,   1442,    .16,    .15,    .14,    .04,  -1.19,  -1.53,     .9,    8.7,   28.3,
       48,      01,   191701,   2.06,    8.5,   1.62,   1.62,   -.76,    1.2,      0,   1752,    -.5,   -.09,   -.42,   -.36,   -.39,   -.26,    .36,   -1.4,   18.5,
       48,      03,   191701,   1.03,    8.1,    .19,  -1.11,   -.21,   -.48,      0,   1764,    .04,    .28,   -.28,   -.42,   -1.3,  -1.33,   -.38,   -2.4,   18.6,
       48,      05,   191701,    .67,     14,   1.86,   1.86,     .5,   1.86,      0,   1581,    .32,   1.25,    .83,    .22,   -.55,   -.81,    .69,    3.2,   24.8,
       48,      06,   191701,    .88,   13.6,   5.63,   5.63,   1.72,   5.63,      0,   1593,    .93,   1.61,   1.32,    .55,    .31,    .26,   1.52,    2.7,   24.4,
       48,      02,   191701,   3.19,      7,   -.66,   -.66,  -1.09,   -.66,      0,   1798,   -.46,   -.15,   -.65,   -.58,   -.63,   -.54,   -.16,   -2.4,   16.4,
       48,      07,   191701,    .55,   15.7,   2.31,   2.31,    .71,   2.31,      0,   1528,    .64,    .58,    .61,    .02,    -.7,   -.89,   1.24,    4.6,   26.9,
       48,      09,   191701,    .81,   10.6,    .27,  -1.07,   -.24,   -.35,      0,   1686,   -.01,    .17,   -.21,   -.51,  -1.45,  -1.59,    -.2,     .1,   21.1,
